Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Boyd Travis,PHX,Player,16:02,1,0,0,-3,0,0,5,0,2792,141
Ladd Andrew,PHX,Player,14:14,0,1,0,0,0,0,2,1,3368,146
Chychrun Jakob,PHX,Player,19:25,0,0,0,0,0,0,0,4,6064,187
Maccelli Matias,PHX,Player,15:43,0,0,0,-1,0,0,3,1,6622,202
Valimaki Juuso,PHX,Player,17:08,0,0,0,-3,0,0,1,6,6503,395
Moser JJ,PHX,Player,22:12,0,0,0,-2,0,0,0,5,6620,561
Crouse Lawson,PHX,Player,12:36,0,0,0,-3,0,0,0,1,6038,587
Kassian Zack,PHX,Player,15:49,0,0,0,0,0,0,4,0,1010,609
Nemeth Patrik,PHX,Player,18:40,1,0,0,0,0,0,3,2,2481,612
Guenther Dylan,PHX,Player,15:50,0,1,0,-1,0,0,2,0,6621,615
Ritchie Nick,PHX,Player,11:31,0,0,0,0,0,0,1,1,4909,1013
Schmaltz Nick,PHX,Player,16:53,1,0,0,0,0,0,5,0,6036,2292
Mayo Dysin,PHX,Player,22:55,0,0,0,-1,0,0,0,4,6588,2426
Bjugstad Nick,PHX,Player,07:34,0,0,0,0,0,0,0,0,1864,2696
Fischer Christian ,PHX,Player,16:08,0,0,0,-2,0,0,0,2,6133,3226
Keller Clayton,PHX,Player,18:09,0,1,0,-1,0,0,3,1,6134,3264
Gostisbehere Shayne,PHX,Player,19:40,0,0,0,-2,0,0,0,3,659,4010
Dauphin Laurent,PHX,Player,19:31,0,0,0,0,0,0,4,1,5741,4116
Ingram Connor,PHX,Goalie,00:00,-,0,0,-,0,0,0,-,6619,491
Vejmelka Karel,PHX,Goalie,60:00,-,0,0,-,6,0,36,-,6571,507
Zegras Trevor,ANA,Player,16:57,0,1,0,0,0,0,4,0,6553,22
Shattenkirk Kevin,ANA,Player,17:42,0,0,0,1,0,0,0,4,4438,172
Kulikov Dmitry,ANA,Player,20:07,0,0,0,2,0,0,0,5,4685,272
Groulx Benoit-Olivier,ANA,Player,08:03,0,1,0,1,0,0,1,0,1457,295
Comtois Maxime,ANA,Player,15:05,0,0,0,1,0,0,1,0,4341,303
Henrique Adam,ANA,Player,13:36,0,0,0,0,0,0,3,0,837,320
Drysdale Jamie,ANA,Player,22:27,0,1,0,2,0,0,2,2,6570,406
Protas Alexei,ANA,Player,12:53,0,0,0,1,0,0,0,0,6357,1086
Terry Troy,ANA,Player,17:10,0,1,0,0,0,0,2,0,1967,2146
Fowler Cam,ANA,Player,17:47,0,1,0,1,0,0,0,3,4436,2371
Grant Derek,ANA,Player,14:35,1,1,0,1,0,0,7,1,5353,2392
Leason Brett,ANA,Player,19:19,0,1,0,1,0,0,2,2,6600,2466
McTavish Mason,ANA,Player,18:33,1,0,0,0,0,0,2,0,6601,2491
Benoit Simon,ANA,Player,22:06,1,0,0,1,0,1,1,3,3723,2670
Klingberg John,ANA,Player,22:26,0,0,2,1,0,0,1,8,2537,2843
Silfverberg Jakob,ANA,Player,09:56,0,0,0,2,0,0,2,0,1362,3143
Strome Ryan,ANA,Player,14:52,2,1,0,3,0,1,5,0,396,3219
Vatrano Frank,ANA,Player,11:28,1,0,0,0,0,0,3,2,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,3,0,33,-,2104,2896
