Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,PIT,Player,12:15,0,1,0,0,0,0,1,0,6121,58
Tkachuk Brady,PIT,Player,17:43,0,2,0,1,0,0,3,0,4369,96
Ellis Ryan,PIT,Player,22:34,0,0,0,-4,0,0,2,0,3247,350
Necas Martin,PIT,Player,17:43,0,1,0,1,0,0,3,0,751,377
Letang Kris,PIT,Player,22:11,0,1,0,0,0,0,0,2,1716,501
Rakell Rickard,PIT,Player,16:24,0,0,0,-3,0,0,0,1,1276,526
Backstrom Nicklas,PIT,Player,17:43,1,0,0,1,0,0,1,1,3066,654
Joseph Pierre-Olivier,PIT,Player,14:45,0,0,0,1,0,0,0,1,6623,678
Caggiula Drake,PIT,Player,13:38,0,0,0,-2,0,0,1,0,6074,704
Poehling Ryan,PIT,Player,12:29,0,0,0,-2,0,0,2,2,5190,758
Heinen Danton,PIT,Player,18:15,0,0,0,-3,0,0,3,0,6080,1100
Hughes Quinton,PIT,Player,23:16,0,0,0,-5,0,0,0,2,1188,1210
Pettersson Marcus,PIT,Player,15:15,0,0,0,0,0,0,0,1,3150,1594
Werenski Zach,PIT,Player,21:59,1,0,0,0,0,0,2,0,6037,2322
Archibald Josh,PIT,Player,12:37,0,0,0,-3,0,0,0,1,6136,3432
Boyle Brian,PIT,Player,12:56,1,0,0,0,0,0,2,2,3830,4222
Brassard Derrick,PIT,Player,16:52,0,0,0,-3,0,0,1,0,5278,4283
Kapanen Kasperi,PIT,Player,11:25,0,1,0,1,0,0,1,0,991,4360
Halak Jaroslav,PIT,Goalie,54:01,-,0,0,-,5,0,29,-,1277,326
DeSmith Casey,PIT,Goalie,05:59,-,0,0,-,2,0,8,-,1524,2144
Zegras Trevor,ANA,Player,16:56,0,1,0,0,0,0,0,0,6553,22
Shattenkirk Kevin,ANA,Player,23:01,0,0,0,3,0,0,0,8,4438,172
Kulikov Dmitry,ANA,Player,22:44,0,0,0,0,0,0,0,1,4685,272
Groulx Benoit-Olivier,ANA,Player,13:20,1,1,0,2,0,0,3,0,1457,295
Comtois Maxime,ANA,Player,17:55,3,0,0,3,0,0,9,0,4341,303
Henrique Adam,ANA,Player,17:39,0,1,0,3,0,0,2,1,837,320
Drysdale Jamie,ANA,Player,14:35,0,0,0,1,0,0,0,8,6570,406
Protas Alexei,ANA,Player,13:44,0,0,0,-1,0,0,5,2,6357,1086
Terry Troy,ANA,Player,16:34,2,0,0,1,0,0,4,1,1967,2146
Fowler Cam,ANA,Player,22:32,0,1,0,3,0,0,0,8,4436,2371
Grant Derek,ANA,Player,13:17,0,1,0,1,0,0,0,0,5353,2392
Leason Brett,ANA,Player,16:22,0,0,0,2,0,0,5,0,6600,2466
McTavish Mason,ANA,Player,16:34,0,1,0,0,0,0,3,0,6601,2491
Benoit Simon,ANA,Player,14:44,0,0,0,1,0,0,0,4,3723,2670
Klingberg John,ANA,Player,22:24,0,0,0,0,0,0,0,9,2537,2843
Silfverberg Jakob,ANA,Player,13:37,1,1,0,1,0,0,1,0,1362,3143
Strome Ryan,ANA,Player,12:08,0,0,0,0,0,0,2,0,396,3219
Vatrano Frank,ANA,Player,11:54,0,0,0,0,0,0,3,0,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,1,0,-,3,0,22,-,2104,2896
