Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Carter Jeff,PIT,Player,16:46,0,0,0,-1,0,0,4,0,3297,474
Letang Kris,PIT,Player,18:41,0,1,0,4,0,0,0,1,1716,501
Malkin Evgeni,PIT,Player,18:23,0,2,0,2,0,0,5,0,1703,502
Crosby Sidney,PIT,Player,17:49,2,1,0,2,0,0,5,0,3308,518
Rakell Rickard,PIT,Player,09:25,0,0,0,0,0,0,0,0,1276,526
Joseph Pierre-Olivier,PIT,Player,21:50,0,1,0,-2,0,0,0,1,6623,678
Caggiula Drake,PIT,Player,12:14,0,0,0,0,0,0,5,1,6074,704
Dumoulin Brian,PIT,Player,19:19,0,0,0,-2,0,0,0,0,2750,749
Rust Bryan,PIT,Player,14:50,0,0,0,-1,0,0,2,0,431,1005
Heinen Danton,PIT,Player,11:56,0,0,0,-4,0,0,0,0,6080,1100
Petry Jeff,PIT,Player,18:27,0,0,0,3,0,0,0,1,1116,1433
Pettersson Marcus,PIT,Player,24:44,0,0,0,-3,0,0,0,0,3150,1594
Ruhwedel Chad,PIT,Player,16:59,0,0,0,-4,0,0,0,2,3964,2182
Zucker Jason,PIT,Player,17:28,0,0,0,-3,0,0,0,0,2630,3042
Boyle Brian,PIT,Player,12:53,0,0,2,-4,0,0,0,0,3830,4222
Guentzel Jake,PIT,Player,15:00,1,2,0,2,0,0,4,0,6111,4331
Kapanen Kasperi,PIT,Player,14:51,0,1,0,1,0,0,3,0,991,4360
Blugers Teodors,PIT,Player,13:24,1,0,0,1,0,0,2,0,341,4454
Jarry Tristan,PIT,Goalie,60:00,-,0,0,-,6,0,52,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
Pacioretty Max,CAR,Player,20:01,0,2,0,2,0,0,3,1,762,42
Stastny Paul,CAR,Player,15:45,1,1,0,1,0,0,2,0,934,153
Burns Brent,CAR,Player,17:17,0,1,0,2,0,0,1,4,410,309
Necas Martin,CAR,Player,14:41,0,2,0,2,0,0,4,1,751,377
Martinook Jordan,CAR,Player,10:50,0,0,0,-2,0,0,4,2,219,485
Staal Jordan,CAR,Player,18:50,1,1,0,1,0,0,4,0,1628,500
Gardiner Jake,CAR,Player,22:28,0,1,0,0,0,0,0,3,5230,595
Pesce Brett,CAR,Player,22:09,0,0,0,0,0,0,0,2,4415,906
Skeji Brady,CAR,Player,21:30,0,1,0,0,0,0,1,2,1132,1228
de Haan Calvin,CAR,Player,16:32,0,0,0,2,0,0,0,4,4595,1754
Aho Sebastian,CAR,Player,13:45,1,1,0,2,0,0,3,1,4038,1908
Jarvis Seth,CAR,Player,10:39,0,0,0,-1,0,0,3,1,6574,2381
Teravainen Teuvo,CAR,Player,16:31,1,0,0,1,0,0,10,1,1779,2963
Fast Jesper,CAR,Player,12:27,1,0,0,1,0,0,6,1,286,3542
Kotkaniemi Jesperi,CAR,Player,13:14,0,0,0,-2,0,0,3,2,5051,3878
Svechnikov Andrei,CAR,Player,16:08,1,0,2,2,0,0,6,1,5058,3885
Slavin Jaccob,CAR,Player,20:04,0,0,0,0,0,0,1,7,4920,4060
Kase Ondrej,CAR,Player,12:15,0,0,0,-2,0,0,1,1,6107,4322
Kochetkov Petr,CAR,Goalie,39:53,-,0,0,-,3,0,15,-,3164,511
Andersen Frederik,CAR,Goalie,20:00,-,0,0,-,1,0,15,-,1149,664
