Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,PIT,Player,18:15,0,0,0,-4,0,0,1,0,6121,58
Tkachuk Brady,PIT,Player,19:54,0,0,0,1,0,0,2,1,4369,96
Ellis Ryan,PIT,Player,22:24,0,0,0,-5,0,0,0,1,3247,350
Necas Martin,PIT,Player,16:34,1,0,0,1,0,0,4,1,751,377
Letang Kris,PIT,Player,16:56,0,0,0,1,0,0,0,2,1716,501
Rakell Rickard,PIT,Player,07:40,0,0,0,-4,0,0,0,0,1276,526
Backstrom Nicklas,PIT,Player,17:29,0,1,0,1,0,0,1,2,3066,654
Caggiula Drake,PIT,Player,14:11,0,0,0,-1,0,0,1,0,6074,704
Dumoulin Brian,PIT,Player,21:18,0,0,0,-4,0,0,1,1,2750,749
Heinen Danton,PIT,Player,09:04,0,0,0,-3,0,0,0,0,6080,1100
Hughes Quinton,PIT,Player,19:32,0,0,0,-4,0,0,0,0,1188,1210
Pettersson Marcus,PIT,Player,20:40,0,1,0,-4,0,0,0,1,3150,1594
Werenski Zach,PIT,Player,19:10,0,1,0,0,0,0,2,2,6037,2322
Archibald Josh,PIT,Player,15:41,0,0,0,-1,0,0,2,1,6136,3432
Boyle Brian,PIT,Player,18:27,0,0,0,-4,0,0,3,1,3830,4222
Brassard Derrick,PIT,Player,09:53,0,0,0,-4,0,0,0,0,5278,4283
Kapanen Kasperi,PIT,Player,18:41,1,0,0,-5,0,0,3,0,991,4360
Blugers Teodors,PIT,Player,14:11,0,0,0,-1,0,0,0,0,341,4454
Halak Jaroslav,PIT,Goalie,60:00,-,0,0,-,10,0,33,-,1277,326
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
Suzuki Nick,CBJ,Player,16:02,1,1,0,1,0,0,1,3,1922,191
Thompson  Tage,CBJ,Player,14:44,0,1,0,1,0,0,1,1,3781,297
Bean Jake,CBJ,Player,25:41,0,0,0,5,0,0,0,3,5992,493
Kubalik Dominik,CBJ,Player,14:49,1,1,0,3,0,0,1,0,6156,522
Boqvist Adam,CBJ,Player,16:14,0,1,0,3,0,0,0,1,791,662
Robinson Eric,CBJ,Player,05:21,0,1,0,2,0,0,0,1,1254,671
Peeke Andrew,CBJ,Player,18:05,0,1,0,0,0,0,0,1,4119,675
St. Louis Martin,CBJ,Player,15:08,2,0,0,1,0,0,4,0,1881,718
Carlsson Gabriel,CBJ,Player,27:06,0,3,0,5,0,0,0,3,4626,1073
Rantanen Mikko,CBJ,Player,24:42,0,2,0,2,0,0,4,0,5444,1683
Gustafsson Erik,CBJ,Player,15:28,0,1,0,3,0,0,0,1,5592,1753
Jenner Boone,CBJ,Player,14:23,2,1,0,3,0,0,5,0,297,2015
Laine Patrik,CBJ,Player,24:44,1,1,0,2,0,0,6,1,1146,2033
Sillinger Cole,CBJ,Player,05:21,0,1,0,2,0,0,1,0,6569,2370
Bayreuther Gavin,CBJ,Player,17:26,0,1,0,0,0,0,0,2,6577,2390
Kyrou Jordan,CBJ,Player,15:11,0,2,0,3,0,0,3,0,6208,2446
Texier Alexandre,CBJ,Player,05:21,2,0,0,2,0,0,3,0,2813,2742
Giroux Claude,CBJ,Player,24:14,1,1,0,2,0,0,4,0,3923,4237
Korpisalo Joonas,CBJ,Goalie,60:00,-,0,0,-,2,0,20,-,2338,4131
Merzlikins Elvis,CBJ,Goalie,00:00,-,0,0,-,0,0,0,-,5888,4200
