Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Carter Jeff,PIT,Player,12:53,0,0,0,-1,0,0,1,0,3297,474
Letang Kris,PIT,Player,26:23,0,1,0,-4,0,0,0,3,1716,501
Malkin Evgeni,PIT,Player,21:35,1,0,0,-3,0,0,4,0,1703,502
Crosby Sidney,PIT,Player,19:52,0,1,0,-4,0,0,4,1,3308,518
Rakell Rickard,PIT,Player,09:03,0,0,0,-1,0,0,0,0,1276,526
Joseph Pierre-Olivier,PIT,Player,20:45,0,0,0,-3,0,0,1,0,6623,678
Caggiula Drake,PIT,Player,11:26,0,0,0,-2,0,0,0,0,6074,704
Dumoulin Brian,PIT,Player,13:48,0,0,0,-1,0,0,0,1,2750,749
Rust Bryan,PIT,Player,11:32,0,0,0,-1,0,0,0,1,431,1005
Heinen Danton,PIT,Player,13:14,1,0,0,-2,0,0,1,1,6080,1100
Petry Jeff,PIT,Player,27:28,0,0,0,-5,0,0,0,1,1116,1433
Pettersson Marcus,PIT,Player,16:36,0,0,0,-1,0,0,0,1,3150,1594
Ruhwedel Chad,PIT,Player,15:00,0,0,0,-2,0,0,0,1,3964,2182
Zucker Jason,PIT,Player,19:24,0,1,0,-2,0,0,0,0,2630,3042
Boyle Brian,PIT,Player,16:16,0,0,0,-1,0,0,1,1,3830,4222
Guentzel Jake,PIT,Player,20:07,0,0,0,-3,0,0,1,0,6111,4331
Kapanen Kasperi,PIT,Player,13:52,0,0,0,-2,0,0,1,0,991,4360
Blugers Teodors,PIT,Player,10:59,0,0,0,-2,0,0,0,0,341,4454
Jarry Tristan,PIT,Goalie,59:47,-,1,0,-,10,0,41,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
Lucic Milan,CGY,Player,18:12,2,0,0,3,0,1,5,0,5171,65
Dube Dillon,CGY,Player,01:22,0,0,0,0,0,0,0,0,3116,98
Huberdeau Jonathan,CGY,Player,18:38,2,0,0,2,0,0,4,1,4399,164
Ruzicka Adam,CGY,Player,01:43,0,0,0,0,0,0,0,0,6380,539
Mangiapane Andrew,CGY,Player,17:05,0,1,0,2,0,0,5,0,1301,560
Kadri Nazem,CGY,Player,17:56,0,1,0,3,0,0,0,1,3056,593
Gilbert Dennis,CGY,Player,23:04,0,0,0,4,0,0,2,3,3353,680
Rooney Kevin,CGY,Player,01:40,0,0,0,0,0,0,0,1,1910,799
Lewis Trevor,CGY,Player,20:48,2,1,0,2,0,0,4,1,3831,1004
Hanifin Noah,CGY,Player,18:50,0,3,2,3,0,0,2,3,5071,1066
Weegar MacKenzie,CGY,Player,16:49,0,1,0,3,0,0,0,3,2107,1087
Zadorov Nikita,CGY,Player,22:32,0,0,0,3,0,0,0,1,1178,2230
Coleman Blake,CGY,Player,14:37,2,0,0,3,0,0,2,0,824,2283
Toffoli Tyler,CGY,Player,20:18,1,1,0,2,0,0,5,0,3234,2434
Backlund Mikael,CGY,Player,20:13,1,1,0,2,0,0,6,0,5650,3411
Lindholm Elias,CGY,Player,20:08,0,3,0,3,0,0,5,1,2436,3465
Tanev Chris,CGY,Player,14:24,0,0,0,1,0,0,0,2,2864,3673
Andersson Rasmus,CGY,Player,26:42,0,4,0,3,0,0,1,5,6193,4543
Markstrom Jacob,CGY,Goalie,60:00,-,1,0,-,2,0,14,-,5793,1394
Vladar Daniel,CGY,Goalie,00:00,-,0,0,-,0,0,0,-,1773,2606
