Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Carter Jeff,PIT,Player,18:46,0,0,0,-5,0,0,1,0,3297,474
Letang Kris,PIT,Player,19:55,0,1,0,-1,0,0,0,1,1716,501
Malkin Evgeni,PIT,Player,18:17,1,0,0,0,0,0,2,0,1703,502
Crosby Sidney,PIT,Player,24:14,0,1,0,-1,0,0,2,0,3308,518
Rakell Rickard,PIT,Player,09:38,0,0,0,-4,0,0,1,1,1276,526
Joseph Pierre-Olivier,PIT,Player,18:41,0,0,0,-3,0,0,0,2,6623,678
Caggiula Drake,PIT,Player,07:58,0,1,0,-2,0,0,2,0,6074,704
Dumoulin Brian,PIT,Player,15:34,0,0,0,-4,0,0,0,1,2750,749
Rust Bryan,PIT,Player,13:49,0,0,0,-5,0,0,0,0,431,1005
Heinen Danton,PIT,Player,13:45,0,0,0,0,0,0,1,2,6080,1100
Petry Jeff,PIT,Player,25:10,0,0,0,-2,0,0,0,0,1116,1433
Pettersson Marcus,PIT,Player,24:40,0,0,0,-4,0,0,2,4,3150,1594
Ruhwedel Chad,PIT,Player,16:00,0,0,0,-2,0,0,1,1,3964,2182
Zucker Jason,PIT,Player,23:34,0,0,0,-2,0,0,0,1,2630,3042
Boyle Brian,PIT,Player,14:44,0,0,0,-1,0,0,0,1,3830,4222
Guentzel Jake,PIT,Player,18:50,0,0,0,0,0,0,2,0,6111,4331
Kapanen Kasperi,PIT,Player,08:25,0,1,0,-2,0,0,1,0,991,4360
Blugers Teodors,PIT,Player,08:05,1,0,0,-2,0,0,2,0,341,4454
Jarry Tristan,PIT,Goalie,59:55,-,0,0,-,10,0,39,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
Kane Patrick,CHI,Player,10:23,1,1,2,1,0,0,3,0,5160,151
Toews Jonathan,CHI,Player,12:27,0,0,0,1,0,0,2,3,5161,152
Johnson Jack,CHI,Player,11:44,0,0,0,1,0,0,1,4,1232,285
Jones Seth,CHI,Player,22:49,0,1,0,1,0,0,0,3,4044,424
Kurashev Philipp,CHI,Player,15:55,0,1,0,2,0,0,7,1,1698,542
Connolly Brett,CHI,Player,09:43,0,0,0,0,0,0,1,1,2688,584
Jones Caleb,CHI,Player,21:43,0,3,0,5,0,0,0,3,2949,712
Murphy Connor,CHI,Player,18:12,0,1,0,1,0,0,1,2,289,1842
Johnson Tyler,CHI,Player,20:41,3,2,0,7,0,0,3,0,892,2411
Tinordi Jarred,CHI,Player,23:24,0,0,0,0,0,0,0,5,2087,2435
Katchouk Boris,CHI,Player,08:00,0,0,0,0,0,0,2,0,6594,2457
Raddysh Taylor,CHI,Player,22:10,1,1,0,5,0,0,6,3,6595,2458
Blackwell Colin,CHI,Player,12:08,0,0,0,1,0,0,1,1,3751,2663
McCabe Jake,CHI,Player,23:17,1,0,2,8,0,0,1,8,5306,3478
Domi Max,CHI,Player,08:02,1,0,0,0,0,0,2,0,2552,4013
Khaira Jujhar,CHI,Player,19:27,0,1,0,0,0,0,3,1,4766,4033
Athanasiou Andreas,CHI,Player,21:04,2,3,0,7,0,0,5,2,5664,4103
Dickinson Jason,CHI,Player,08:54,1,0,0,0,0,0,1,1,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,2,0,17,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
