Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,PIT,Player,15:37,0,0,0,-1,0,0,1,0,6121,58
Tkachuk Brady,PIT,Player,21:02,1,0,0,0,0,0,4,0,4369,96
Ellis Ryan,PIT,Player,23:35,0,0,0,1,0,0,0,1,3247,350
Necas Martin,PIT,Player,13:06,0,0,0,0,0,0,1,0,751,377
Letang Kris,PIT,Player,19:52,0,0,0,-1,0,0,0,0,1716,501
Rakell Rickard,PIT,Player,10:23,0,0,0,0,0,0,1,0,1276,526
Backstrom Nicklas,PIT,Player,20:12,0,0,0,-1,0,0,3,0,3066,654
Joseph Pierre-Olivier,PIT,Player,16:23,0,0,0,1,0,0,2,0,6623,678
Caggiula Drake,PIT,Player,12:58,0,0,0,0,0,0,2,0,6074,704
Dumoulin Brian,PIT,Player,17:03,0,0,0,-1,0,0,0,2,2750,749
Heinen Danton,PIT,Player,18:13,0,0,0,0,0,0,4,0,6080,1100
Hughes Quinton,PIT,Player,19:34,0,0,0,0,0,0,3,1,1188,1210
Pettersson Marcus,PIT,Player,17:24,0,0,0,-1,0,0,1,0,3150,1594
Werenski Zach,PIT,Player,19:40,0,0,0,-1,0,0,0,0,6037,2322
Boyle Brian,PIT,Player,15:20,0,0,0,-1,0,0,1,0,3830,4222
Brassard Derrick,PIT,Player,11:55,0,1,0,1,0,0,2,0,5278,4283
Kapanen Kasperi,PIT,Player,15:10,0,0,0,-1,0,0,3,1,991,4360
Blugers Teodors,PIT,Player,12:33,0,0,0,0,0,0,1,0,341,4454
Halak Jaroslav,PIT,Goalie,60:00,-,1,0,-,2,0,28,-,1277,326
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
Johnston Wyatt,DAL,Player,14:50,0,0,0,0,0,0,1,2,6609,195
Benn Jamie,DAL,Player,23:46,0,1,0,1,0,0,2,4,3078,215
Suter Ryan,DAL,Player,20:35,0,0,2,1,0,0,0,4,3444,362
Heiskanen Miro,DAL,Player,28:51,0,0,0,0,0,0,1,5,825,505
Seguin Tyler,DAL,Player,16:56,0,1,0,0,0,0,3,3,3529,541
Guryanov Denis,DAL,Player,10:45,1,0,0,1,0,0,4,1,2137,600
Caamano Nicholas,DAL,Player,14:25,0,0,0,0,0,0,5,3,1383,691
Robertson Jason,DAL,Player,13:39,0,0,0,-1,0,0,1,0,6511,1107
Kiviranta Joel,DAL,Player,05:21,0,0,0,0,0,0,1,0,1746,1247
Hakanpaa Jani,DAL,Player,30:54,0,0,0,1,0,0,0,7,3629,1606
Hintz Roope,DAL,Player,11:44,0,1,0,0,0,0,2,2,4787,1720
Aho Sebastian,DAL,Player,14:55,0,0,0,0,0,0,2,0,4038,1908
Faksa Radek,DAL,Player,14:19,0,1,0,1,0,0,4,2,1664,2024
Dellandrea Ty,DAL,Player,10:38,0,0,0,0,0,0,0,0,5062,2211
Lundkvist Nils,DAL,Player,12:42,0,0,0,0,0,0,0,2,6586,2420
Marchment Mason,DAL,Player,13:20,0,0,0,0,0,0,0,3,1942,2629
Hanley Joel,DAL,Player,16:21,0,0,0,0,0,0,0,4,5563,2691
Lindell Esa,DAL,Player,15:59,1,0,2,1,0,0,2,7,1621,3674
Oettinger Jake,DAL,Goalie,60:00,-,0,0,-,1,0,29,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
