Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Carter Jeff,PIT,Player,04:07,0,0,0,0,0,0,0,0,3297,474
Letang Kris,PIT,Player,06:33,0,0,0,-1,0,0,0,0,1716,501
Malkin Evgeni,PIT,Player,05:40,0,0,0,0,0,0,0,0,1703,502
Crosby Sidney,PIT,Player,05:41,0,0,0,-1,0,0,1,0,3308,518
Rakell Rickard,PIT,Player,04:20,0,0,0,-2,0,0,2,0,1276,526
Joseph Pierre-Olivier,PIT,Player,05:51,0,0,0,0,0,0,0,0,6623,678
Caggiula Drake,PIT,Player,06:01,0,0,0,-1,0,0,0,0,6074,704
Dumoulin Brian,PIT,Player,07:23,0,0,0,-2,0,0,0,0,2750,749
Rust Bryan,PIT,Player,04:15,0,0,0,-2,0,0,1,0,431,1005
Heinen Danton,PIT,Player,05:09,0,0,0,0,0,0,0,0,6080,1100
Petry Jeff,PIT,Player,06:34,0,0,0,-1,0,0,0,0,1116,1433
Pettersson Marcus,PIT,Player,07:36,0,0,0,-2,0,0,0,1,3150,1594
Ruhwedel Chad,PIT,Player,06:03,0,0,0,0,0,0,0,0,3964,2182
Zucker Jason,PIT,Player,04:04,0,0,0,0,0,0,0,0,2630,3042
Boyle Brian,PIT,Player,04:07,0,0,0,0,0,0,1,0,3830,4222
Guentzel Jake,PIT,Player,05:35,0,0,0,0,0,0,0,0,6111,4331
Kapanen Kasperi,PIT,Player,04:56,0,0,0,-1,0,0,1,0,991,4360
Blugers Teodors,PIT,Player,06:05,0,0,0,-2,0,0,0,0,341,4454
Jarry Tristan,PIT,Goalie,20:00,-,0,0,-,3,0,8,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
Barzal Mathew,NYI,Player,06:27,0,0,0,1,0,0,1,0,6065,296
Parise Zach,NYI,Player,05:48,0,0,0,0,0,0,0,0,3395,387
Palmieri Kyle,NYI,Player,04:48,0,0,0,0,0,0,0,0,4569,498
Dobson Noah,NYI,Player,07:52,0,1,0,1,0,0,0,1,2160,667
Martin Matt,NYI,Player,04:30,1,0,0,1,0,0,1,0,5357,850
Mayfield Scott,NYI,Player,04:28,0,0,0,1,0,0,0,0,6058,1148
Cizikas Casey,NYI,Player,03:14,1,0,0,1,0,0,1,0,3210,1532
Romanov Alexander,NYI,Player,08:15,0,0,0,1,0,0,0,1,5790,1579
Bailey Josh,NYI,Player,03:15,0,0,0,1,0,0,1,0,3269,1649
Nelson Brock,NYI,Player,06:27,1,0,0,1,0,0,2,1,3021,1736
Pageau Jean-Gabriel,NYI,Player,05:49,0,0,0,0,0,0,1,1,4952,1808
Lee Anders,NYI,Player,06:27,0,0,0,1,0,0,0,1,2493,1895
Beauvillier Anthony,NYI,Player,04:30,0,1,0,1,0,0,0,0,6066,2074
Hickey Thomas,NYI,Player,03:53,0,1,0,1,0,0,0,1,4517,2097
Wahlstrom Oliver,NYI,Player,04:15,0,1,0,1,0,0,1,0,5065,2234
Pelech Adam,NYI,Player,07:52,0,0,0,1,0,0,0,0,5645,4007
Pulock Ryan,NYI,Player,07:40,0,0,0,1,0,0,0,1,2748,4152
Clutterbuck Cal,NYI,Player,04:30,0,1,0,1,0,0,0,0,5214,4277
Sorokin Ilya,NYI,Goalie,20:00,-,0,0,-,0,0,6,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
