Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,PIT,Player,07:37,1,0,0,0,0,0,2,0,6121,58
Tkachuk Brady,PIT,Player,10:26,0,1,0,0,0,0,1,0,4369,96
Ellis Ryan,PIT,Player,09:14,0,0,0,-2,0,0,0,0,3247,350
Necas Martin,PIT,Player,10:26,0,1,0,0,0,0,0,0,751,377
Letang Kris,PIT,Player,12:23,0,0,0,0,0,0,0,0,1716,501
Rakell Rickard,PIT,Player,09:14,0,0,0,-2,0,0,1,0,1276,526
Backstrom Nicklas,PIT,Player,10:26,1,0,0,0,0,0,1,0,3066,654
Joseph Pierre-Olivier,PIT,Player,07:37,0,1,0,0,0,0,1,0,6623,678
Caggiula Drake,PIT,Player,01:57,0,0,0,0,0,0,0,1,6074,704
Poehling Ryan,PIT,Player,01:57,0,0,0,0,0,0,0,0,5190,758
Heinen Danton,PIT,Player,09:14,0,0,0,-2,0,0,1,1,6080,1100
Hughes Quinton,PIT,Player,09:14,0,0,0,-2,0,0,0,0,1188,1210
Pettersson Marcus,PIT,Player,07:37,1,0,0,0,0,0,1,1,3150,1594
Werenski Zach,PIT,Player,12:23,0,0,0,0,0,0,0,0,6037,2322
Archibald Josh,PIT,Player,01:57,0,0,0,0,0,0,0,0,6136,3432
Boyle Brian,PIT,Player,07:37,0,1,0,0,0,0,1,0,3830,4222
Brassard Derrick,PIT,Player,09:14,0,0,0,-2,0,0,1,1,5278,4283
Kapanen Kasperi,PIT,Player,07:37,0,1,0,0,0,0,0,1,991,4360
Halak Jaroslav,PIT,Goalie,29:14,-,0,0,-,5,0,10,-,1277,326
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
Maroon Patrick,TB,Player,10:41,1,0,0,1,0,0,2,1,969,4
Perry Corey,TB,Player,04:29,0,0,0,1,0,0,1,1,3400,19
Hagel Brandon,TB,Player,05:56,0,0,2,0,0,0,0,0,6555,106
Balcers Rudolfs,TB,Player,09:34,0,0,0,0,0,0,0,0,6256,444
Crosby Sidney,TB,Player,09:34,3,0,0,0,0,0,4,1,3308,518
Point Brayden,TB,Player,04:14,0,0,0,1,0,0,0,0,6070,521
Kucherov Nikita,TB,Player,09:34,0,2,0,0,0,0,0,1,538,623
Myers Philippe,TB,Player,04:29,0,0,0,1,0,0,0,1,1875,762
Fleury Haydn,TB,Player,04:29,0,1,0,1,0,0,0,1,614,1400
Hedman Victor,TB,Player,14:25,0,0,0,0,0,0,0,4,5416,1558
Killorn Alex,TB,Player,04:29,1,0,0,1,0,0,1,0,1170,2413
Colton Ross,TB,Player,04:29,0,1,0,1,0,0,0,0,6593,2456
Cirelli Anthony,TB,Player,10:41,0,1,0,1,0,0,1,1,3041,2839
Namestnikov Vladislav,TB,Player,04:30,0,0,0,0,0,0,1,0,3844,3132
Sergachyov Mikhail,TB,Player,10:20,0,0,0,1,0,0,0,3,5971,3477
Bellemare Pierre-Edouard,TB,Player,04:30,0,0,0,0,0,0,0,0,979,3518
Cole Ian,TB,Player,14:04,0,2,0,0,0,0,0,2,1833,3554
Cernak Erik,TB,Player,10:41,0,1,0,1,0,0,0,2,6198,4549
Vasilevsky Andrei,TB,Goalie,29:14,-,0,0,-,3,0,10,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
