Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,22:01,0,0,0,-1,0,0,0,7,4017,120
Simek Radim,SJ,Player,17:57,0,0,0,-5,0,0,0,2,4584,142
Vlasic Marc-Edouard,SJ,Player,20:16,0,0,0,-3,0,0,0,3,1790,545
Ferraro Mario,SJ,Player,22:55,0,0,0,-1,0,0,0,3,2422,937
Gregor Noah,SJ,Player,15:25,0,1,0,-1,0,0,3,1,5027,941
Lindblom Oskar,SJ,Player,12:34,0,0,0,-2,0,0,1,3,1217,1379
Sturm Nico,SJ,Player,15:04,1,0,0,-1,0,0,4,1,3343,2110
Knyzhov Nikolai,SJ,Player,17:43,0,0,0,-3,0,0,0,4,6517,2148
Barabanov Alexander,SJ,Player,18:13,0,0,0,-1,0,0,1,4,3181,2162
Lorentz Steven,SJ,Player,12:28,0,0,0,-1,0,0,0,0,6523,2198
Dahlen Jonathan,SJ,Player,12:29,0,0,0,-2,0,0,0,0,6591,2447
Weatherby Jasper,SJ,Player,15:51,0,0,0,-2,0,0,2,0,6592,2451
Bonino Nick,SJ,Player,13:48,0,0,0,-3,0,0,1,1,563,2862
Hertl Tomas,SJ,Player,20:32,0,0,0,-3,0,0,0,4,2290,2913
Couture Logan,SJ,Player,14:00,0,0,0,-3,0,0,0,2,4370,3039
Benning Matt,SJ,Player,19:08,0,0,0,-1,0,0,0,1,6097,4305
Meier Timo,SJ,Player,19:12,0,0,0,-2,0,0,2,2,6112,4332
Kunin Luke,SJ,Player,11:47,0,0,0,0,0,0,1,0,735,4448
Reimer James,SJ,Goalie,58:37,-,0,0,-,8,0,28,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
Kane Patrick,CHI,Player,13:13,1,0,0,1,0,0,3,0,5160,151
Toews Jonathan,CHI,Player,14:22,1,1,0,2,0,0,4,2,5161,152
Johnson Jack,CHI,Player,22:44,0,1,0,1,0,0,2,2,1232,285
Jones Seth,CHI,Player,18:54,0,0,0,3,0,0,0,5,4044,424
Kurashev Philipp,CHI,Player,09:19,0,0,0,2,0,0,0,1,1698,542
Connolly Brett,CHI,Player,19:21,0,0,0,1,0,0,2,3,2688,584
Jones Caleb,CHI,Player,18:22,0,1,0,3,0,0,0,1,2949,712
Murphy Connor,CHI,Player,18:38,1,1,0,3,0,0,1,3,289,1842
Johnson Tyler,CHI,Player,21:02,1,1,0,2,0,0,3,2,892,2411
Tinordi Jarred,CHI,Player,19:50,0,0,0,2,0,0,0,4,2087,2435
Katchouk Boris,CHI,Player,11:51,2,0,0,2,0,0,4,0,6594,2457
Raddysh Taylor,CHI,Player,18:07,1,1,0,3,0,0,1,3,6595,2458
Blackwell Colin,CHI,Player,11:56,0,1,0,2,0,0,1,0,3751,2663
McCabe Jake,CHI,Player,21:32,0,0,0,2,0,0,0,6,5306,3478
Domi Max,CHI,Player,14:39,0,1,0,2,0,0,2,1,2552,4013
Khaira Jujhar,CHI,Player,12:40,0,1,0,1,0,0,0,1,4766,4033
Athanasiou Andreas,CHI,Player,19:02,1,2,0,2,0,0,4,2,5664,4103
Dickinson Jason,CHI,Player,14:28,0,0,0,1,0,0,1,1,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,1,0,15,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
