Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,22:19,0,2,0,-2,0,0,0,3,4017,120
Simek Radim,SJ,Player,22:55,0,0,0,-4,0,0,0,3,4584,142
Vlasic Marc-Edouard,SJ,Player,16:56,0,0,0,-3,0,0,0,1,1790,545
Evans Jake,SJ,Player,16:57,1,1,0,-1,0,0,3,1,3818,754
Ferraro Mario,SJ,Player,19:32,0,1,0,0,0,0,2,3,2422,937
Gregor Noah,SJ,Player,12:49,1,0,0,-2,0,0,2,2,5027,941
Lindblom Oskar,SJ,Player,16:11,0,0,0,-3,0,0,0,1,1217,1379
Knyzhov Nikolai,SJ,Player,20:45,0,1,0,-3,0,0,0,3,6517,2148
Barabanov Alexander,SJ,Player,17:39,2,0,0,-2,0,0,5,1,3181,2162
Lorentz Steven,SJ,Player,11:13,0,1,0,-1,0,0,0,0,6523,2198
Dahlen Jonathan,SJ,Player,14:00,0,1,0,-2,0,0,0,5,6591,2447
Hertl Tomas,SJ,Player,17:34,0,1,0,-3,0,0,1,2,2290,2913
Couture Logan,SJ,Player,14:33,0,0,0,-2,0,0,0,1,4370,3039
Kotkaniemi Jesperi,SJ,Player,13:08,1,0,0,0,0,0,2,1,5051,3878
Benning Matt,SJ,Player,17:33,0,0,0,-4,0,0,0,2,6097,4305
Labanc Kevin,SJ,Player,11:18,0,0,0,-1,0,0,1,0,6099,4308
Meier Timo,SJ,Player,16:05,1,0,0,-4,0,0,2,0,6112,4332
Kunin Luke,SJ,Player,16:30,0,0,0,-3,0,0,2,0,735,4448
Reimer James,SJ,Goalie,60:00,-,0,2,-,15,0,49,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
Forsling Gustav,FLA,Player,22:41,0,0,0,-1,0,0,1,6,4628,3
Staal Eric,FLA,Player,11:45,3,2,0,3,0,0,9,1,1882,121
Reinhart Sam,FLA,Player,16:05,2,1,0,3,0,0,3,0,2477,379
Bennett Sam,FLA,Player,17:28,0,3,0,4,0,0,2,0,2478,393
Rasmussen Michael,FLA,Player,11:24,0,2,0,1,0,0,1,0,6556,399
Staal Marc,FLA,Player,19:35,0,0,0,5,0,0,0,5,5158,433
Barkov Aleksander,FLA,Player,19:41,1,3,0,0,1,0,5,2,1405,699
Lundell Anton,FLA,Player,12:29,2,2,0,3,0,0,8,1,6572,848
Ekblad Aaron,FLA,Player,23:54,1,0,0,-1,0,0,3,3,2485,1106
Luostarinen Eetu,FLA,Player,12:22,1,0,0,1,0,0,2,1,2136,1245
Hornqvist Patric,FLA,Player,12:18,0,3,0,4,0,0,3,1,3077,1411
Montour Brandon,FLA,Player,16:29,0,2,0,4,0,0,0,5,6124,2226
Tkachuk Matthew,FLA,Player,20:13,1,2,0,0,0,0,1,0,5951,2362
Duclair Anthony,FLA,Player,12:40,2,1,0,4,0,0,4,0,2495,2393
Gudas Radko,FLA,Player,17:44,0,0,0,4,0,0,1,2,3632,2409
Verhaeghe Carter,FLA,Player,22:29,1,1,0,0,0,0,4,0,1035,2641
Mahura Josh,FLA,Player,19:37,0,1,0,5,0,0,0,4,466,2667
Cousins Nick,FLA,Player,11:06,1,0,0,1,0,0,2,1,4665,4041
Francouz Pavel,FLA,Goalie,60:00,-,0,0,-,6,0,20,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
