Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,20:45,0,0,0,2,0,0,0,6,4017,120
Simek Radim,SJ,Player,14:06,0,0,0,-1,0,0,0,5,4584,142
Vlasic Marc-Edouard,SJ,Player,21:06,0,2,0,-3,0,0,0,2,1790,545
Ferraro Mario,SJ,Player,25:54,0,0,0,0,0,0,0,5,2422,937
Gregor Noah,SJ,Player,13:58,0,1,0,-1,0,0,0,0,5027,941
Lindblom Oskar,SJ,Player,15:50,0,1,0,-1,0,0,6,1,1217,1379
Sturm Nico,SJ,Player,12:35,0,1,2,-1,0,0,2,2,3343,2110
Knyzhov Nikolai,SJ,Player,20:04,0,0,0,-1,0,0,0,2,6517,2148
Barabanov Alexander,SJ,Player,13:53,1,1,0,1,0,0,5,0,3181,2162
Lorentz Steven,SJ,Player,11:48,1,0,0,1,0,0,2,2,6523,2198
Dahlen Jonathan,SJ,Player,18:31,0,1,0,-4,0,0,1,2,6591,2447
Weatherby Jasper,SJ,Player,12:23,1,0,0,0,0,0,1,1,6592,2451
Bonino Nick,SJ,Player,12:52,1,0,0,-1,0,0,2,1,563,2862
Hertl Tomas,SJ,Player,17:28,1,1,0,1,0,0,1,0,2290,2913
Couture Logan,SJ,Player,14:31,0,1,0,-3,0,0,2,0,4370,3039
Benning Matt,SJ,Player,18:05,0,1,2,-1,0,0,0,1,6097,4305
Meier Timo,SJ,Player,17:18,0,2,0,1,0,0,2,1,6112,4332
Kunin Luke,SJ,Player,16:19,1,0,0,1,0,0,1,2,735,4448
Reimer James,SJ,Goalie,59:07,-,0,0,-,9,1,26,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
Iafallo Alex,LA,Player,11:11,1,1,0,0,0,0,2,0,6121,58
Durzi Sean,LA,Player,19:19,0,2,0,1,0,0,1,3,6611,82
Doughty Drew,LA,Player,25:55,0,0,0,0,0,0,0,2,216,294
Kopitar Anze,LA,Player,20:11,1,0,0,-1,0,0,1,1,2287,298
Lemieux Brendan,LA,Player,13:59,2,0,0,3,0,0,2,3,1391,443
Edler Alexander,LA,Player,22:18,0,1,0,0,0,0,0,3,3842,611
Roy Matt,LA,Player,17:12,0,0,2,2,0,0,1,4,4118,728
Moore Trevor,LA,Player,10:58,1,1,0,0,1,0,3,2,3034,732
Fiala Kevin,LA,Player,16:17,0,2,0,-1,0,0,1,0,2511,803
Lizotte Blake,LA,Player,08:02,0,1,0,1,0,0,0,1,1333,1149
Anderson Mikey,LA,Player,18:06,0,1,0,1,0,0,0,1,6513,1866
Kempe Adrian,LA,Player,19:05,1,2,0,-1,1,0,5,1,6129,2020
Bjornfot Tobias,LA,Player,18:25,0,1,0,1,0,0,0,3,6530,2222
Kaliyev Arthur,LA,Player,17:19,1,1,0,1,0,0,4,1,6567,2354
Kupari Rasmus,LA,Player,11:16,1,1,0,0,0,0,1,1,6581,2405
Byfield Quinton,LA,Player,09:13,1,0,0,0,0,0,1,0,6582,2406
Arvidsson Viktor,LA,Player,15:45,0,0,0,0,0,0,2,2,4310,4040
Danault Phillip,LA,Player,21:58,1,2,0,2,0,1,3,2,5218,4101
Petersen Cal,LA,Goalie,58:33,-,1,0,-,6,0,25,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
