Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,22:21,0,2,0,4,0,0,0,2,4017,120
Simek Radim,SJ,Player,19:28,0,1,0,1,0,0,0,1,4584,142
Vlasic Marc-Edouard,SJ,Player,19:03,0,2,0,4,0,0,0,1,1790,545
Ferraro Mario,SJ,Player,21:43,0,0,0,3,0,0,0,3,2422,937
Gregor Noah,SJ,Player,13:05,1,1,0,2,0,0,7,1,5027,941
Lindblom Oskar,SJ,Player,12:18,4,0,0,4,0,0,7,0,1217,1379
Sturm Nico,SJ,Player,11:57,1,1,0,2,0,0,3,0,3343,2110
Knyzhov Nikolai,SJ,Player,18:36,0,1,0,0,0,0,0,2,6517,2148
Barabanov Alexander,SJ,Player,19:34,2,0,0,2,0,0,4,1,3181,2162
Lorentz Steven,SJ,Player,11:04,0,3,0,4,0,0,2,0,6523,2198
Dahlen Jonathan,SJ,Player,14:15,0,1,0,-1,0,0,2,0,6591,2447
Weatherby Jasper,SJ,Player,15:53,0,0,0,3,0,0,3,0,6592,2451
Bonino Nick,SJ,Player,15:03,1,1,0,0,0,0,4,0,563,2862
Hertl Tomas,SJ,Player,21:40,0,1,0,2,0,0,3,0,2290,2913
Couture Logan,SJ,Player,15:38,1,1,0,0,0,0,3,0,4370,3039
Benning Matt,SJ,Player,18:49,0,0,0,4,0,0,0,2,6097,4305
Meier Timo,SJ,Player,18:48,0,2,0,2,0,0,3,1,6112,4332
Kunin Luke,SJ,Player,10:45,0,3,0,4,0,0,0,2,735,4448
Reimer James,SJ,Goalie,60:00,-,0,0,-,2,0,15,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
Suzuki Nick,MTL,Player,16:08,1,0,0,-2,0,0,2,6,1922,191
Gallagher Brendan,MTL,Player,15:18,0,0,0,-2,0,0,2,0,2699,308
Drouin Jonathan,MTL,Player,15:13,0,0,0,-1,0,0,3,3,2499,346
Anderson Josh,MTL,Player,16:35,0,0,0,-2,0,0,2,1,4955,381
Guhle Kaiden,MTL,Player,23:24,0,0,0,-2,0,0,0,5,6615,405
Slafkovsky Juraj,MTL,Player,15:10,0,0,0,-2,0,0,1,3,6616,466
Dadonov Evgeny,MTL,Player,14:21,1,0,0,-2,0,0,1,2,4051,640
Savard David,MTL,Player,17:17,0,0,0,-3,0,0,0,1,4423,707
Evans Jake,MTL,Player,13:40,0,0,0,-3,0,0,0,0,3818,754
Matheson Michael,MTL,Player,18:12,0,0,0,-3,0,0,0,4,6057,846
Caufield Cole,MTL,Player,17:11,0,0,0,-1,0,0,1,3,6558,1110
Dach Kirby,MTL,Player,13:10,0,0,0,-3,0,0,0,1,3937,1163
Monahan Sean,MTL,Player,14:29,0,1,0,-2,0,0,1,1,5281,1397
Edmundson Joel,MTL,Player,22:59,0,0,0,-2,0,0,0,9,4557,1904
Dvorak Christian,MTL,Player,15:43,0,0,0,-1,0,0,2,1,6034,2057
Hoffman Mike,MTL,Player,13:02,0,0,0,-3,0,0,0,2,2611,3520
Wideman Chris,MTL,Player,18:24,0,0,0,-3,0,0,0,2,4184,4009
Bowey Madison,MTL,Player,19:44,0,0,0,-3,0,0,0,2,6201,4553
Price Carey,MTL,Goalie,60:00,-,0,0,-,10,0,41,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
