Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,20:06,0,2,0,2,0,0,1,1,4017,120
Simek Radim,SJ,Player,14:09,0,0,0,-3,0,0,0,1,4584,142
Vlasic Marc-Edouard,SJ,Player,22:35,0,1,0,1,0,0,0,4,1790,545
Ferraro Mario,SJ,Player,24:19,0,0,0,2,0,0,0,1,2422,937
Gregor Noah,SJ,Player,12:24,0,1,0,2,0,0,2,0,5027,941
Lindblom Oskar,SJ,Player,14:56,0,0,0,0,0,0,2,0,1217,1379
Sturm Nico,SJ,Player,12:18,1,1,0,2,0,0,2,0,3343,2110
Knyzhov Nikolai,SJ,Player,17:19,0,0,0,-3,0,0,1,2,6517,2148
Barabanov Alexander,SJ,Player,18:51,1,0,0,1,0,0,4,1,3181,2162
Lorentz Steven,SJ,Player,12:08,0,0,0,0,0,0,0,0,6523,2198
Dahlen Jonathan,SJ,Player,15:01,0,1,0,-3,0,0,3,0,6591,2447
Weatherby Jasper,SJ,Player,13:03,1,1,0,2,0,0,2,1,6592,2451
Bonino Nick,SJ,Player,13:49,0,0,0,-3,0,0,2,2,563,2862
Hertl Tomas,SJ,Player,18:50,0,1,0,1,0,0,3,3,2290,2913
Couture Logan,SJ,Player,18:15,1,0,0,-3,1,0,4,1,4370,3039
Benning Matt,SJ,Player,21:32,0,0,0,1,0,0,0,2,6097,4305
Meier Timo,SJ,Player,19:48,1,0,0,1,0,0,4,2,6112,4332
Kunin Luke,SJ,Player,10:37,0,0,0,0,0,0,1,0,735,4448
Reimer James,SJ,Goalie,60:00,-,1,0,-,4,0,27,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
Smith Brendan,NJ,Player,18:14,0,0,0,-1,0,0,0,4,1851,38
Haula Erik,NJ,Player,09:09,0,1,0,0,0,0,1,0,5356,74
Sharangovich Yegor,NJ,Player,15:30,0,2,0,1,0,0,0,2,1810,200
Hamilton Dougie,NJ,Player,20:59,0,1,0,0,0,0,0,6,782,212
Zetterlund Fabian,NJ,Player,19:01,0,0,0,0,0,0,1,0,6629,375
Siegenthaler Jonas,NJ,Player,19:01,1,0,0,0,0,0,2,2,3442,512
Bratt Jesper,NJ,Player,17:45,0,0,0,0,0,0,0,3,375,636
Graves Ryan,NJ,Player,20:00,0,2,2,0,0,0,3,3,4126,684
Tatar Tomas,NJ,Player,08:17,0,0,0,0,0,0,0,2,5524,695
Marino John,NJ,Player,20:47,0,1,0,1,0,0,0,4,3769,932
Hughes Jack,NJ,Player,19:10,1,0,0,0,0,0,9,1,916,1222
Severson Damon,NJ,Player,20:59,0,0,0,0,0,0,0,3,2492,1685
Bastian Nathan,NJ,Player,11:07,0,0,0,-1,0,0,0,0,6514,2063
Mercer Dawson,NJ,Player,14:15,0,0,0,0,0,0,1,0,6563,2223
Palat Ondrej,NJ,Player,17:35,0,1,0,0,0,0,4,0,2871,2416
McLeod Michael,NJ,Player,14:56,0,0,0,0,0,0,3,0,4939,3240
Wood Miles,NJ,Player,13:44,0,0,0,0,0,0,0,1,5940,4242
Hischier Nico,NJ,Player,18:17,2,0,0,0,0,0,3,3,6163,4410
Blackwood Mackenzie,NJ,Goalie,59:51,-,0,0,-,5,0,31,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
