Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,22:09,0,1,0,-2,0,0,0,5,4017,120
Simek Radim,SJ,Player,17:34,0,0,0,2,0,0,0,1,4584,142
Vlasic Marc-Edouard,SJ,Player,21:05,0,0,0,-2,0,0,0,1,1790,545
Ferraro Mario,SJ,Player,18:22,0,0,0,-2,0,0,0,6,2422,937
Gregor Noah,SJ,Player,12:15,0,0,0,-2,0,0,0,3,5027,941
Lindblom Oskar,SJ,Player,11:24,1,1,0,0,0,0,3,3,1217,1379
Sturm Nico,SJ,Player,12:24,0,0,0,-2,0,0,1,1,3343,2110
Knyzhov Nikolai,SJ,Player,25:53,0,2,0,2,0,0,1,3,6517,2148
Barabanov Alexander,SJ,Player,22:33,0,0,0,-2,0,0,1,1,3181,2162
Lorentz Steven,SJ,Player,09:25,0,0,0,0,0,0,0,1,6523,2198
Dahlen Jonathan,SJ,Player,18:38,1,1,0,2,0,0,2,1,6591,2447
Weatherby Jasper,SJ,Player,12:13,0,0,0,-2,0,0,0,0,6592,2451
Bonino Nick,SJ,Player,15:41,1,1,0,2,0,0,1,2,563,2862
Hertl Tomas,SJ,Player,21:14,1,0,0,-2,0,0,3,4,2290,2913
Couture Logan,SJ,Player,19:09,2,1,0,2,1,0,4,3,4370,3039
Benning Matt,SJ,Player,18:43,0,1,0,-2,0,0,0,6,6097,4305
Meier Timo,SJ,Player,19:44,0,0,0,-1,0,0,1,1,6112,4332
Kunin Luke,SJ,Player,09:06,0,1,0,0,0,0,1,2,735,4448
Reimer James,SJ,Goalie,40:00,-,0,0,-,5,0,12,-,4874,99
Dell Aaron,SJ,Goalie,21:53,-,0,0,-,2,0,10,-,6059,1601
Barzal Mathew,NYI,Player,19:23,0,2,0,1,0,0,2,1,6065,296
Parise Zach,NYI,Player,18:21,1,0,0,-1,0,0,1,0,3395,387
Palmieri Kyle,NYI,Player,19:03,1,0,0,1,0,0,3,1,4569,498
Dobson Noah,NYI,Player,17:31,0,2,0,1,0,0,0,2,2160,667
Martin Matt,NYI,Player,04:14,0,1,0,1,0,0,2,0,5357,850
Mayfield Scott,NYI,Player,20:53,0,0,0,1,0,0,1,2,6058,1148
Cizikas Casey,NYI,Player,13:34,0,0,0,1,0,0,1,1,3210,1532
Romanov Alexander,NYI,Player,17:25,0,1,0,-1,0,0,0,3,5790,1579
Bailey Josh,NYI,Player,15:53,1,0,2,-2,0,0,2,0,3269,1649
Nelson Brock,NYI,Player,15:42,0,2,0,-2,0,0,1,2,3021,1736
Pageau Jean-Gabriel,NYI,Player,22:19,1,0,0,2,0,0,2,1,4952,1808
Lee Anders,NYI,Player,19:43,1,0,2,0,0,0,1,2,2493,1895
Beauvillier Anthony,NYI,Player,09:54,0,0,0,1,0,0,3,0,6066,2074
Hickey Thomas,NYI,Player,17:27,0,1,0,2,0,0,0,0,4517,2097
Wahlstrom Oliver,NYI,Player,13:09,0,0,0,2,0,0,0,2,5065,2234
Pelech Adam,NYI,Player,27:01,0,0,0,1,0,0,0,3,5645,4007
Pulock Ryan,NYI,Player,23:29,1,0,0,0,0,0,2,1,2748,4152
Clutterbuck Cal,NYI,Player,03:30,1,0,0,1,0,0,1,0,5214,4277
Sorokin Ilya,NYI,Goalie,21:20,-,0,0,-,3,0,6,-,5141,2065
Varlamov Semyon,NYI,Goalie,40:33,-,0,0,-,3,0,12,-,4806,3344
