Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,19:55,0,0,0,0,0,0,0,5,4017,120
Simek Radim,SJ,Player,17:58,0,1,0,3,0,0,0,0,4584,142
Vlasic Marc-Edouard,SJ,Player,20:09,0,0,0,2,0,0,1,4,1790,545
Evans Jake,SJ,Player,08:46,0,1,0,1,0,0,1,0,3818,754
Ferraro Mario,SJ,Player,17:30,0,1,0,1,0,0,0,3,2422,937
Gregor Noah,SJ,Player,16:47,1,2,2,3,0,0,2,1,5027,941
Lindblom Oskar,SJ,Player,11:34,0,1,0,2,0,0,4,0,1217,1379
Knyzhov Nikolai,SJ,Player,22:38,1,0,0,3,0,0,2,3,6517,2148
Barabanov Alexander,SJ,Player,14:58,0,1,0,0,0,0,0,2,3181,2162
Lorentz Steven,SJ,Player,11:43,0,0,0,0,0,0,2,0,6523,2198
Dahlen Jonathan,SJ,Player,14:52,0,2,0,4,0,0,3,0,6591,2447
Hertl Tomas,SJ,Player,18:25,0,1,0,0,0,0,1,0,2290,2913
Couture Logan,SJ,Player,16:57,2,1,0,4,0,0,5,1,4370,3039
Kotkaniemi Jesperi,SJ,Player,15:43,1,0,0,0,0,0,5,3,5051,3878
Benning Matt,SJ,Player,21:50,0,0,0,1,0,0,0,3,6097,4305
Labanc Kevin,SJ,Player,11:42,0,0,0,0,0,0,0,1,6099,4308
Meier Timo,SJ,Player,21:11,1,0,0,0,0,0,2,1,6112,4332
Kunin Luke,SJ,Player,12:23,1,0,0,1,0,0,4,0,735,4448
Reimer James,SJ,Goalie,60:00,-,0,0,-,2,0,32,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
Boyd Travis,PHX,Player,16:54,0,0,0,-2,0,0,2,2,2792,141
Ladd Andrew,PHX,Player,07:30,0,0,0,-1,0,0,0,1,3368,146
Chychrun Jakob,PHX,Player,20:51,0,1,0,-1,0,0,1,2,6064,187
Maccelli Matias,PHX,Player,18:30,0,0,0,-1,0,0,3,1,6622,202
Valimaki Juuso,PHX,Player,18:18,0,0,0,-4,0,0,1,6,6503,395
Moser JJ,PHX,Player,17:45,0,0,0,-3,0,0,0,3,6620,561
Crouse Lawson,PHX,Player,18:20,0,0,2,-3,0,0,2,1,6038,587
Kassian Zack,PHX,Player,10:50,0,1,0,-1,0,0,1,1,1010,609
Nemeth Patrik,PHX,Player,20:07,0,1,0,-1,0,0,0,5,2481,612
Guenther Dylan,PHX,Player,12:40,0,0,0,0,0,0,1,1,6621,615
Ritchie Nick,PHX,Player,15:25,0,0,0,-2,0,0,0,1,4909,1013
Schmaltz Nick,PHX,Player,16:21,1,0,0,0,0,0,5,1,6036,2292
Mayo Dysin,PHX,Player,22:31,0,0,0,-1,0,0,0,2,6588,2426
Bjugstad Nick,PHX,Player,17:03,0,0,0,-1,0,0,1,1,1864,2696
Fischer Christian ,PHX,Player,16:07,0,0,0,-2,0,0,3,0,6133,3226
Keller Clayton,PHX,Player,15:40,0,0,0,0,0,0,9,1,6134,3264
Gostisbehere Shayne,PHX,Player,20:28,0,0,0,0,0,0,0,1,659,4010
Dauphin Laurent,PHX,Player,10:37,1,0,0,-2,0,0,3,2,5741,4116
Ingram Connor,PHX,Goalie,00:00,-,0,0,-,0,0,0,-,6619,491
Vejmelka Karel,PHX,Goalie,59:05,-,0,0,-,5,2,30,-,6571,507
