Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,22:48,0,0,0,2,0,0,0,4,4017,120
Simek Radim,SJ,Player,16:46,0,1,0,0,0,0,0,3,4584,142
Vlasic Marc-Edouard,SJ,Player,18:01,0,1,0,1,0,0,0,3,1790,545
Ferraro Mario,SJ,Player,20:13,0,0,0,2,0,0,0,1,2422,937
Gregor Noah,SJ,Player,11:15,0,2,0,1,0,0,3,0,5027,941
Lindblom Oskar,SJ,Player,08:02,0,0,0,0,0,0,0,2,1217,1379
Sturm Nico,SJ,Player,13:38,1,2,0,0,0,0,1,2,3343,2110
Knyzhov Nikolai,SJ,Player,19:22,0,0,2,-1,0,0,0,4,6517,2148
Barabanov Alexander,SJ,Player,15:58,1,2,0,3,0,0,8,0,3181,2162
Lorentz Steven,SJ,Player,07:25,0,1,0,0,0,0,2,0,6523,2198
Dahlen Jonathan,SJ,Player,12:20,0,1,0,-1,0,0,0,1,6591,2447
Weatherby Jasper,SJ,Player,12:19,2,1,0,2,0,0,5,0,6592,2451
Bonino Nick,SJ,Player,22:10,0,0,0,-1,0,0,5,2,563,2862
Hertl Tomas,SJ,Player,25:04,1,1,0,2,0,0,3,4,2290,2913
Couture Logan,SJ,Player,12:10,1,0,0,0,0,0,2,1,4370,3039
Benning Matt,SJ,Player,23:01,0,1,0,1,0,0,1,6,6097,4305
Meier Timo,SJ,Player,22:13,0,3,2,2,0,0,4,2,6112,4332
Kunin Luke,SJ,Player,09:08,2,0,5,1,0,1,3,0,735,4448
Reimer James,SJ,Goalie,40:00,-,0,0,-,5,0,26,-,4874,99
Dell Aaron,SJ,Goalie,20:00,-,0,0,-,1,0,11,-,6059,1601
Carter Jeff,PIT,Player,17:40,0,1,0,-1,0,0,6,1,3297,474
Letang Kris,PIT,Player,15:55,0,0,5,-3,0,0,0,0,1716,501
Malkin Evgeni,PIT,Player,20:03,0,2,0,-3,0,0,3,0,1703,502
Crosby Sidney,PIT,Player,20:41,0,1,0,-3,0,0,1,0,3308,518
Rakell Rickard,PIT,Player,12:50,1,0,0,0,0,0,3,1,1276,526
Joseph Pierre-Olivier,PIT,Player,19:40,0,0,0,2,0,0,2,2,6623,678
Caggiula Drake,PIT,Player,08:52,0,2,0,-1,0,0,1,1,6074,704
Dumoulin Brian,PIT,Player,17:40,0,1,0,-1,0,0,0,1,2750,749
Rust Bryan,PIT,Player,17:57,1,0,0,0,1,0,6,0,431,1005
Heinen Danton,PIT,Player,13:16,0,1,0,1,0,0,1,0,6080,1100
Petry Jeff,PIT,Player,24:46,0,0,0,-3,0,0,0,1,1116,1433
Pettersson Marcus,PIT,Player,26:22,0,1,0,-2,0,0,2,0,3150,1594
Ruhwedel Chad,PIT,Player,15:37,0,1,0,1,0,0,1,0,3964,2182
Zucker Jason,PIT,Player,17:50,0,1,0,1,0,0,1,0,2630,3042
Boyle Brian,PIT,Player,14:02,1,0,0,0,0,0,2,0,3830,4222
Guentzel Jake,PIT,Player,20:28,1,0,0,-3,0,0,3,0,6111,4331
Kapanen Kasperi,PIT,Player,09:16,1,1,0,-1,0,0,3,0,991,4360
Blugers Teodors,PIT,Player,07:10,1,0,0,1,0,0,2,0,341,4454
Jarry Tristan,PIT,Goalie,59:55,-,0,0,-,8,0,37,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
