Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,25:54,0,0,0,-2,0,0,0,3,4017,120
Simek Radim,SJ,Player,21:10,0,0,0,-2,0,0,0,1,4584,142
Vlasic Marc-Edouard,SJ,Player,19:29,0,1,0,1,0,0,0,4,1790,545
Evans Jake,SJ,Player,14:46,1,2,0,3,0,0,1,0,3818,754
Ferraro Mario,SJ,Player,18:47,0,0,0,-1,0,0,0,2,2422,937
Gregor Noah,SJ,Player,14:19,0,0,2,-1,0,0,1,1,5027,941
Lindblom Oskar,SJ,Player,12:17,2,1,0,3,0,0,3,0,1217,1379
Knyzhov Nikolai,SJ,Player,16:00,0,0,0,0,0,0,0,2,6517,2148
Barabanov Alexander,SJ,Player,11:10,0,0,0,-2,0,0,1,1,3181,2162
Lorentz Steven,SJ,Player,11:03,0,0,0,-1,0,0,0,0,6523,2198
Dahlen Jonathan,SJ,Player,10:16,0,0,0,-1,0,0,0,2,6591,2447
Hertl Tomas,SJ,Player,18:58,0,0,0,-3,0,0,2,2,2290,2913
Couture Logan,SJ,Player,11:35,0,1,0,0,0,0,0,0,4370,3039
Kotkaniemi Jesperi,SJ,Player,19:39,0,1,0,-2,0,0,1,3,5051,3878
Benning Matt,SJ,Player,21:18,0,0,2,1,0,0,0,3,6097,4305
Labanc Kevin,SJ,Player,14:01,1,0,0,-1,0,0,1,0,6099,4308
Meier Timo,SJ,Player,16:07,1,0,0,0,0,1,2,2,6112,4332
Kunin Luke,SJ,Player,18:54,0,2,0,3,0,0,0,0,735,4448
Reimer James,SJ,Goalie,61:18,-,1,0,-,6,0,24,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
Nyquist Gustav,STL,Player,12:20,0,1,0,-1,0,0,1,0,3158,16
Leddy Nick,STL,Player,12:50,0,0,0,-1,0,0,0,4,4412,136
Johnson Kent,STL,Player,15:10,0,0,0,-1,0,0,0,1,6608,159
Bozak Tyler,STL,Player,12:27,0,1,0,-1,0,0,1,1,2255,571
Buchnevich Pavel,STL,Player,11:10,1,0,0,1,0,0,1,0,226,1067
Saad Brandon,STL,Player,16:16,0,1,0,0,0,0,0,0,1737,1234
Thomas Robert,STL,Player,17:11,1,1,0,-1,0,0,1,0,3452,1332
Bortuzzo Robert,STL,Player,12:59,0,0,0,-1,0,0,1,2,4409,2134
Mikkola Niko,STL,Player,22:32,0,0,0,2,0,0,0,6,1141,2155
Parayko Colton,STL,Player,21:49,0,1,0,2,0,0,1,4,4669,2158
Pitlick Rem,STL,Player,13:09,0,1,0,0,0,0,1,0,6566,2343
Kaliyev Arthur,STL,Player,13:33,1,0,0,-1,0,0,1,1,6567,2354
O'Reilly Ryan,STL,Player,19:58,1,1,0,2,0,0,5,1,3062,2382
Krug Torey,STL,Player,25:58,0,2,0,0,0,0,1,4,3615,2521
Faulk Justin,STL,Player,26:28,0,0,0,0,0,0,0,5,3744,3400
Danault Phillip,STL,Player,16:50,0,1,0,0,0,0,1,2,5218,4101
Vrana Jakub,STL,Player,16:14,1,1,0,2,0,0,6,1,6115,4338
Tarasenko Vladimir,STL,Player,19:24,1,1,0,2,0,0,3,0,2695,4349
Binnington Jordan,STL,Goalie,60:12,-,0,0,-,5,0,12,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
