Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,24:30,0,0,0,0,0,0,0,3,4017,120
Simek Radim,SJ,Player,14:27,0,0,0,0,0,0,0,2,4584,142
Vlasic Marc-Edouard,SJ,Player,18:00,0,0,0,0,0,0,0,1,1790,545
Ferraro Mario,SJ,Player,26:51,0,0,0,0,0,0,0,2,2422,937
Gregor Noah,SJ,Player,11:48,0,1,0,1,0,0,1,2,5027,941
Lindblom Oskar,SJ,Player,10:52,0,0,0,-1,0,0,4,0,1217,1379
Sturm Nico,SJ,Player,13:16,1,0,2,1,0,0,2,1,3343,2110
Knyzhov Nikolai,SJ,Player,23:32,0,0,0,0,0,0,0,4,6517,2148
Barabanov Alexander,SJ,Player,14:19,1,0,0,0,0,0,2,0,3181,2162
Lorentz Steven,SJ,Player,10:27,0,0,2,-1,0,0,3,1,6523,2198
Dahlen Jonathan,SJ,Player,09:52,0,0,0,0,0,0,0,0,6591,2447
Weatherby Jasper,SJ,Player,14:11,0,1,0,1,0,0,2,1,6592,2451
Bonino Nick,SJ,Player,22:01,0,0,0,0,0,0,0,1,563,2862
Hertl Tomas,SJ,Player,25:05,0,1,0,0,0,0,5,2,2290,2913
Couture Logan,SJ,Player,12:34,0,0,0,0,0,0,1,0,4370,3039
Benning Matt,SJ,Player,23:42,0,0,0,0,0,0,0,3,6097,4305
Meier Timo,SJ,Player,16:24,0,1,0,0,0,0,1,1,6112,4332
Kunin Luke,SJ,Player,15:42,0,0,0,-1,0,0,2,1,735,4448
Reimer James,SJ,Goalie,65:00,-,0,2,-,2,0,19,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
Marner Mitchell,TOR,Player,20:49,0,1,0,0,0,0,1,0,6033,348
Sandin Rasmus,TOR,Player,14:57,0,0,0,0,0,0,0,0,1924,602
Nylander William,TOR,Player,21:30,0,0,0,0,0,0,3,1,1498,646
Engvall Pierre,TOR,Player,13:45,0,1,0,0,0,0,1,0,3511,947
Liljegren Timothy,TOR,Player,32:14,0,0,0,0,0,0,0,3,5449,953
Kampf David,TOR,Player,13:48,1,0,0,0,0,0,2,0,6153,1102
Muzzin Jake,TOR,Player,20:05,0,0,0,0,0,0,0,2,2862,1186
Simmonds Wayne,TOR,Player,09:46,0,0,0,0,0,0,0,0,3263,1200
Rielly Morgan,TOR,Player,30:06,0,0,0,0,0,0,1,3,5557,2086
Aston-Reese Zach,TOR,Player,09:54,0,0,0,0,0,0,1,2,4927,2274
Gaudette Adam,TOR,Player,10:12,0,0,0,-1,0,0,1,0,1194,2383
Jarnkrok Calle,TOR,Player,11:20,0,1,0,0,0,0,1,1,459,2396
Bunting Michael,TOR,Player,23:26,1,0,0,0,0,0,2,1,6597,2463
Brodie T.J.,TOR,Player,17:49,0,0,0,0,0,0,0,3,1063,2864
Giordano Mark,TOR,Player,14:49,0,0,0,0,0,0,0,1,3327,2964
Tavares John,TOR,Player,16:18,0,0,0,0,0,0,2,2,719,3008
Matthews Auston,TOR,Player,25:01,0,1,0,1,0,0,2,2,3082,3250
Kerfoot Alex,TOR,Player,14:30,0,0,0,0,0,0,2,0,6186,4530
Samsonov Ilya,TOR,Goalie,64:41,-,0,0,-,2,0,23,-,2218,1291
Murray Matt,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,5043,4111
