Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bozak Tyler,STL,Player,12:22,1,0,0,0,0,0,2,1,2255,571
Barbashyov Ivan,STL,Player,19:06,0,1,0,-1,0,0,1,0,3871,986
Buchnevich Pavel,STL,Player,15:31,1,1,0,-2,0,0,2,1,226,1067
Saad Brandon,STL,Player,17:16,1,1,0,-2,0,0,1,0,1737,1234
Thomas Robert,STL,Player,10:43,1,0,0,0,0,0,1,1,3452,1332
Acciari Noel,STL,Player,13:31,0,1,0,-1,0,0,1,1,2639,1973
Bortuzzo Robert,STL,Player,18:37,0,0,0,0,0,0,0,3,4409,2134
Mikkola Niko,STL,Player,18:21,0,0,0,-1,0,0,0,3,1141,2155
Parayko Colton,STL,Player,19:44,0,0,0,-3,0,0,0,7,4669,2158
Pitlick Rem,STL,Player,11:34,0,1,0,-2,0,0,1,1,6566,2343
O'Reilly Ryan,STL,Player,16:01,1,0,0,-1,0,0,4,1,3062,2382
Perunovich Scott,STL,Player,17:50,0,0,0,0,0,0,0,1,6590,2441
Kyrou Jordan,STL,Player,11:35,0,1,2,0,0,0,1,2,6208,2446
Krug Torey,STL,Player,22:22,0,0,0,-3,0,0,0,2,3615,2521
Schenn Brayden,STL,Player,19:30,0,2,0,-1,0,0,1,3,4131,3265
Leivo Josh,STL,Player,12:55,0,1,0,-1,0,0,1,1,2541,3307
Faulk Justin,STL,Player,23:06,0,0,0,-1,0,0,1,7,3744,3400
Tarasenko Vladimir,STL,Player,15:04,0,1,0,-1,0,0,1,0,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,10,0,34,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Zegras Trevor,ANA,Player,10:35,0,0,0,0,0,0,0,1,6553,22
Shattenkirk Kevin,ANA,Player,15:46,0,3,0,5,0,0,0,4,4438,172
Kulikov Dmitry,ANA,Player,18:31,0,0,0,0,0,0,0,3,4685,272
Groulx Benoit-Olivier,ANA,Player,13:26,0,0,0,0,0,0,2,0,1457,295
Comtois Maxime,ANA,Player,14:48,2,3,0,5,0,0,2,1,4341,303
Henrique Adam,ANA,Player,13:58,2,3,0,5,0,0,6,0,837,320
Drysdale Jamie,ANA,Player,22:15,0,0,0,-1,0,0,0,7,6570,406
Moore John,ANA,Player,13:26,0,0,0,5,0,0,0,2,4267,617
Terry Troy,ANA,Player,23:53,0,2,0,0,0,0,2,1,1967,2146
Fowler Cam,ANA,Player,23:11,0,0,0,-1,0,0,0,5,4436,2371
Grant Derek,ANA,Player,12:59,0,1,0,0,0,0,1,0,5353,2392
Leason Brett,ANA,Player,13:01,2,1,0,5,0,0,6,2,6600,2466
De Leo Chase,ANA,Player,09:40,0,1,0,-1,0,0,2,1,545,2482
McTavish Mason,ANA,Player,23:05,2,0,0,0,1,0,5,3,6601,2491
Klingberg John,ANA,Player,21:59,0,0,0,0,0,0,1,7,2537,2843
Silfverberg Jakob,ANA,Player,14:25,1,0,0,0,0,0,4,1,1362,3143
Strome Ryan,ANA,Player,20:37,1,0,0,-1,0,0,1,2,396,3219
Vatrano Frank,ANA,Player,14:32,0,1,0,-1,0,0,2,3,4973,4028
Stolarz Anthony,ANA,Goalie,22:14,-,0,0,-,2,0,8,-,2790,2358
Gibson John,ANA,Goalie,37:39,-,1,0,-,3,0,10,-,2104,2896
