Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bozak Tyler,STL,Player,08:59,0,0,0,-1,0,0,2,0,2255,571
Barbashyov Ivan,STL,Player,19:15,0,1,0,1,0,0,1,0,3871,986
Buchnevich Pavel,STL,Player,18:50,0,1,0,1,0,0,2,2,226,1067
Saad Brandon,STL,Player,18:34,0,2,0,1,0,0,1,0,1737,1234
Thomas Robert,STL,Player,13:14,0,0,0,0,0,0,1,1,3452,1332
Acciari Noel,STL,Player,09:40,0,0,0,-1,0,0,3,1,2639,1973
Bortuzzo Robert,STL,Player,18:40,0,0,2,0,0,0,0,4,4409,2134
Mikkola Niko,STL,Player,17:41,0,0,0,2,0,0,0,4,1141,2155
Parayko Colton,STL,Player,18:53,0,0,0,-1,0,0,1,3,4669,2158
Pitlick Rem,STL,Player,12:59,0,0,0,0,0,0,0,1,6566,2343
O'Reilly Ryan,STL,Player,19:27,0,1,0,0,0,0,5,0,3062,2382
Perunovich Scott,STL,Player,17:57,0,0,0,1,0,0,0,2,6590,2441
Kyrou Jordan,STL,Player,14:56,1,0,0,1,1,0,1,0,6208,2446
Krug Torey,STL,Player,23:52,0,0,0,-1,0,0,0,2,3615,2521
Schenn Brayden,STL,Player,18:40,2,0,0,2,0,0,2,1,4131,3265
Leivo Josh,STL,Player,08:57,0,0,0,-1,0,0,0,1,2541,3307
Faulk Justin,STL,Player,22:57,0,0,0,1,0,0,0,2,3744,3400
Tarasenko Vladimir,STL,Player,14:28,0,0,0,0,0,0,0,2,2695,4349
Binnington Jordan,STL,Goalie,59:55,-,0,0,-,2,0,27,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Ehlers Nikolaj,ATL,Player,13:42,0,0,0,-2,0,0,1,1,4141,257
Gagner Sam,ATL,Player,09:06,0,0,0,1,0,0,1,0,5164,260
Wheeler Blake,ATL,Player,17:47,0,0,0,0,0,0,0,5,206,404
Harkins Jansen,ATL,Player,08:06,1,0,0,1,0,0,2,1,2944,569
Scheifele Mark,ATL,Player,23:02,0,0,0,0,0,0,5,2,5341,581
Lowry Adam,ATL,Player,08:06,0,0,2,1,0,0,1,1,2504,624
Stenlund Kevin,ATL,Player,14:40,0,0,0,0,0,0,2,3,6164,660
Barron Morgan,ATL,Player,14:15,0,0,0,0,0,0,1,1,6631,708
Morrissey Josh,ATL,Player,23:24,0,1,0,-2,0,0,0,4,6077,878
Dillon Brenden,ATL,Player,20:01,0,0,0,0,0,0,0,4,3193,2019
Schmidt Nate,ATL,Player,20:25,0,0,0,-2,0,0,0,3,4431,2129
Pionk Neal,ATL,Player,17:13,0,0,0,0,0,0,0,7,2102,2267
Perfetti Cole,ATL,Player,14:37,0,0,0,-2,0,0,2,1,6602,2495
Capobianco Kyle,ATL,Player,19:34,0,0,0,1,0,0,1,3,3470,2708
Dubois Pierre-Luc,ATL,Player,18:57,0,0,0,-2,0,0,6,2,5952,2979
Beaulieu Nathan,ATL,Player,19:23,0,0,0,1,0,0,0,2,4220,3179
Connor Kyle,ATL,Player,19:37,1,0,0,0,1,0,5,4,5936,3847
Appleton Mason,ATL,Player,15:10,0,0,0,0,0,0,0,1,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,3,0,19,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
