Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bozak Tyler,STL,Player,13:04,0,0,0,-1,0,0,1,2,2255,571
Barbashyov Ivan,STL,Player,16:26,0,0,0,0,0,0,2,1,3871,986
Buchnevich Pavel,STL,Player,16:30,2,0,0,2,0,0,4,1,226,1067
Saad Brandon,STL,Player,17:00,0,1,0,1,0,0,1,0,1737,1234
Thomas Robert,STL,Player,13:33,0,2,0,1,0,0,0,0,3452,1332
Acciari Noel,STL,Player,13:44,0,0,0,-1,0,0,0,0,2639,1973
Bortuzzo Robert,STL,Player,18:59,0,0,0,-1,0,0,0,2,4409,2134
Mikkola Niko,STL,Player,20:58,0,1,0,1,0,0,0,5,1141,2155
Parayko Colton,STL,Player,20:03,0,0,0,1,0,0,0,5,4669,2158
Pitlick Rem,STL,Player,13:25,1,0,0,0,0,0,1,1,6566,2343
O'Reilly Ryan,STL,Player,16:22,0,0,0,0,0,0,1,1,3062,2382
Perunovich Scott,STL,Player,19:02,0,0,0,0,0,0,0,1,6590,2441
Kyrou Jordan,STL,Player,12:26,0,1,0,0,0,0,2,0,6208,2446
Krug Torey,STL,Player,20:59,0,1,0,1,0,0,0,6,3615,2521
Schenn Brayden,STL,Player,17:09,1,0,0,2,0,0,3,0,4131,3265
Leivo Josh,STL,Player,13:01,0,0,0,-1,0,0,1,2,2541,3307
Faulk Justin,STL,Player,19:59,0,0,0,0,0,0,0,3,3744,3400
Tarasenko Vladimir,STL,Player,17:20,0,0,0,0,0,0,1,1,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,3,0,28,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Pacioretty Max,CAR,Player,18:19,0,0,0,0,0,0,1,0,762,42
Stastny Paul,CAR,Player,14:40,0,0,0,0,0,0,1,2,934,153
Burns Brent,CAR,Player,20:40,0,0,0,0,0,0,2,6,410,309
Necas Martin,CAR,Player,17:38,1,0,0,0,0,0,3,2,751,377
Stepan Derek,CAR,Player,09:51,0,0,0,-1,0,0,2,0,2759,482
Staal Jordan,CAR,Player,14:35,0,1,0,0,0,0,2,1,1628,500
Gardiner Jake,CAR,Player,19:48,0,1,0,0,0,0,0,5,5230,595
Pesce Brett,CAR,Player,19:32,0,0,0,-1,0,0,1,5,4415,906
Skeji Brady,CAR,Player,23:06,0,0,0,0,0,0,2,6,1132,1228
de Haan Calvin,CAR,Player,19:36,0,0,0,0,0,0,0,5,4595,1754
Aho Sebastian,CAR,Player,20:54,0,0,0,0,0,0,1,5,4038,1908
Jarvis Seth,CAR,Player,14:41,1,0,0,0,0,0,3,1,6574,2381
Teravainen Teuvo,CAR,Player,18:04,0,1,0,0,0,0,4,1,1779,2963
Fast Jesper,CAR,Player,09:22,0,1,0,-1,0,0,0,2,286,3542
Kotkaniemi Jesperi,CAR,Player,12:16,0,1,0,0,0,0,0,2,5051,3878
Svechnikov Andrei,CAR,Player,18:22,0,0,0,0,0,0,4,1,5058,3885
Slavin Jaccob,CAR,Player,17:18,0,0,0,-1,0,0,0,3,4920,4060
Dzingel Ryan,CAR,Player,11:18,1,0,0,-1,0,0,2,2,2917,4121
Andersen Frederik,CAR,Goalie,60:00,-,0,0,-,4,0,17,-,1149,664
Raanta Antti,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,2608,2912
