Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bozak Tyler,STL,Player,17:14,0,0,0,2,0,0,2,3,2255,571
Barbashyov Ivan,STL,Player,17:49,0,1,0,-2,0,0,0,1,3871,986
Buchnevich Pavel,STL,Player,11:23,0,1,0,-2,0,0,2,0,226,1067
Saad Brandon,STL,Player,12:12,0,0,0,-2,0,0,1,0,1737,1234
Thomas Robert,STL,Player,13:08,0,2,0,2,0,0,1,0,3452,1332
Acciari Noel,STL,Player,16:14,0,1,0,1,0,0,0,0,2639,1973
Bortuzzo Robert,STL,Player,18:11,0,0,0,2,0,0,0,1,4409,2134
Mikkola Niko,STL,Player,20:34,0,0,0,-1,0,0,0,5,1141,2155
Parayko Colton,STL,Player,21:15,0,0,0,-2,0,0,0,2,4669,2158
Pitlick Rem,STL,Player,13:51,1,0,0,1,0,0,2,2,6566,2343
O'Reilly Ryan,STL,Player,19:40,1,0,0,-2,0,0,1,0,3062,2382
Perunovich Scott,STL,Player,16:20,1,0,0,2,0,0,1,4,6590,2441
Kyrou Jordan,STL,Player,14:32,0,2,0,2,0,0,0,0,6208,2446
Krug Torey,STL,Player,21:10,0,0,0,-2,0,0,0,5,3615,2521
Schenn Brayden,STL,Player,09:15,0,1,0,-2,0,0,1,0,4131,3265
Leivo Josh,STL,Player,16:51,1,0,0,1,0,0,1,1,2541,3307
Faulk Justin,STL,Player,22:30,1,1,0,-1,0,0,1,4,3744,3400
Tarasenko Vladimir,STL,Player,17:51,0,1,0,-2,0,0,2,3,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,6,0,21,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Kane Patrick,CHI,Player,18:07,1,0,0,2,0,0,2,0,5160,151
Toews Jonathan,CHI,Player,17:37,0,3,0,2,0,0,1,2,5161,152
Johnson Jack,CHI,Player,20:50,0,0,0,0,0,0,0,4,1232,285
Jones Seth,CHI,Player,20:41,0,2,0,3,0,0,0,2,4044,424
Kurashev Philipp,CHI,Player,15:02,2,0,0,2,0,0,3,1,1698,542
Connolly Brett,CHI,Player,14:14,0,0,0,-2,0,0,0,3,2688,584
Jones Caleb,CHI,Player,18:29,0,0,0,-2,0,0,0,2,2949,712
Murphy Connor,CHI,Player,25:06,0,2,0,4,0,0,0,6,289,1842
Johnson Tyler,CHI,Player,15:10,0,0,0,-1,0,0,0,1,892,2411
Tinordi Jarred,CHI,Player,18:17,0,0,0,-1,0,0,0,1,2087,2435
Katchouk Boris,CHI,Player,14:29,0,0,0,-1,0,0,1,2,6594,2457
Raddysh Taylor,CHI,Player,12:37,0,1,0,-1,0,0,1,1,6595,2458
Blackwell Colin,CHI,Player,13:54,0,0,0,-1,0,0,2,2,3751,2663
McCabe Jake,CHI,Player,16:37,0,0,0,-2,0,0,0,4,5306,3478
Domi Max,CHI,Player,16:45,1,0,0,1,0,0,3,3,2552,4013
Khaira Jujhar,CHI,Player,13:19,0,2,0,1,0,0,3,2,4766,4033
Athanasiou Andreas,CHI,Player,14:43,1,0,0,-1,0,0,4,2,5664,4103
Dickinson Jason,CHI,Player,14:03,1,0,0,2,0,0,1,0,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,5,0,15,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
