Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nyquist Gustav,STL,Player,15:49,0,2,0,1,0,0,2,0,3158,16
Leddy Nick,STL,Player,22:15,0,0,0,3,0,0,0,4,4412,136
Johnson Kent,STL,Player,11:11,2,0,0,1,0,0,3,1,6608,159
Bozak Tyler,STL,Player,11:48,0,0,0,1,0,0,0,0,2255,571
Buchnevich Pavel,STL,Player,15:30,0,0,0,0,0,0,0,1,226,1067
Saad Brandon,STL,Player,18:25,0,1,0,2,0,0,3,1,1737,1234
Thomas Robert,STL,Player,14:10,0,2,0,1,0,0,0,1,3452,1332
Bortuzzo Robert,STL,Player,18:54,0,1,0,2,0,0,0,2,4409,2134
Mikkola Niko,STL,Player,18:56,0,0,0,1,0,0,0,3,1141,2155
Parayko Colton,STL,Player,22:10,1,0,0,1,0,0,1,5,4669,2158
Pitlick Rem,STL,Player,16:26,2,1,0,1,0,0,2,2,6566,2343
Kaliyev Arthur,STL,Player,11:18,0,2,0,1,0,0,1,1,6567,2354
O'Reilly Ryan,STL,Player,17:21,0,0,0,2,0,0,4,0,3062,2382
Krug Torey,STL,Player,22:06,0,1,0,1,0,0,0,8,3615,2521
Faulk Justin,STL,Player,15:39,0,0,0,0,0,0,0,2,3744,3400
Danault Phillip,STL,Player,14:25,0,0,0,0,0,0,4,0,5218,4101
Vrana Jakub,STL,Player,14:35,0,0,0,0,0,0,1,0,6115,4338
Tarasenko Vladimir,STL,Player,19:02,1,1,0,2,0,0,2,0,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,1,0,-,2,0,13,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Durzi Sean,COL,Player,21:05,0,0,0,-1,0,0,1,10,6611,82
Landeskog Gabriel,COL,Player,13:24,0,0,0,0,0,0,0,2,1157,105
Cogliano Andrew,COL,Player,13:33,0,1,0,0,0,0,1,1,5163,259
Galchenyuk Alex,COL,Player,13:58,0,0,0,-2,0,0,2,1,1690,281
Doughty Drew,COL,Player,21:07,0,0,0,-3,0,0,0,9,216,294
MacKinnon Nathan,COL,Player,18:06,0,0,0,-3,0,0,0,1,3917,599
MacDermid Kurtis,COL,Player,18:51,0,0,0,0,0,0,0,6,1114,747
Toews Devon,COL,Player,20:20,0,0,0,-3,0,0,0,5,3708,854
Lehkonen Artturi,COL,Player,17:44,0,0,0,-3,0,0,0,1,3216,1447
Newhook Alex,COL,Player,14:08,0,0,0,0,0,0,2,2,6560,1456
O'Connor Logan,COL,Player,13:49,2,0,0,1,0,0,3,3,6576,2388
Rodrigues Evan,COL,Player,13:06,0,0,0,-2,0,0,1,1,6126,2650
Oshie T.J.,COL,Player,19:05,0,0,0,-2,0,0,0,5,5408,3212
Manson Josh,COL,Player,20:49,0,0,0,-1,0,0,0,2,5585,3493
Compher J.T.,COL,Player,15:04,0,2,0,1,0,0,0,1,5937,3848
Helm Darren,COL,Player,13:32,0,0,0,-2,0,0,2,2,5382,4289
Guentzel Jake,COL,Player,14:55,0,0,0,0,0,0,1,4,6111,4331
Girard Samuel,COL,Player,17:48,0,0,0,0,0,0,0,5,6118,4344
Georgiev Alexander,COL,Goalie,59:36,-,0,0,-,6,0,23,-,482,92
Knight Spencer,COL,Goalie,00:00,-,0,0,-,0,0,0,-,6557,723
