Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nyquist Gustav,STL,Player,09:15,1,0,0,-1,0,0,1,0,3158,16
Leddy Nick,STL,Player,20:36,0,0,0,0,0,0,0,5,4412,136
Johnson Kent,STL,Player,18:59,1,0,0,2,0,0,1,0,6608,159
Bozak Tyler,STL,Player,14:52,0,0,0,1,0,0,2,1,2255,571
Buchnevich Pavel,STL,Player,13:43,1,1,0,0,0,0,2,1,226,1067
Saad Brandon,STL,Player,15:40,0,0,0,-1,0,0,0,0,1737,1234
Thomas Robert,STL,Player,08:34,0,1,0,-1,0,0,0,0,3452,1332
Bortuzzo Robert,STL,Player,21:19,0,0,0,1,0,0,0,2,4409,2134
Mikkola Niko,STL,Player,15:33,0,0,0,-1,0,0,0,3,1141,2155
Parayko Colton,STL,Player,19:45,0,0,0,0,0,0,0,2,4669,2158
Pitlick Rem,STL,Player,10:29,0,1,0,-1,0,0,1,0,6566,2343
Kaliyev Arthur,STL,Player,14:02,0,1,0,1,0,0,2,0,6567,2354
O'Reilly Ryan,STL,Player,19:00,0,0,2,-1,0,0,1,2,3062,2382
Krug Torey,STL,Player,20:39,0,0,2,-1,0,0,2,2,3615,2521
Faulk Justin,STL,Player,22:08,0,0,0,1,0,0,0,4,3744,3400
Danault Phillip,STL,Player,18:31,0,1,0,1,0,0,0,0,5218,4101
Vrana Jakub,STL,Player,13:14,1,0,0,0,0,0,2,0,6115,4338
Tarasenko Vladimir,STL,Player,15:34,0,0,0,0,0,0,0,2,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,6,0,28,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Johnston Wyatt,DAL,Player,11:52,1,0,0,1,0,0,1,2,6609,195
Benn Jamie,DAL,Player,16:00,0,0,0,-1,0,0,0,0,3078,215
Suter Ryan,DAL,Player,20:23,1,1,0,-1,1,0,1,2,3444,362
Heiskanen Miro,DAL,Player,21:21,0,0,0,0,0,0,1,3,825,505
Seguin Tyler,DAL,Player,18:34,0,2,0,0,0,0,3,2,3529,541
Guryanov Denis,DAL,Player,11:24,1,0,0,0,0,0,3,2,2137,600
Caamano Nicholas,DAL,Player,12:13,1,0,0,1,0,0,3,4,1383,691
Robertson Jason,DAL,Player,16:30,0,0,0,-1,0,0,1,2,6511,1107
Kiviranta Joel,DAL,Player,11:00,0,0,0,0,0,0,3,1,1746,1247
Hakanpaa Jani,DAL,Player,27:54,0,0,0,0,0,0,0,4,3629,1606
Hintz Roope,DAL,Player,20:47,1,1,0,0,1,0,4,3,4787,1720
Aho Sebastian,DAL,Player,16:28,0,0,0,-1,0,0,2,2,4038,1908
Faksa Radek,DAL,Player,11:46,0,0,0,0,0,0,1,0,1664,2024
Dellandrea Ty,DAL,Player,13:06,1,0,0,0,0,0,2,0,5062,2211
Lundkvist Nils,DAL,Player,19:03,0,0,0,1,0,0,0,1,6586,2420
Marchment Mason,DAL,Player,20:20,0,2,0,1,0,0,2,1,1942,2629
Hanley Joel,DAL,Player,19:13,0,0,0,-1,0,0,0,3,5563,2691
Lindell Esa,DAL,Player,12:06,0,1,0,1,0,0,1,2,1621,3674
Oettinger Jake,DAL,Goalie,60:00,-,1,0,-,4,0,14,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
