Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nyquist Gustav,STL,Player,07:19,0,0,0,-2,0,0,0,1,3158,16
Leddy Nick,STL,Player,12:39,0,0,0,-2,0,0,0,2,4412,136
Johnson Kent,STL,Player,13:53,0,0,0,-1,0,0,1,2,6608,159
Bozak Tyler,STL,Player,07:30,0,0,0,-1,0,0,1,1,2255,571
Buchnevich Pavel,STL,Player,12:34,0,0,0,0,0,0,2,0,226,1067
Saad Brandon,STL,Player,20:21,1,0,0,-2,1,0,2,1,1737,1234
Thomas Robert,STL,Player,12:10,0,0,0,-3,0,0,0,0,3452,1332
Bortuzzo Robert,STL,Player,15:23,0,0,0,-2,0,0,0,4,4409,2134
Mikkola Niko,STL,Player,17:58,0,0,0,-1,0,0,0,3,1141,2155
Parayko Colton,STL,Player,29:07,0,0,2,-4,0,0,0,5,4669,2158
Pitlick Rem,STL,Player,13:13,0,0,2,-2,0,0,1,1,6566,2343
Kaliyev Arthur,STL,Player,07:25,0,0,0,-1,0,0,1,0,6567,2354
O'Reilly Ryan,STL,Player,19:09,0,1,0,-2,0,0,0,3,3062,2382
Krug Torey,STL,Player,28:29,0,0,0,-3,0,0,1,7,3615,2521
Faulk Justin,STL,Player,16:24,0,0,0,0,0,0,0,2,3744,3400
Danault Phillip,STL,Player,20:08,0,0,0,-1,0,0,1,1,5218,4101
Vrana Jakub,STL,Player,18:27,0,0,0,-1,0,0,1,2,6115,4338
Tarasenko Vladimir,STL,Player,21:45,0,0,0,-2,0,0,0,2,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,8,0,28,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Forsling Gustav,FLA,Player,24:57,0,0,0,4,0,0,0,7,4628,3
Staal Eric,FLA,Player,09:58,0,2,0,2,0,0,2,1,1882,121
Reinhart Sam,FLA,Player,18:13,0,1,0,1,0,0,3,3,2477,379
Bennett Sam,FLA,Player,17:20,1,0,0,1,0,1,4,1,2478,393
Rasmussen Michael,FLA,Player,09:10,0,0,0,0,0,0,2,0,6556,399
Staal Marc,FLA,Player,15:57,0,0,0,2,0,0,1,4,5158,433
Barkov Aleksander,FLA,Player,22:47,2,2,0,3,0,0,4,2,1405,699
Lundell Anton,FLA,Player,10:23,2,0,0,2,0,0,3,1,6572,848
Ekblad Aaron,FLA,Player,25:31,0,1,0,4,0,0,0,6,2485,1106
Luostarinen Eetu,FLA,Player,09:36,0,0,0,0,0,0,0,0,2136,1245
Hornqvist Patric,FLA,Player,10:19,0,2,2,2,0,0,1,1,3077,1411
Montour Brandon,FLA,Player,19:03,0,1,0,0,0,0,0,3,6124,2226
Tkachuk Matthew,FLA,Player,22:55,1,3,0,3,1,0,2,1,5951,2362
Duclair Anthony,FLA,Player,14:20,0,0,0,0,0,0,1,3,2495,2393
Gudas Radko,FLA,Player,19:06,0,0,0,0,0,0,1,3,3632,2409
Verhaeghe Carter,FLA,Player,21:54,2,0,0,3,1,0,3,2,1035,2641
Mahura Josh,FLA,Player,15:26,0,0,0,2,0,0,0,1,466,2667
Cousins Nick,FLA,Player,09:55,0,0,0,0,0,0,1,0,4665,4041
Francouz Pavel,FLA,Goalie,59:23,-,1,0,-,1,0,11,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
