Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bozak Tyler,STL,Player,13:31,1,0,0,-1,0,0,1,0,2255,571
Barbashyov Ivan,STL,Player,14:59,0,0,0,-2,0,0,2,2,3871,986
Buchnevich Pavel,STL,Player,13:24,0,1,0,1,0,0,1,0,226,1067
Saad Brandon,STL,Player,15:23,1,1,0,1,0,0,4,0,1737,1234
Thomas Robert,STL,Player,15:42,1,0,0,-3,0,0,2,1,3452,1332
Acciari Noel,STL,Player,13:20,0,1,0,-1,0,0,1,1,2639,1973
Bortuzzo Robert,STL,Player,16:48,0,0,0,-2,0,0,0,0,4409,2134
Mikkola Niko,STL,Player,20:46,0,1,0,0,0,0,0,5,1141,2155
Parayko Colton,STL,Player,21:45,0,1,0,-3,0,0,0,2,4669,2158
Pitlick Rem,STL,Player,14:21,0,1,0,-3,0,0,2,1,6566,2343
O'Reilly Ryan,STL,Player,16:33,0,0,0,-2,0,0,2,1,3062,2382
Perunovich Scott,STL,Player,17:43,0,1,0,-1,0,0,0,2,6590,2441
Kyrou Jordan,STL,Player,15:29,0,0,0,-3,0,0,1,0,6208,2446
Krug Torey,STL,Player,22:05,0,0,0,-3,0,0,0,2,3615,2521
Schenn Brayden,STL,Player,15:35,1,0,0,1,0,0,3,0,4131,3265
Leivo Josh,STL,Player,13:56,0,1,0,-1,0,0,0,0,2541,3307
Faulk Justin,STL,Player,20:53,0,1,0,-1,0,0,0,5,3744,3400
Tarasenko Vladimir,STL,Player,17:47,1,0,0,-2,1,0,3,3,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,9,0,26,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Iafallo Alex,LA,Player,16:47,0,1,0,1,0,0,0,1,6121,58
Durzi Sean,LA,Player,18:58,0,0,0,3,0,0,1,2,6611,82
Doughty Drew,LA,Player,18:27,0,0,0,4,0,0,0,2,216,294
Kopitar Anze,LA,Player,13:58,0,2,0,3,0,0,0,1,2287,298
Lemieux Brendan,LA,Player,12:33,3,0,0,2,0,0,6,2,1391,443
Edler Alexander,LA,Player,17:09,0,2,2,4,0,0,0,2,3842,611
Roy Matt,LA,Player,21:26,0,0,0,-2,0,0,0,9,4118,728
Moore Trevor,LA,Player,16:38,0,1,0,1,0,0,1,0,3034,732
Fiala Kevin,LA,Player,13:42,2,1,0,3,0,0,4,1,2511,803
Lizotte Blake,LA,Player,12:37,0,3,0,2,0,0,1,0,1333,1149
Anderson Mikey,LA,Player,23:10,0,1,0,-3,0,0,2,4,6513,1866
Kempe Adrian,LA,Player,15:11,1,1,0,3,0,0,1,3,6129,2020
Bjornfot Tobias,LA,Player,20:50,0,1,0,4,0,0,1,5,6530,2222
Kaliyev Arthur,LA,Player,16:18,1,1,0,0,0,0,3,4,6567,2354
Kupari Rasmus,LA,Player,16:37,2,0,0,1,0,0,3,3,6581,2405
Byfield Quinton,LA,Player,11:32,0,2,0,1,0,0,3,1,6582,2406
Arvidsson Viktor,LA,Player,15:29,0,0,0,-1,0,0,0,1,4310,4040
Danault Phillip,LA,Player,16:48,0,1,0,-1,0,0,0,4,5218,4101
Petersen Cal,LA,Goalie,60:00,-,0,0,-,5,0,22,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
