Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bozak Tyler,STL,Player,14:15,1,0,0,-1,0,0,1,1,2255,571
Barbashyov Ivan,STL,Player,14:09,2,0,0,2,0,0,4,0,3871,986
Buchnevich Pavel,STL,Player,11:56,0,0,0,-1,0,0,1,1,226,1067
Saad Brandon,STL,Player,22:15,0,0,0,-1,0,0,3,3,1737,1234
Thomas Robert,STL,Player,09:25,0,1,0,0,0,0,0,0,3452,1332
Acciari Noel,STL,Player,13:08,0,0,2,1,0,0,0,0,2639,1973
Bortuzzo Robert,STL,Player,18:37,0,0,0,-1,0,0,0,4,4409,2134
Mikkola Niko,STL,Player,12:50,0,0,0,1,0,0,0,2,1141,2155
Parayko Colton,STL,Player,14:19,0,1,0,1,0,0,0,3,4669,2158
Pitlick Rem,STL,Player,06:26,0,1,0,1,0,0,0,0,6566,2343
O'Reilly Ryan,STL,Player,23:00,0,0,0,1,0,0,1,3,3062,2382
Perunovich Scott,STL,Player,20:57,0,1,0,0,0,0,0,5,6590,2441
Kyrou Jordan,STL,Player,18:04,0,1,0,0,0,0,1,0,6208,2446
Krug Torey,STL,Player,25:38,0,1,0,1,0,0,1,4,3615,2521
Schenn Brayden,STL,Player,16:46,0,0,0,0,0,0,0,1,4131,3265
Leivo Josh,STL,Player,14:11,0,1,0,0,0,0,2,0,2541,3307
Faulk Justin,STL,Player,27:39,0,0,0,0,0,0,0,4,3744,3400
Tarasenko Vladimir,STL,Player,13:59,1,0,0,1,1,0,1,0,2695,4349
Binnington Jordan,STL,Goalie,59:33,-,0,0,-,3,0,28,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Addison Calen,MIN,Player,21:42,0,0,0,-1,0,0,0,3,6612,144
Boldy Matt,MIN,Player,09:12,0,1,0,-1,0,0,2,1,6613,287
Dewar Connor,MIN,Player,17:31,0,1,2,-1,0,0,1,0,6614,389
Reaves Ryan,MIN,Player,05:07,0,1,0,1,0,0,1,2,4442,394
Eriksson Ek Joel,MIN,Player,21:26,0,1,0,-1,0,0,6,1,6071,558
Hartman Ryan,MIN,Player,17:32,1,0,0,0,1,0,2,3,2648,869
Dumba Matt,MIN,Player,18:31,0,0,2,-1,0,0,0,8,4445,1196
Merrill Jon,MIN,Player,20:22,0,0,0,0,0,0,0,6,2956,1496
Zuccarello Mats,MIN,Player,16:12,0,0,0,-2,0,0,1,2,5807,1559
Greenway Jordan,MIN,Player,07:20,0,0,0,-1,0,0,1,1,866,2130
Brodin Jonas,MIN,Player,18:57,0,0,0,0,0,0,0,1,4506,2217
Duhaime Brandon,MIN,Player,14:54,0,1,0,1,0,0,6,3,6565,2258
Foligno Marcus,MIN,Player,18:29,0,0,0,0,0,0,0,4,579,3395
Spurgeon Jared,MIN,Player,22:30,0,0,0,0,0,0,0,1,4407,3434
Kaprizov Kirill,MIN,Player,17:25,1,0,0,-1,0,0,4,2,1717,3774
Goligoski Alex,MIN,Player,17:58,0,0,0,0,0,0,0,3,5323,4287
Steel Sam,MIN,Player,07:04,1,0,0,1,0,0,3,1,3212,4357
Gaudreau Frederick ,MIN,Player,15:21,0,0,2,1,0,0,1,1,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,1,0,-,4,0,15,-,652,508
