Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Leddy Nick,STL,Player,18:53,0,1,0,1,0,0,0,1,4412,136
Bozak Tyler,STL,Player,08:00,1,0,0,1,0,0,3,0,2255,571
Barbashyov Ivan,STL,Player,19:40,0,0,0,0,0,0,1,0,3871,986
Buchnevich Pavel,STL,Player,12:56,0,0,0,-3,0,0,0,2,226,1067
Saad Brandon,STL,Player,17:03,0,0,0,-3,0,0,1,1,1737,1234
Thomas Robert,STL,Player,15:19,0,2,0,0,0,0,0,0,3452,1332
Acciari Noel,STL,Player,14:47,0,0,0,0,0,0,0,0,2639,1973
Bortuzzo Robert,STL,Player,22:15,0,0,0,2,0,0,0,1,4409,2134
Mikkola Niko,STL,Player,14:39,0,0,0,-3,0,0,0,2,1141,2155
Parayko Colton,STL,Player,17:29,0,0,0,0,0,0,0,1,4669,2158
Pitlick Rem,STL,Player,11:43,1,2,0,2,0,0,4,1,6566,2343
O'Reilly Ryan,STL,Player,17:05,0,0,0,0,0,0,1,0,3062,2382
Kyrou Jordan,STL,Player,14:29,2,0,0,0,0,0,6,1,6208,2446
Krug Torey,STL,Player,22:32,0,0,0,0,0,0,0,4,3615,2521
Schenn Brayden,STL,Player,18:03,0,0,2,-3,0,0,1,2,4131,3265
Leivo Josh,STL,Player,07:58,0,1,0,1,0,0,2,4,2541,3307
Faulk Justin,STL,Player,24:12,0,0,0,-4,0,0,0,8,3744,3400
Tarasenko Vladimir,STL,Player,17:55,0,0,0,0,0,0,2,0,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,5,0,28,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Smith Brendan,NJ,Player,17:46,0,0,0,0,0,0,0,2,1851,38
Haula Erik,NJ,Player,13:18,0,0,0,-1,0,0,1,3,5356,74
Sharangovich Yegor,NJ,Player,21:46,1,0,2,1,0,0,2,3,1810,200
Hamilton Dougie,NJ,Player,26:02,0,0,0,2,0,0,1,3,782,212
Zetterlund Fabian,NJ,Player,12:55,1,0,0,0,0,0,6,3,6629,375
Siegenthaler Jonas,NJ,Player,18:53,0,0,0,0,0,0,0,5,3442,512
Bratt Jesper,NJ,Player,18:25,0,1,0,1,0,0,3,1,375,636
Graves Ryan,NJ,Player,15:48,0,0,0,0,0,0,0,4,4126,684
Tatar Tomas,NJ,Player,10:11,0,0,0,-1,0,0,2,0,5524,695
Marino John,NJ,Player,16:04,0,0,0,0,0,0,1,3,3769,932
Hughes Jack,NJ,Player,18:11,0,0,0,0,0,0,2,0,916,1222
Severson Damon,NJ,Player,25:27,0,1,0,2,0,0,0,5,2492,1685
Bastian Nathan,NJ,Player,12:28,0,0,0,-1,0,0,1,2,6514,2063
Mercer Dawson,NJ,Player,11:29,0,2,0,2,0,0,0,1,6563,2223
Palat Ondrej,NJ,Player,12:25,0,0,0,0,0,0,0,3,2871,2416
McLeod Michael,NJ,Player,12:45,1,2,0,2,0,0,3,0,4939,3240
Wood Miles,NJ,Player,11:28,2,1,0,2,0,0,5,0,5940,4242
Hischier Nico,NJ,Player,19:41,0,1,0,1,0,0,1,3,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,0,-,4,0,21,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
