Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bozak Tyler,STL,Player,05:38,0,0,0,-1,0,0,1,0,2255,571
Barbashyov Ivan,STL,Player,13:58,1,1,0,1,0,0,2,0,3871,986
Buchnevich Pavel,STL,Player,08:31,1,0,0,1,0,0,1,0,226,1067
Saad Brandon,STL,Player,10:59,0,1,0,0,0,0,0,2,1737,1234
Thomas Robert,STL,Player,17:05,0,0,0,1,0,0,1,2,3452,1332
Acciari Noel,STL,Player,05:38,0,0,0,-1,0,0,0,1,2639,1973
Bortuzzo Robert,STL,Player,11:11,0,0,0,0,0,0,0,1,4409,2134
Mikkola Niko,STL,Player,12:08,0,1,0,1,0,0,1,1,1141,2155
Parayko Colton,STL,Player,21:16,0,2,0,1,0,0,0,2,4669,2158
Pitlick Rem,STL,Player,08:59,0,0,0,0,0,0,1,1,6566,2343
O'Reilly Ryan,STL,Player,17:53,1,1,0,0,1,0,1,2,3062,2382
Perunovich Scott,STL,Player,16:05,0,0,0,1,0,0,0,3,6590,2441
Kyrou Jordan,STL,Player,12:01,0,1,0,-1,0,0,1,2,6208,2446
Krug Torey,STL,Player,17:45,0,1,0,-1,0,0,0,4,3615,2521
Schenn Brayden,STL,Player,15:10,0,1,0,2,0,0,0,1,4131,3265
Leivo Josh,STL,Player,05:38,0,0,0,-1,0,0,1,0,2541,3307
Faulk Justin,STL,Player,16:55,0,1,0,0,0,0,0,4,3744,3400
Tarasenko Vladimir,STL,Player,21:30,2,0,0,2,0,0,3,2,2695,4349
Binnington Jordan,STL,Goalie,47:40,-,0,0,-,3,0,9,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Barzal Mathew,NYI,Player,15:07,1,1,0,1,0,1,1,0,6065,296
Parise Zach,NYI,Player,11:31,0,0,0,-2,0,0,0,0,3395,387
Palmieri Kyle,NYI,Player,14:08,0,1,0,0,0,0,2,0,4569,498
Dobson Noah,NYI,Player,21:30,0,0,0,0,0,0,0,4,2160,667
Martin Matt,NYI,Player,04:44,0,0,0,0,0,0,0,1,5357,850
Mayfield Scott,NYI,Player,13:51,0,1,0,-1,0,0,0,0,6058,1148
Cizikas Casey,NYI,Player,13:58,0,0,0,-1,0,0,0,3,3210,1532
Romanov Alexander,NYI,Player,13:07,0,0,0,-2,0,0,0,3,5790,1579
Bailey Josh,NYI,Player,10:46,0,0,0,-2,0,0,0,1,3269,1649
Nelson Brock,NYI,Player,09:39,0,0,0,-1,0,0,0,1,3021,1736
Pageau Jean-Gabriel,NYI,Player,17:31,0,1,0,-1,0,0,0,1,4952,1808
Lee Anders,NYI,Player,15:31,1,1,0,1,0,0,3,1,2493,1895
Beauvillier Anthony,NYI,Player,07:19,1,0,0,1,0,0,1,2,6066,2074
Hickey Thomas,NYI,Player,06:35,0,1,0,2,0,0,0,0,4517,2097
Wahlstrom Oliver,NYI,Player,07:56,0,0,0,1,0,0,2,1,5065,2234
Pelech Adam,NYI,Player,27:58,0,0,0,-1,0,0,0,3,5645,4007
Pulock Ryan,NYI,Player,12:19,0,0,0,0,0,0,0,2,2748,4152
Clutterbuck Cal,NYI,Player,06:40,0,0,2,-1,0,0,0,1,5214,4277
Sorokin Ilya,NYI,Goalie,13:24,-,0,2,-,2,0,6,-,5141,2065
Varlamov Semyon,NYI,Goalie,34:16,-,0,0,-,3,0,7,-,4806,3344
