Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bozak Tyler,STL,Player,09:19,0,0,0,1,0,0,1,0,2255,571
Barbashyov Ivan,STL,Player,21:51,3,1,2,4,0,0,4,4,3871,986
Buchnevich Pavel,STL,Player,06:14,1,1,0,2,0,0,2,0,226,1067
Saad Brandon,STL,Player,07:00,1,0,0,2,0,0,2,1,1737,1234
Thomas Robert,STL,Player,12:34,1,0,0,1,0,0,1,0,3452,1332
Acciari Noel,STL,Player,14:35,0,2,0,3,0,0,2,0,2639,1973
Bortuzzo Robert,STL,Player,23:18,0,1,0,3,0,0,0,4,4409,2134
Mikkola Niko,STL,Player,15:58,1,1,2,4,0,0,1,1,1141,2155
Parayko Colton,STL,Player,19:40,0,0,0,5,0,0,0,4,4669,2158
Pitlick Rem,STL,Player,11:14,0,0,0,0,0,0,2,0,6566,2343
O'Reilly Ryan,STL,Player,21:00,2,1,0,4,0,1,5,1,3062,2382
Perunovich Scott,STL,Player,17:29,0,0,0,1,0,0,0,4,6590,2441
Kyrou Jordan,STL,Player,12:17,0,1,0,0,0,0,1,2,6208,2446
Krug Torey,STL,Player,23:53,0,1,0,3,0,0,1,7,3615,2521
Schenn Brayden,STL,Player,23:22,0,3,0,4,0,0,3,1,4131,3265
Leivo Josh,STL,Player,09:02,1,0,0,1,0,0,4,2,2541,3307
Faulk Justin,STL,Player,24:56,0,2,0,4,0,0,0,9,3744,3400
Tarasenko Vladimir,STL,Player,11:21,0,2,0,2,0,0,0,2,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,2,-,1,0,25,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Carter Jeff,PIT,Player,15:38,0,0,0,-5,0,0,1,0,3297,474
Letang Kris,PIT,Player,17:19,0,0,0,-3,0,0,1,0,1716,501
Malkin Evgeni,PIT,Player,20:23,0,0,0,-3,0,0,5,1,1703,502
Crosby Sidney,PIT,Player,19:27,0,0,0,-3,0,0,0,0,3308,518
Rakell Rickard,PIT,Player,12:11,0,0,0,-3,0,0,2,0,1276,526
Joseph Pierre-Olivier,PIT,Player,21:21,1,0,0,-1,0,0,1,1,6623,678
Caggiula Drake,PIT,Player,12:01,0,0,0,-2,0,0,0,0,6074,704
Dumoulin Brian,PIT,Player,19:57,0,0,0,-5,0,0,0,3,2750,749
Rust Bryan,PIT,Player,17:13,0,0,0,-5,0,0,1,1,431,1005
Heinen Danton,PIT,Player,11:50,0,0,0,1,0,0,5,0,6080,1100
Petry Jeff,PIT,Player,19:20,0,0,0,-3,0,0,0,0,1116,1433
Pettersson Marcus,PIT,Player,28:03,0,0,0,-7,0,0,0,1,3150,1594
Ruhwedel Chad,PIT,Player,14:00,0,0,0,1,0,0,1,0,3964,2182
Zucker Jason,PIT,Player,15:10,0,0,0,-1,0,0,1,0,2630,3042
Boyle Brian,PIT,Player,11:29,0,0,0,1,0,0,0,1,3830,4222
Guentzel Jake,PIT,Player,20:38,0,0,0,-3,0,0,3,0,6111,4331
Kapanen Kasperi,PIT,Player,12:16,0,0,0,-2,0,0,1,0,991,4360
Blugers Teodors,PIT,Player,12:26,0,0,0,-2,0,0,3,0,341,4454
Jarry Tristan,PIT,Goalie,59:18,-,0,0,-,10,0,29,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
