Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nyquist Gustav,STL,Player,17:50,1,2,0,1,0,0,3,0,3158,16
Leddy Nick,STL,Player,21:46,0,0,0,1,0,0,0,5,4412,136
Johnson Kent,STL,Player,10:02,0,0,0,1,0,0,0,0,6608,159
Bozak Tyler,STL,Player,10:05,0,1,0,0,0,0,1,0,2255,571
Buchnevich Pavel,STL,Player,14:26,0,0,0,-1,0,0,4,0,226,1067
Saad Brandon,STL,Player,14:39,0,1,0,-1,0,0,3,2,1737,1234
Thomas Robert,STL,Player,17:21,1,2,0,2,0,0,2,2,3452,1332
Bortuzzo Robert,STL,Player,20:28,0,2,0,2,0,0,0,4,4409,2134
Mikkola Niko,STL,Player,21:40,0,1,0,-1,0,0,0,2,1141,2155
Parayko Colton,STL,Player,15:02,0,0,0,-1,0,0,1,0,4669,2158
Pitlick Rem,STL,Player,17:39,1,0,0,2,0,0,5,0,6566,2343
Kaliyev Arthur,STL,Player,10:05,0,0,0,0,0,0,0,0,6567,2354
O'Reilly Ryan,STL,Player,15:20,0,0,0,-1,0,0,1,0,3062,2382
Krug Torey,STL,Player,16:40,0,0,0,-1,0,0,0,3,3615,2521
Faulk Justin,STL,Player,24:24,1,0,0,0,0,0,2,4,3744,3400
Danault Phillip,STL,Player,17:04,0,0,0,-1,0,0,0,1,5218,4101
Vrana Jakub,STL,Player,17:29,0,0,0,-1,0,0,1,1,6115,4338
Tarasenko Vladimir,STL,Player,18:08,1,0,0,-1,1,0,3,1,2695,4349
Binnington Jordan,STL,Goalie,59:52,-,0,0,-,4,0,24,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Maroon Patrick,TB,Player,14:30,0,0,0,-3,0,0,3,0,969,4
Perry Corey,TB,Player,16:18,0,0,0,2,0,0,1,1,3400,19
Hagel Brandon,TB,Player,11:30,0,0,0,-1,0,0,3,0,6555,106
Balcers Rudolfs,TB,Player,16:07,0,0,2,2,0,0,1,1,6256,444
Crosby Sidney,TB,Player,17:15,1,0,0,2,0,0,2,6,3308,518
Point Brayden,TB,Player,17:26,0,0,0,-3,0,0,0,2,6070,521
Kucherov Nikita,TB,Player,14:44,0,2,0,2,0,0,1,0,538,623
Myers Philippe,TB,Player,16:28,0,1,0,1,0,0,0,4,1875,762
Fleury Haydn,TB,Player,14:15,0,0,0,1,0,0,1,1,614,1400
Hedman Victor,TB,Player,28:59,1,1,0,2,0,0,1,3,5416,1558
Killorn Alex,TB,Player,15:03,1,0,0,2,0,0,5,2,1170,2413
Colton Ross,TB,Player,10:47,1,1,0,1,0,0,1,2,6593,2456
Cirelli Anthony,TB,Player,16:33,0,0,0,-3,0,0,0,1,3041,2839
Namestnikov Vladislav,TB,Player,12:25,0,0,0,-1,0,0,3,0,3844,3132
Sergachyov Mikhail,TB,Player,16:46,0,0,0,-3,0,0,0,4,5971,3477
Bellemare Pierre-Edouard,TB,Player,14:32,0,0,0,0,0,0,2,2,979,3518
Cole Ian,TB,Player,27:08,0,1,0,2,0,0,0,6,1833,3554
Cernak Erik,TB,Player,16:24,0,0,0,-3,0,0,0,5,6198,4549
Vasilevsky Andrei,TB,Goalie,60:00,-,1,0,-,5,0,26,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
