Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bozak Tyler,STL,Player,15:56,1,0,0,-1,0,0,6,0,2255,571
Barbashyov Ivan,STL,Player,16:44,0,1,0,1,0,0,1,1,3871,986
Buchnevich Pavel,STL,Player,15:56,0,1,0,3,0,0,1,0,226,1067
Saad Brandon,STL,Player,15:01,2,1,0,3,0,0,3,0,1737,1234
Thomas Robert,STL,Player,14:40,1,2,0,3,0,0,1,0,3452,1332
Acciari Noel,STL,Player,13:44,0,0,0,-2,0,0,0,0,2639,1973
Bortuzzo Robert,STL,Player,14:15,0,0,5,-1,0,0,0,0,4409,2134
Mikkola Niko,STL,Player,21:11,0,2,0,3,0,0,0,5,1141,2155
Parayko Colton,STL,Player,22:15,0,1,0,0,0,0,0,6,4669,2158
Pitlick Rem,STL,Player,11:53,2,2,0,3,0,0,3,1,6566,2343
O'Reilly Ryan,STL,Player,16:07,2,0,0,1,0,0,3,0,3062,2382
Perunovich Scott,STL,Player,15:52,0,1,0,2,0,0,0,2,6590,2441
Kyrou Jordan,STL,Player,15:07,1,3,0,3,0,0,3,0,6208,2446
Krug Torey,STL,Player,24:26,0,1,0,3,0,0,1,4,3615,2521
Schenn Brayden,STL,Player,16:04,1,2,0,3,0,0,1,0,4131,3265
Leivo Josh,STL,Player,13:35,0,0,0,-2,0,0,0,3,2541,3307
Faulk Justin,STL,Player,22:01,0,0,0,3,0,0,0,3,3744,3400
Tarasenko Vladimir,STL,Player,15:13,0,1,0,1,0,0,0,0,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,4,0,18,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
Hagelin Carl,WSH,Player,11:26,0,2,0,1,0,0,0,0,1650,360
Ovechkin Alexander,WSH,Player,19:12,0,0,0,-3,0,0,2,1,3392,650
Backstrom Nicklas,WSH,Player,16:16,1,0,0,-3,0,0,2,0,3066,654
Gustafsson Erik,WSH,Player,17:38,0,0,0,-2,0,0,0,4,5592,1753
Milano Sonny,WSH,Player,15:16,0,0,0,-1,0,0,3,1,5124,1863
Strome Dylan,WSH,Player,14:27,0,0,0,-2,0,0,1,0,1508,1925
Wilson Tom,WSH,Player,18:11,0,1,0,-3,0,0,0,2,3194,2128
Irwin Matthew,WSH,Player,16:22,0,0,0,-2,0,0,0,4,3503,2183
Fehervary Martin,WSH,Player,18:55,0,0,0,-1,0,0,0,4,6598,2464
Aube-Kubel Nicolas,WSH,Player,11:04,0,1,0,1,0,0,0,1,3774,2530
Mantha Anthony,WSH,Player,17:00,0,0,0,-3,0,0,1,3,5548,2690
Kuznetsov Evgeny,WSH,Player,16:17,0,1,0,-1,0,0,3,1,4336,2909
Eller Lars,WSH,Player,13:00,2,0,0,1,0,0,3,0,4321,3035
Carlson John,WSH,Player,23:27,0,0,0,-2,0,0,0,2,4455,3124
Oshie T.J.,WSH,Player,13:45,1,0,5,0,0,0,1,0,5408,3212
Orlov Dmitry,WSH,Player,23:37,0,0,0,-2,0,0,1,3,1905,3776
Sheary Conor,WSH,Player,14:06,0,0,0,-2,0,0,1,1,648,4142
Jensen Nick,WSH,Player,20:01,0,0,0,-1,0,0,0,5,4071,4325
Lindgren Charlie,WSH,Goalie,09:50,-,0,0,-,3,0,5,-,6083,236
Kuemper Darcy,WSH,Goalie,50:10,-,0,0,-,7,0,18,-,2785,429
