Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Larsson Adam,SYR,Player,25:10,0,0,0,0,0,0,0,2,1173,75
Eberle Jordan,SYR,Player,18:49,0,0,0,1,0,0,3,0,4475,229
Wennberg Alexander,SYR,Player,15:20,0,1,0,0,0,0,0,0,2515,302
Beniers Matty,SYR,Player,19:08,1,0,0,1,0,0,3,1,6617,430
Kuhlman Karson,SYR,Player,11:03,0,1,0,1,0,0,2,2,4123,564
Fleury Cale,SYR,Player,19:52,0,0,0,1,0,0,0,1,2328,760
Tanev  Brandon,SYR,Player,13:59,0,0,0,1,0,0,2,1,6076,851
Burakovsky Andre,SYR,Player,20:43,0,0,0,-2,0,0,1,2,2514,1343
Donato Ryan,SYR,Player,11:53,1,1,0,1,0,0,3,1,4120,2119
Soucy Carson,SYR,Player,18:41,0,0,0,-1,0,0,0,1,1272,2122
Schwartz Jaden,SYR,Player,17:59,0,0,0,-2,0,0,3,1,4358,2157
Schultz Justin,SYR,Player,20:13,0,1,0,1,0,0,0,1,1225,2180
Oleksiak Jamie,SYR,Player,19:58,0,0,0,-1,0,0,0,0,1830,2316
Bjorkstrand Oliver,SYR,Player,16:21,1,0,0,0,0,0,3,1,2321,3595
Donskoi Joonas,SYR,Player,10:46,1,1,0,1,0,0,2,2,5758,3849
McCann Jared,SYR,Player,16:46,0,0,0,-2,0,0,3,1,5577,4024
Gourde Yanni,SYR,Player,17:45,1,1,0,0,0,0,5,3,5000,4126
Dunn Vince,SYR,Player,26:06,0,0,0,0,0,0,0,3,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,64:28,-,0,0,-,5,0,22,-,4348,2437
Johnston Wyatt,DAL,Player,18:58,0,0,0,-1,0,0,1,2,6609,195
Benn Jamie,DAL,Player,18:12,0,1,0,0,0,0,3,4,3078,215
Suter Ryan,DAL,Player,24:01,0,0,0,1,0,0,1,6,3444,362
Heiskanen Miro,DAL,Player,22:02,1,0,0,0,0,0,2,7,825,505
Seguin Tyler,DAL,Player,13:32,1,0,0,0,0,0,3,2,3529,541
Pavelski Joe,DAL,Player,21:40,0,1,0,0,0,0,1,1,1826,546
Guryanov Denis,DAL,Player,14:46,0,0,0,0,0,0,0,2,2137,600
Caamano Nicholas,DAL,Player,14:52,1,0,0,-1,0,0,2,0,1383,691
Robertson Jason,DAL,Player,20:21,0,0,0,0,0,0,1,1,6511,1107
Kiviranta Joel,DAL,Player,12:16,0,0,0,1,0,0,0,4,1746,1247
Hakanpaa Jani,DAL,Player,23:46,0,0,0,0,0,0,0,6,3629,1606
Hintz Roope,DAL,Player,13:33,0,0,0,0,0,0,2,1,4787,1720
Faksa Radek,DAL,Player,12:30,1,0,0,1,0,0,4,2,1664,2024
Dellandrea Ty,DAL,Player,11:09,1,1,0,1,0,0,1,2,5062,2211
Lundkvist Nils,DAL,Player,18:57,0,0,0,-1,0,0,0,6,6586,2420
Marchment Mason,DAL,Player,17:05,0,0,0,-1,0,0,1,2,1942,2629
Hanley Joel,DAL,Player,23:08,0,1,2,1,0,0,0,7,5563,2691
Lindell Esa,DAL,Player,17:39,0,0,0,-1,0,0,0,6,1621,3674
Oettinger Jake,DAL,Goalie,65:00,-,1,0,-,5,0,30,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
