Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Larsson Adam,SYR,Player,22:10,0,0,0,0,0,0,0,4,1173,75
Eberle Jordan,SYR,Player,18:08,0,0,0,0,0,0,0,1,4475,229
Wennberg Alexander,SYR,Player,08:33,0,0,0,0,0,0,2,3,2515,302
Beniers Matty,SYR,Player,19:36,0,0,0,0,0,0,3,1,6617,430
Kuhlman Karson,SYR,Player,13:58,0,0,0,-2,0,0,1,1,4123,564
Fleury Cale,SYR,Player,19:07,0,0,0,-2,0,0,0,1,2328,760
Tanev  Brandon,SYR,Player,07:53,0,0,0,0,0,0,0,1,6076,851
Burakovsky Andre,SYR,Player,20:08,0,0,0,0,0,0,1,1,2514,1343
Donato Ryan,SYR,Player,15:03,0,0,0,-2,0,0,1,1,4120,2119
Soucy Carson,SYR,Player,17:16,0,0,0,0,0,0,0,1,1272,2122
Schwartz Jaden,SYR,Player,21:36,0,0,0,0,0,0,5,2,4358,2157
Schultz Justin,SYR,Player,24:33,0,0,0,-2,0,0,0,1,1225,2180
Oleksiak Jamie,SYR,Player,18:43,0,0,0,0,0,0,0,2,1830,2316
Bjorkstrand Oliver,SYR,Player,15:33,0,0,0,0,0,0,1,1,2321,3595
Donskoi Joonas,SYR,Player,14:11,0,0,0,-2,0,0,2,0,5758,3849
McCann Jared,SYR,Player,14:43,0,0,0,0,0,0,2,0,5577,4024
Gourde Yanni,SYR,Player,12:04,0,0,0,0,0,0,0,0,5000,4126
Dunn Vince,SYR,Player,18:11,0,0,0,0,0,0,0,0,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,58:34,-,0,0,-,2,0,23,-,4348,2437
Smith Brendan,NJ,Player,16:11,0,0,0,1,0,0,0,3,1851,38
Haula Erik,NJ,Player,11:38,0,0,0,0,0,0,0,0,5356,74
Sharangovich Yegor,NJ,Player,21:08,0,0,0,0,0,0,3,1,1810,200
Hamilton Dougie,NJ,Player,25:07,0,0,0,0,0,0,0,3,782,212
Zetterlund Fabian,NJ,Player,11:52,0,0,0,0,0,0,0,2,6629,375
Siegenthaler Jonas,NJ,Player,17:30,0,0,0,2,0,0,1,0,3442,512
Bratt Jesper,NJ,Player,25:06,0,0,2,0,0,0,2,2,375,636
Graves Ryan,NJ,Player,19:51,0,0,2,0,0,0,0,2,4126,684
Tatar Tomas,NJ,Player,04:46,0,0,0,0,0,0,0,1,5524,695
Marino John,NJ,Player,17:22,0,0,0,0,0,0,0,3,3769,932
Hughes Jack,NJ,Player,26:18,1,0,0,1,0,0,7,2,916,1222
Severson Damon,NJ,Player,26:14,0,0,0,1,0,0,1,4,2492,1685
Bastian Nathan,NJ,Player,14:35,0,0,0,0,0,0,0,1,6514,2063
Mercer Dawson,NJ,Player,07:20,0,1,0,2,0,0,0,1,6563,2223
Palat Ondrej,NJ,Player,17:19,0,1,0,1,0,0,3,2,2871,2416
McLeod Michael,NJ,Player,07:42,0,1,0,1,0,0,1,0,4939,3240
Wood Miles,NJ,Player,07:45,1,0,0,1,0,0,4,0,5940,4242
Hischier Nico,NJ,Player,12:20,0,0,0,0,0,0,1,1,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,0,-,0,0,18,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
