Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Larsson Adam,SYR,Player,20:27,0,0,0,-4,0,0,0,2,1173,75
Eberle Jordan,SYR,Player,15:23,0,0,0,-3,0,0,0,2,4475,229
Wennberg Alexander,SYR,Player,14:51,0,0,0,-1,0,0,0,2,2515,302
Beniers Matty,SYR,Player,16:09,0,0,0,-3,0,0,3,3,6617,430
Kuhlman Karson,SYR,Player,11:20,0,1,0,2,0,0,0,3,4123,564
Fleury Cale,SYR,Player,17:25,0,0,0,-1,0,0,0,3,2328,760
Tanev  Brandon,SYR,Player,10:10,0,0,2,-3,0,0,1,0,6076,851
Burakovsky Andre,SYR,Player,20:13,1,0,0,1,0,0,2,3,2514,1343
Donato Ryan,SYR,Player,12:22,1,0,0,2,0,0,4,0,4120,2119
Soucy Carson,SYR,Player,21:07,0,1,0,3,0,0,0,2,1272,2122
Schwartz Jaden,SYR,Player,17:59,1,0,0,0,0,0,2,1,4358,2157
Schultz Justin,SYR,Player,18:25,0,0,0,-2,0,0,0,3,1225,2180
Oleksiak Jamie,SYR,Player,22:08,0,0,0,3,0,0,1,3,1830,2316
Bjorkstrand Oliver,SYR,Player,15:35,0,0,0,-2,0,0,0,2,2321,3595
Donskoi Joonas,SYR,Player,12:35,1,0,0,2,0,0,1,1,5758,3849
McCann Jared,SYR,Player,15:55,0,2,0,1,0,0,0,4,5577,4024
Gourde Yanni,SYR,Player,16:31,0,0,0,-2,0,0,0,0,5000,4126
Dunn Vince,SYR,Player,20:28,0,0,0,-3,0,0,0,9,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,7,0,20,-,4348,2437
Ferland Michael,VAN,Player,15:54,0,0,0,-1,0,0,1,1,623,83
Horvat Bo,VAN,Player,18:08,1,1,0,2,0,0,3,3,2502,104
Ekman-Larsson Oliver,VAN,Player,16:26,0,2,0,2,0,0,1,2,2592,139
Garland Conor,VAN,Player,10:39,0,0,2,-1,0,0,0,2,2704,520
Poolman Tucker,VAN,Player,12:27,0,0,0,-2,0,0,0,4,6203,574
Highmore Matthew,VAN,Player,15:54,1,0,0,-1,0,0,2,1,1472,665
Stillman Riley,VAN,Player,17:50,0,0,0,-1,0,0,0,1,4268,719
Hughes Quinton,VAN,Player,16:26,0,0,0,2,0,0,0,4,1188,1210
Podkolzin Vasili,VAN,Player,18:21,0,1,0,2,0,0,2,0,5788,1577
Lazar Curtis,VAN,Player,09:19,0,0,0,-1,0,0,0,0,2496,2115
Miller J.T.,VAN,Player,16:47,2,2,0,2,1,0,4,1,3233,2378
Pettersson Elias,VAN,Player,17:02,2,1,0,2,0,0,3,1,6254,2525
Kuzmenko Andrei,VAN,Player,12:22,0,1,0,1,0,0,0,0,2462,2782
Myers Tyler,VAN,Player,31:07,1,0,0,2,0,1,1,2,1127,2893
Schenn Luke,VAN,Player,25:44,0,0,0,1,0,0,0,3,237,3199
Pearson Tanner,VAN,Player,09:19,0,0,0,-1,0,0,1,1,3944,3524
Mikheyev Ilya,VAN,Player,15:54,0,0,0,-1,0,0,1,3,4751,3929
Boeser Brock,VAN,Player,15:29,0,2,0,2,0,0,1,1,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,59:52,-,0,0,-,4,0,14,-,5939,4241
