Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Maroon Patrick,TB,Player,10:12,0,1,0,0,0,0,0,0,969,4
Perry Corey,TB,Player,08:48,1,0,0,2,0,0,2,0,3400,19
Hagel Brandon,TB,Player,10:48,0,0,2,0,0,0,0,1,6555,106
Balcers Rudolfs,TB,Player,08:01,0,0,0,-1,0,0,1,0,6256,444
Crosby Sidney,TB,Player,25:50,0,0,0,-3,0,0,3,1,3308,518
Point Brayden,TB,Player,22:02,0,0,0,-3,0,0,2,1,6070,521
Kucherov Nikita,TB,Player,24:15,0,0,0,-3,0,0,5,1,538,623
Myers Philippe,TB,Player,11:35,0,0,0,2,0,0,0,2,1875,762
Fleury Haydn,TB,Player,19:13,0,0,0,2,0,0,0,5,614,1400
Hedman Victor,TB,Player,30:33,0,0,0,-3,0,0,0,6,5416,1558
Killorn Alex,TB,Player,15:36,0,0,0,2,0,0,1,1,1170,2413
Colton Ross,TB,Player,07:47,2,0,0,2,0,0,4,0,6593,2456
Cirelli Anthony,TB,Player,16:01,1,0,0,0,0,1,4,0,3041,2839
Namestnikov Vladislav,TB,Player,16:24,0,0,0,0,0,0,1,1,3844,3132
Sergachyov Mikhail,TB,Player,27:09,0,0,0,-2,0,0,0,2,5971,3477
Bellemare Pierre-Edouard,TB,Player,10:48,0,0,0,0,0,0,1,0,979,3518
Cole Ian,TB,Player,14:50,0,0,0,-1,0,0,0,2,1833,3554
Cernak Erik,TB,Player,16:40,0,0,0,0,0,0,0,5,6198,4549
Vasilevsky Andrei,TB,Goalie,59:23,-,0,0,-,6,0,24,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
Zegras Trevor,ANA,Player,20:49,1,0,0,-2,0,0,3,1,6553,22
Shattenkirk Kevin,ANA,Player,15:33,0,2,2,2,0,0,0,7,4438,172
Kulikov Dmitry,ANA,Player,25:42,0,0,2,0,0,0,1,4,4685,272
Groulx Benoit-Olivier,ANA,Player,06:48,0,1,0,1,0,0,0,0,1457,295
Comtois Maxime,ANA,Player,19:25,1,0,0,1,1,0,2,3,4341,303
Henrique Adam,ANA,Player,10:37,0,0,0,0,0,0,1,0,837,320
Drysdale Jamie,ANA,Player,23:09,0,1,0,0,0,0,0,7,6570,406
Protas Alexei,ANA,Player,08:57,0,0,0,-1,0,0,0,5,6357,1086
Terry Troy,ANA,Player,19:19,0,0,0,-2,0,0,1,1,1967,2146
Fowler Cam,ANA,Player,17:45,1,1,0,2,0,0,1,8,4436,2371
Grant Derek,ANA,Player,14:07,1,1,0,2,0,1,3,2,5353,2392
Leason Brett,ANA,Player,17:26,0,0,0,1,0,0,4,1,6600,2466
McTavish Mason,ANA,Player,19:16,0,0,0,-2,0,0,1,1,6601,2491
Benoit Simon,ANA,Player,18:56,0,0,0,0,0,0,0,2,3723,2670
Klingberg John,ANA,Player,21:06,0,0,0,-1,0,0,0,10,2537,2843
Silfverberg Jakob,ANA,Player,07:05,1,0,0,1,0,0,2,0,1362,3143
Strome Ryan,ANA,Player,14:33,1,0,0,1,0,1,4,2,396,3219
Vatrano Frank,ANA,Player,09:34,0,1,0,0,0,0,1,0,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,59:54,-,0,0,-,4,0,24,-,2104,2896
