Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Maroon Patrick,TB,Player,13:42,0,1,0,-2,0,0,0,2,969,4
Perry Corey,TB,Player,16:13,0,0,0,-3,0,0,0,0,3400,19
Hagel Brandon,TB,Player,07:05,0,0,0,-1,0,0,0,2,6555,106
Balcers Rudolfs,TB,Player,16:53,0,1,0,0,0,0,1,1,6256,444
Point Brayden,TB,Player,22:11,0,1,0,-1,0,0,2,3,6070,521
Kucherov Nikita,TB,Player,21:45,1,0,0,-2,0,0,3,2,538,623
Myers Philippe,TB,Player,18:02,0,0,0,-3,0,0,0,3,1875,762
Fleury Haydn,TB,Player,19:29,0,0,0,-3,0,0,0,5,614,1400
Hedman Victor,TB,Player,24:56,0,0,0,-1,0,0,0,4,5416,1558
Killorn Alex,TB,Player,16:12,0,0,0,-3,0,0,1,2,1170,2413
Colton Ross,TB,Player,14:32,0,0,0,-3,0,0,0,2,6593,2456
Cirelli Anthony,TB,Player,15:29,2,0,0,-1,0,0,2,0,3041,2839
Namestnikov Vladislav,TB,Player,06:33,0,0,0,0,0,0,3,2,3844,3132
Stamkos Steven,TB,Player,22:53,0,1,0,-1,0,0,6,1,240,3254
Sergachyov Mikhail,TB,Player,21:43,0,0,0,-2,0,0,0,3,5971,3477
Bellemare Pierre-Edouard,TB,Player,06:58,0,0,0,-1,0,0,0,1,979,3518
Cole Ian,TB,Player,19:28,0,0,0,-1,0,0,0,8,1833,3554
Cernak Erik,TB,Player,16:22,0,0,0,-2,0,0,0,4,6198,4549
Vasilevsky Andrei,TB,Goalie,59:34,-,0,0,-,9,0,31,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
Kane Patrick,CHI,Player,20:58,1,0,0,2,0,0,5,1,5160,151
Toews Jonathan,CHI,Player,19:21,2,1,2,2,0,0,4,0,5161,152
Johnson Jack,CHI,Player,17:44,0,0,0,1,0,0,0,4,1232,285
Jones Seth,CHI,Player,22:47,0,1,0,2,0,0,0,8,4044,424
Kurashev Philipp,CHI,Player,12:30,0,0,0,1,0,0,1,1,1698,542
Connolly Brett,CHI,Player,10:44,1,0,0,0,0,0,4,0,2688,584
Jones Caleb,CHI,Player,17:09,1,0,0,3,0,0,1,8,2949,712
Murphy Connor,CHI,Player,20:05,0,1,0,2,0,0,0,4,289,1842
Johnson Tyler,CHI,Player,17:20,0,2,0,3,0,0,1,1,892,2411
Tinordi Jarred,CHI,Player,23:13,0,1,0,1,0,0,0,3,2087,2435
Katchouk Boris,CHI,Player,09:41,0,1,0,0,0,0,2,1,6594,2457
Raddysh Taylor,CHI,Player,15:48,2,1,0,3,0,0,3,1,6595,2458
Blackwell Colin,CHI,Player,11:51,0,0,0,0,0,0,1,0,3751,2663
McCabe Jake,CHI,Player,19:02,0,1,0,3,0,0,0,6,5306,3478
Domi Max,CHI,Player,19:54,0,3,0,2,0,0,3,1,2552,4013
Khaira Jujhar,CHI,Player,12:36,1,0,0,1,0,0,4,0,4766,4033
Athanasiou Andreas,CHI,Player,16:01,1,1,0,3,0,0,2,2,5664,4103
Dickinson Jason,CHI,Player,08:16,0,1,0,1,0,0,0,0,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,1,0,-,3,0,18,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
