Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Maroon Patrick,TB,Player,14:04,0,1,0,-1,0,0,1,1,969,4
Perry Corey,TB,Player,17:18,1,0,0,3,0,0,1,1,3400,19
Hagel Brandon,TB,Player,06:55,0,0,0,0,0,0,0,1,6555,106
Balcers Rudolfs,TB,Player,18:54,1,0,0,1,0,0,4,1,6256,444
Point Brayden,TB,Player,15:11,1,0,0,-1,0,0,1,0,6070,521
Kucherov Nikita,TB,Player,22:33,0,0,0,1,0,0,5,1,538,623
Myers Philippe,TB,Player,18:56,0,0,0,2,0,0,0,0,1875,762
Fleury Haydn,TB,Player,19:08,0,1,0,3,0,0,0,4,614,1400
Hedman Victor,TB,Player,23:38,0,0,0,1,0,0,1,5,5416,1558
Killorn Alex,TB,Player,19:11,1,1,0,3,0,0,4,1,1170,2413
Colton Ross,TB,Player,17:57,1,2,0,3,0,0,4,0,6593,2456
Cirelli Anthony,TB,Player,12:45,0,1,0,-1,0,0,1,1,3041,2839
Namestnikov Vladislav,TB,Player,07:24,0,0,0,0,0,0,3,2,3844,3132
Stamkos Steven,TB,Player,19:48,0,1,0,1,0,0,3,1,240,3254
Sergachyov Mikhail,TB,Player,18:10,0,0,0,-1,0,0,1,4,5971,3477
Bellemare Pierre-Edouard,TB,Player,08:04,0,0,0,0,0,0,3,1,979,3518
Cole Ian,TB,Player,22:56,0,0,0,1,0,0,1,4,1833,3554
Cernak Erik,TB,Player,17:12,0,0,0,0,0,0,0,8,6198,4549
Vasilevsky Andrei,TB,Goalie,59:56,-,0,0,-,2,0,13,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
Landeskog Gabriel,COL,Player,20:05,0,0,0,-2,0,0,1,7,1157,105
Nichushkin Valery,COL,Player,14:10,0,1,0,-1,0,0,0,3,2145,258
Cogliano Andrew,COL,Player,13:57,0,1,0,1,0,0,1,2,5163,259
Galchenyuk Alex,COL,Player,12:05,0,0,0,-1,0,0,0,0,1690,281
Johnson Erik,COL,Player,23:08,0,0,0,-2,0,0,0,9,5288,544
MacKinnon Nathan,COL,Player,20:05,0,0,0,-2,0,0,0,3,3917,599
Makar Cale,COL,Player,23:08,0,0,0,-2,0,0,0,6,4146,683
MacDermid Kurtis,COL,Player,22:47,0,0,0,-2,0,0,0,3,1114,747
Toews Devon,COL,Player,22:09,0,0,2,-2,0,0,1,8,3708,854
Lehkonen Artturi,COL,Player,13:53,0,1,0,-1,0,0,0,3,3216,1447
Newhook Alex,COL,Player,14:47,1,0,0,-1,0,0,4,2,6560,1456
Rantanen Mikko,COL,Player,19:22,0,0,0,-2,0,0,2,6,5444,1683
O'Connor Logan,COL,Player,12:35,1,0,0,1,0,0,1,1,6576,2388
Rodrigues Evan,COL,Player,11:20,0,0,0,0,0,0,1,4,6126,2650
Manson Josh,COL,Player,14:48,0,0,0,1,0,0,0,4,5585,3493
Compher J.T.,COL,Player,13:48,0,1,0,0,0,0,2,1,5937,3848
Helm Darren,COL,Player,12:57,0,0,0,-1,0,0,0,1,5382,4289
Girard Samuel,COL,Player,14:00,0,0,0,1,0,0,0,2,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,60:00,-,0,0,-,5,0,33,-,2460,341
