Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Maroon Patrick,TB,Player,15:00,0,0,0,-4,0,0,1,0,969,4
Perry Corey,TB,Player,16:18,0,0,0,1,0,0,2,1,3400,19
Hagel Brandon,TB,Player,08:50,0,0,0,-1,0,0,0,0,6555,106
Balcers Rudolfs,TB,Player,15:48,0,0,0,-2,0,0,1,0,6256,444
Crosby Sidney,TB,Player,19:28,0,0,0,-3,0,0,2,1,3308,518
Point Brayden,TB,Player,16:57,0,0,0,-5,0,0,0,1,6070,521
Kucherov Nikita,TB,Player,20:48,0,0,0,-3,0,0,2,1,538,623
Myers Philippe,TB,Player,15:14,0,0,0,1,0,0,0,2,1875,762
Fleury Haydn,TB,Player,17:59,0,0,0,1,0,0,0,2,614,1400
Hedman Victor,TB,Player,24:58,0,0,0,-4,0,0,0,2,5416,1558
Killorn Alex,TB,Player,17:26,1,0,0,1,0,0,1,0,1170,2413
Colton Ross,TB,Player,16:50,0,1,0,1,0,0,6,1,6593,2456
Cirelli Anthony,TB,Player,14:21,0,0,0,-4,0,0,1,1,3041,2839
Namestnikov Vladislav,TB,Player,08:33,0,0,0,-1,0,0,1,1,3844,3132
Sergachyov Mikhail,TB,Player,19:59,0,0,0,-5,0,0,0,5,5971,3477
Bellemare Pierre-Edouard,TB,Player,09:41,0,0,0,-1,0,0,1,0,979,3518
Cole Ian,TB,Player,21:55,0,0,0,-3,0,0,1,2,1833,3554
Cernak Erik,TB,Player,19:55,0,0,0,-4,0,0,0,4,6198,4549
Vasilevsky Andrei,TB,Goalie,60:00,-,0,0,-,9,0,27,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
Forsling Gustav,FLA,Player,26:07,0,0,0,2,0,0,0,4,4628,3
Staal Eric,FLA,Player,15:25,0,0,0,2,0,0,2,3,1882,121
Reinhart Sam,FLA,Player,15:26,2,2,0,4,0,1,6,2,2477,379
Bennett Sam,FLA,Player,15:11,2,1,0,3,0,0,2,1,2478,393
Rasmussen Michael,FLA,Player,09:54,0,0,0,0,0,0,0,3,6556,399
Staal Marc,FLA,Player,16:19,0,1,0,1,0,0,0,7,5158,433
Barkov Aleksander,FLA,Player,19:58,2,1,0,3,0,0,3,2,1405,699
Lundell Anton,FLA,Player,13:40,2,0,0,1,0,0,3,2,6572,848
Ekblad Aaron,FLA,Player,24:24,0,1,0,2,0,0,1,5,2485,1106
Luostarinen Eetu,FLA,Player,09:59,0,0,0,0,0,0,1,0,2136,1245
Hornqvist Patric,FLA,Player,15:20,0,2,0,2,0,0,2,1,3077,1411
Montour Brandon,FLA,Player,17:44,0,2,0,4,0,0,0,5,6124,2226
Tkachuk Matthew,FLA,Player,19:31,0,1,2,1,0,0,1,2,5951,2362
Duclair Anthony,FLA,Player,12:30,0,2,0,3,0,0,1,3,2495,2393
Gudas Radko,FLA,Player,17:34,0,0,0,4,0,0,0,6,3632,2409
Verhaeghe Carter,FLA,Player,20:55,1,1,0,2,0,0,3,0,1035,2641
Mahura Josh,FLA,Player,17:52,0,0,0,1,0,0,0,2,466,2667
Cousins Nick,FLA,Player,09:26,0,0,0,0,0,0,2,2,4665,4041
Francouz Pavel,FLA,Goalie,60:00,-,0,0,-,1,0,19,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
