Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Maroon Patrick,TB,Player,18:24,1,1,0,2,0,0,3,2,969,4
Perry Corey,TB,Player,14:15,0,0,0,-1,0,0,2,0,3400,19
Hagel Brandon,TB,Player,08:01,0,1,0,1,0,0,3,0,6555,106
Balcers Rudolfs,TB,Player,18:09,1,0,0,-1,0,0,3,0,6256,444
Point Brayden,TB,Player,15:02,0,0,0,2,0,0,2,2,6070,521
Kucherov Nikita,TB,Player,17:01,0,1,0,-2,0,0,1,0,538,623
Myers Philippe,TB,Player,18:59,0,0,0,-1,0,0,2,4,1875,762
Fleury Haydn,TB,Player,13:12,0,0,0,-1,0,0,0,4,614,1400
Hedman Victor,TB,Player,28:02,0,0,0,0,0,0,0,6,5416,1558
Killorn Alex,TB,Player,12:24,0,0,0,-1,0,0,1,0,1170,2413
Colton Ross,TB,Player,11:03,0,0,0,-1,0,0,2,1,6593,2456
Cirelli Anthony,TB,Player,20:58,1,1,0,3,0,0,4,0,3041,2839
Namestnikov Vladislav,TB,Player,09:16,1,0,0,1,0,0,1,2,3844,3132
Stamkos Steven,TB,Player,20:31,1,1,0,-1,0,0,3,3,240,3254
Sergachyov Mikhail,TB,Player,18:46,0,1,0,2,0,0,0,8,5971,3477
Bellemare Pierre-Edouard,TB,Player,08:28,0,1,0,1,0,0,2,0,979,3518
Cole Ian,TB,Player,24:08,0,0,0,0,0,0,0,1,1833,3554
Cernak Erik,TB,Player,18:23,0,1,2,2,0,0,2,4,6198,4549
Vasilevsky Andrei,TB,Goalie,60:00,-,1,0,-,4,0,18,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
Iafallo Alex,LA,Player,11:23,0,0,0,-2,0,0,2,1,6121,58
Durzi Sean,LA,Player,23:44,0,1,0,-1,0,0,0,7,6611,82
Doughty Drew,LA,Player,23:49,0,0,0,2,0,0,0,1,216,294
Kopitar Anze,LA,Player,20:18,3,0,0,2,0,0,3,3,2287,298
Lemieux Brendan,LA,Player,12:07,0,0,0,1,0,0,1,1,1391,443
Edler Alexander,LA,Player,24:39,0,1,0,2,0,0,1,1,3842,611
Roy Matt,LA,Player,15:10,0,0,0,-2,0,0,0,4,4118,728
Moore Trevor,LA,Player,14:20,0,0,0,-1,0,0,0,2,3034,732
Fiala Kevin,LA,Player,19:47,0,1,0,2,0,0,0,1,2511,803
Lizotte Blake,LA,Player,13:09,1,0,0,1,0,0,3,2,1333,1149
Anderson Mikey,LA,Player,11:15,0,0,0,-2,0,0,0,1,6513,1866
Kempe Adrian,LA,Player,21:19,0,0,0,2,0,0,2,2,6129,2020
Bjornfot Tobias,LA,Player,21:23,0,0,0,-1,0,0,0,3,6530,2222
Kaliyev Arthur,LA,Player,12:37,0,0,0,-3,0,0,2,2,6567,2354
Kupari Rasmus,LA,Player,11:56,0,0,0,-2,0,0,0,1,6581,2405
Byfield Quinton,LA,Player,13:16,0,0,0,1,0,0,2,0,6582,2406
Arvidsson Viktor,LA,Player,15:11,0,0,0,-2,0,0,1,1,4310,4040
Danault Phillip,LA,Player,14:38,0,0,0,-2,0,0,1,3,5218,4101
Petersen Cal,LA,Goalie,59:59,-,1,0,-,5,0,31,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
