Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Maroon Patrick,TB,Player,15:48,0,0,0,-2,0,0,1,0,969,4
Perry Corey,TB,Player,14:14,0,0,0,-2,0,0,0,1,3400,19
Hagel Brandon,TB,Player,07:17,1,0,0,0,0,0,1,2,6555,106
Balcers Rudolfs,TB,Player,19:55,1,0,0,0,0,0,3,1,6256,444
Point Brayden,TB,Player,14:11,1,0,0,0,0,0,1,2,6070,521
Kucherov Nikita,TB,Player,21:35,0,1,0,0,0,0,3,1,538,623
Myers Philippe,TB,Player,19:31,0,0,0,0,0,0,0,2,1875,762
Fleury Haydn,TB,Player,19:59,0,0,0,-1,0,0,1,7,614,1400
Hedman Victor,TB,Player,21:03,0,0,0,0,0,0,0,0,5416,1558
Killorn Alex,TB,Player,17:00,0,0,0,1,0,0,3,3,1170,2413
Colton Ross,TB,Player,18:21,0,0,0,-2,0,0,4,1,6593,2456
Cirelli Anthony,TB,Player,12:52,0,1,0,0,0,0,1,2,3041,2839
Namestnikov Vladislav,TB,Player,11:19,0,0,0,1,0,0,3,0,3844,3132
Stamkos Steven,TB,Player,20:23,0,1,0,0,0,0,2,0,240,3254
Sergachyov Mikhail,TB,Player,18:58,0,0,0,0,0,0,0,5,5971,3477
Bellemare Pierre-Edouard,TB,Player,07:05,0,1,0,1,0,0,0,1,979,3518
Cole Ian,TB,Player,21:18,0,0,0,0,0,0,0,4,1833,3554
Cernak Erik,TB,Player,19:11,0,2,0,-1,0,0,0,3,6198,4549
Vasilevsky Andrei,TB,Goalie,60:00,-,0,0,-,4,0,22,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
Smith Brendan,NJ,Player,17:09,0,0,0,1,0,0,0,2,1851,38
Haula Erik,NJ,Player,16:08,0,2,0,1,0,0,0,0,5356,74
Sharangovich Yegor,NJ,Player,14:58,0,0,0,-1,0,0,0,0,1810,200
Hamilton Dougie,NJ,Player,19:42,0,0,0,2,0,0,1,2,782,212
Zetterlund Fabian,NJ,Player,16:47,0,0,0,-2,0,0,2,1,6629,375
Siegenthaler Jonas,NJ,Player,18:18,0,1,0,1,0,0,0,2,3442,512
Bratt Jesper,NJ,Player,16:50,1,0,0,2,0,0,3,1,375,636
Graves Ryan,NJ,Player,22:00,0,0,0,-2,0,0,0,2,4126,684
Tatar Tomas,NJ,Player,14:58,2,0,0,2,0,0,4,1,5524,695
Marino John,NJ,Player,23:22,0,0,0,-2,0,0,0,4,3769,932
Hughes Jack,NJ,Player,16:40,0,1,0,2,0,0,3,0,916,1222
Severson Damon,NJ,Player,19:29,0,0,0,2,0,0,1,3,2492,1685
Bastian Nathan,NJ,Player,17:01,0,1,0,1,0,0,1,2,6514,2063
Mercer Dawson,NJ,Player,11:11,0,0,0,-1,0,0,1,0,6563,2223
Palat Ondrej,NJ,Player,17:07,1,0,0,2,0,0,3,0,2871,2416
McLeod Michael,NJ,Player,11:51,0,0,0,-1,0,0,0,2,4939,3240
Wood Miles,NJ,Player,11:08,0,0,0,-1,0,0,1,1,5940,4242
Hischier Nico,NJ,Player,15:21,0,0,0,-1,0,0,2,2,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,0,-,3,0,23,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
