Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Maroon Patrick,TB,Player,18:21,0,0,0,-1,0,0,2,2,969,4
Perry Corey,TB,Player,17:41,1,0,0,0,0,0,2,1,3400,19
Hagel Brandon,TB,Player,02:09,0,0,0,0,0,0,0,0,6555,106
Balcers Rudolfs,TB,Player,20:24,0,0,2,0,0,0,1,4,6256,444
Crosby Sidney,TB,Player,20:38,0,1,2,0,0,0,1,3,3308,518
Point Brayden,TB,Player,11:34,0,0,0,-1,0,0,0,1,6070,521
Kucherov Nikita,TB,Player,19:25,1,0,0,0,0,0,2,1,538,623
Myers Philippe,TB,Player,19:48,0,0,0,0,0,0,0,0,1875,762
Fleury Haydn,TB,Player,19:57,0,0,0,0,0,0,0,2,614,1400
Hedman Victor,TB,Player,21:57,0,1,0,-1,0,0,2,5,5416,1558
Killorn Alex,TB,Player,19:44,0,0,0,0,0,0,3,2,1170,2413
Colton Ross,TB,Player,18:55,0,1,2,0,0,0,1,2,6593,2456
Cirelli Anthony,TB,Player,18:15,0,0,0,-1,0,0,1,2,3041,2839
Namestnikov Vladislav,TB,Player,03:20,0,1,0,0,0,0,1,0,3844,3132
Sergachyov Mikhail,TB,Player,18:07,0,1,2,0,0,0,0,3,5971,3477
Bellemare Pierre-Edouard,TB,Player,02:44,1,0,0,0,0,0,1,0,979,3518
Cole Ian,TB,Player,20:22,0,0,0,-1,0,0,0,0,1833,3554
Cernak Erik,TB,Player,19:50,0,0,0,0,0,0,0,4,6198,4549
Vasilevsky Andrei,TB,Goalie,60:00,-,1,0,-,7,0,29,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
Nylander William,TOR,Player,26:40,3,0,0,1,2,0,8,2,1498,646
Engvall Pierre,TOR,Player,11:14,0,0,0,0,0,0,0,0,3511,947
Liljegren Timothy,TOR,Player,23:11,0,2,0,0,0,0,0,3,5449,953
Kampf David,TOR,Player,13:25,1,0,0,0,0,0,3,0,6153,1102
Farabee Joel,TOR,Player,10:56,1,0,0,0,0,0,1,0,3331,1157
Muzzin Jake,TOR,Player,20:38,0,1,0,1,0,0,0,2,2862,1186
Brown Patrick,TOR,Player,08:45,0,1,0,0,0,0,0,1,5121,1856
Rielly Morgan,TOR,Player,24:51,0,0,0,0,0,0,1,5,5557,2086
Toninato Dominic,TOR,Player,10:39,1,0,0,0,0,0,5,1,1633,2188
Zadina Filip,TOR,Player,11:50,0,0,0,0,0,0,0,0,633,2287
Jarnkrok Calle,TOR,Player,13:54,0,0,0,0,0,0,1,1,459,2396
Brodie T.J.,TOR,Player,15:09,0,0,0,0,0,0,0,1,1063,2864
Giordano Mark,TOR,Player,14:31,0,0,0,0,0,0,0,1,3327,2964
Tavares John,TOR,Player,19:44,0,0,0,1,0,0,7,3,719,3008
Panarin Artemi,TOR,Player,16:09,0,3,0,0,0,0,0,2,1917,3139
Matthews Auston,TOR,Player,16:12,1,3,0,0,1,0,2,1,3082,3250
Holl Justin,TOR,Player,21:40,0,1,0,1,0,0,0,3,5988,4271
Kerfoot Alex,TOR,Player,20:32,0,0,0,1,0,0,1,0,6186,4530
Wedgewood Scott,TOR,Goalie,60:00,-,0,0,-,3,0,17,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
