Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Maroon Patrick,TB,Player,15:51,0,2,0,-1,0,0,0,2,969,4
Perry Corey,TB,Player,08:28,0,0,0,-1,0,0,0,1,3400,19
Hagel Brandon,TB,Player,07:57,0,0,0,0,0,0,2,1,6555,106
Balcers Rudolfs,TB,Player,19:44,0,0,0,0,0,0,2,1,6256,444
Point Brayden,TB,Player,15:25,2,0,0,-1,0,0,3,0,6070,521
Kucherov Nikita,TB,Player,18:12,0,0,0,0,0,0,2,1,538,623
Myers Philippe,TB,Player,15:21,0,0,0,-1,0,0,0,5,1875,762
Fleury Haydn,TB,Player,21:29,0,0,0,-1,0,0,1,3,614,1400
Hedman Victor,TB,Player,24:22,0,0,0,0,0,0,0,8,5416,1558
Killorn Alex,TB,Player,15:42,0,0,0,-1,0,0,2,1,1170,2413
Colton Ross,TB,Player,09:18,0,0,0,-1,0,0,0,0,6593,2456
Cirelli Anthony,TB,Player,25:34,0,1,0,-1,0,0,2,1,3041,2839
Namestnikov Vladislav,TB,Player,14:16,0,0,0,0,0,0,0,0,3844,3132
Stamkos Steven,TB,Player,22:02,0,0,0,0,0,0,1,4,240,3254
Sergachyov Mikhail,TB,Player,14:55,0,0,0,-1,0,0,0,2,5971,3477
Bellemare Pierre-Edouard,TB,Player,07:38,0,0,0,0,0,0,1,0,979,3518
Cole Ian,TB,Player,23:15,0,0,0,-1,0,0,0,6,1833,3554
Cernak Erik,TB,Player,20:38,0,0,0,0,0,0,0,3,6198,4549
Vasilevsky Andrei,TB,Goalie,59:53,-,0,0,-,4,0,18,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
Ferland Michael,VAN,Player,03:51,0,0,0,0,0,0,0,0,623,83
Horvat Bo,VAN,Player,23:25,1,1,0,1,0,0,3,3,2502,104
Ekman-Larsson Oliver,VAN,Player,27:10,0,0,0,1,0,0,0,4,2592,139
Garland Conor,VAN,Player,09:46,0,1,0,0,0,0,0,0,2704,520
Poolman Tucker,VAN,Player,09:46,0,1,0,0,0,0,0,4,6203,574
Highmore Matthew,VAN,Player,04:47,0,0,0,0,0,0,0,0,1472,665
Stillman Riley,VAN,Player,18:11,0,0,0,0,0,0,0,4,4268,719
Hughes Quinton,VAN,Player,27:28,0,0,0,1,0,0,1,3,1188,1210
Podkolzin Vasili,VAN,Player,22:08,1,0,0,0,0,0,5,2,5788,1577
Lazar Curtis,VAN,Player,13:11,0,0,2,0,0,0,2,1,2496,2115
Miller J.T.,VAN,Player,22:02,0,0,0,1,0,0,2,3,3233,2378
Pettersson Elias,VAN,Player,20:49,0,0,0,0,0,0,2,1,6254,2525
Kuzmenko Andrei,VAN,Player,14:47,0,1,0,2,0,0,1,0,2462,2782
Myers Tyler,VAN,Player,22:46,0,0,0,1,0,0,0,6,1127,2893
Schenn Luke,VAN,Player,14:39,0,0,0,1,0,0,0,2,237,3199
Pearson Tanner,VAN,Player,10:08,1,0,0,0,0,0,1,1,3944,3524
Mikheyev Ilya,VAN,Player,06:13,0,0,0,0,0,0,0,1,4751,3929
Boeser Brock,VAN,Player,23:53,1,1,0,2,0,0,1,3,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,2,0,16,-,5939,4241
