Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nylander William,TOR,Player,22:58,0,0,0,-1,0,0,1,1,1498,646
Engvall Pierre,TOR,Player,16:52,1,0,0,1,0,0,2,0,3511,947
Liljegren Timothy,TOR,Player,24:04,0,0,0,-1,0,0,0,2,5449,953
Kampf David,TOR,Player,17:42,0,1,0,0,0,0,1,1,6153,1102
Farabee Joel,TOR,Player,16:17,1,0,0,1,0,0,5,3,3331,1157
Muzzin Jake,TOR,Player,22:14,0,0,0,2,0,0,0,3,2862,1186
Brown Patrick,TOR,Player,08:35,0,2,0,2,0,0,1,1,5121,1856
Rielly Morgan,TOR,Player,23:38,0,0,0,0,0,0,0,1,5557,2086
Toninato Dominic,TOR,Player,07:29,1,0,0,2,0,0,2,1,1633,2188
Zadina Filip,TOR,Player,05:53,0,0,0,1,0,0,0,1,633,2287
Jarnkrok Calle,TOR,Player,16:26,0,0,0,0,0,0,0,1,459,2396
Brodie T.J.,TOR,Player,21:28,0,1,0,2,0,0,0,1,1063,2864
Giordano Mark,TOR,Player,14:08,0,0,0,0,0,0,0,1,3327,2964
Tavares John,TOR,Player,12:58,0,1,0,1,0,0,1,2,719,3008
Panarin Artemi,TOR,Player,21:09,0,0,0,-1,0,0,1,1,1917,3139
Matthews Auston,TOR,Player,22:14,0,0,0,-1,0,0,1,0,3082,3250
Holl Justin,TOR,Player,14:28,0,0,0,1,0,0,0,1,5988,4271
Kerfoot Alex,TOR,Player,11:50,0,0,0,1,0,0,2,1,6186,4530
Wedgewood Scott,TOR,Goalie,59:37,-,0,0,-,1,0,30,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
Pacioretty Max,ATL,Player,16:35,0,0,0,1,0,0,4,2,762,42
Ehlers Nikolaj,ATL,Player,13:18,0,0,0,-1,0,0,1,4,4141,257
Harkins Jansen,ATL,Player,01:51,0,0,0,-1,0,0,0,1,2944,569
Scheifele Mark,ATL,Player,23:21,0,0,0,0,0,0,3,0,5341,581
Lowry Adam,ATL,Player,06:15,1,0,0,0,0,1,6,1,2504,624
Stenlund Kevin,ATL,Player,12:20,0,0,0,-1,0,0,2,0,6164,660
Barron Morgan,ATL,Player,13:36,0,0,0,-1,0,0,1,1,6631,708
Morrissey Josh,ATL,Player,15:27,0,1,0,1,0,0,0,1,6077,878
Skeji Brady,ATL,Player,20:41,0,0,2,-2,0,0,0,5,1132,1228
Stanley Logan,ATL,Player,20:49,0,0,2,-2,0,0,1,4,6539,2259
Pionk Neal,ATL,Player,24:14,0,0,0,0,0,0,1,3,2102,2267
Veleno Joe,ATL,Player,18:07,0,0,0,-1,0,0,5,0,5059,2363
Raymond Lucas,ATL,Player,13:06,0,0,0,0,0,0,2,0,6568,2364
Pysyk Mark,ATL,Player,14:01,0,0,0,-1,0,0,0,2,4406,2433
Perfetti Cole,ATL,Player,14:29,0,0,0,-1,0,0,0,2,6602,2495
Pettersson Elias,ATL,Player,16:08,0,0,0,-1,0,0,1,1,6254,2525
Beaulieu Nathan,ATL,Player,29:53,0,0,0,0,0,0,0,8,4220,3179
Appleton Mason,ATL,Player,15:50,0,0,0,-1,0,0,3,2,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,3,0,17,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
