Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Marner Mitchell,TOR,Player,16:32,0,0,0,1,0,0,2,2,6033,348
Sandin Rasmus,TOR,Player,20:30,0,0,0,1,0,0,1,2,1924,602
Nylander William,TOR,Player,13:32,0,1,0,2,0,0,2,1,1498,646
Engvall Pierre,TOR,Player,13:54,1,0,0,0,0,0,1,0,3511,947
Liljegren Timothy,TOR,Player,21:32,0,0,0,2,0,0,0,0,5449,953
Kampf David,TOR,Player,11:20,1,1,0,1,0,0,3,0,6153,1102
Muzzin Jake,TOR,Player,22:36,0,1,0,2,0,0,0,2,2862,1186
Simmonds Wayne,TOR,Player,15:51,1,1,0,2,0,0,1,4,3263,1200
Rielly Morgan,TOR,Player,20:06,0,0,0,2,0,0,1,3,5557,2086
Aston-Reese Zach,TOR,Player,15:36,0,2,0,2,0,0,1,0,4927,2274
Gaudette Adam,TOR,Player,16:23,1,1,0,1,0,0,3,2,1194,2383
Jarnkrok Calle,TOR,Player,14:05,0,2,0,0,0,0,3,2,459,2396
Bunting Michael,TOR,Player,17:05,0,1,0,1,0,0,3,1,6597,2463
Brodie T.J.,TOR,Player,17:58,0,0,0,2,0,0,1,5,1063,2864
Giordano Mark,TOR,Player,17:18,0,0,0,1,0,0,1,4,3327,2964
Tavares John,TOR,Player,14:06,1,1,0,2,0,0,1,4,719,3008
Matthews Auston,TOR,Player,18:11,1,0,0,1,0,0,3,2,3082,3250
Kerfoot Alex,TOR,Player,13:25,1,1,0,2,0,0,1,1,6186,4530
Samsonov Ilya,TOR,Goalie,60:00,-,1,0,-,2,0,21,-,2218,1291
Murray Matt,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,5043,4111
Dahlin Rasmus,BUF,Player,24:05,0,0,0,-2,0,0,0,8,2121,73
Skinner Jeff,BUF,Player,17:40,0,0,0,-1,0,0,0,2,2848,77
Thompson  Tage,BUF,Player,17:40,0,0,0,-1,0,0,0,3,3781,297
Bjork Anders,BUF,Player,15:17,0,0,0,-1,0,0,0,2,2164,356
Olofsson Victor,BUF,Player,14:49,0,0,0,-2,0,0,0,0,5859,396
Okposo Kyle,BUF,Player,15:48,0,0,0,-2,0,0,4,2,5379,410
Davidson Brandon,BUF,Player,15:56,0,0,0,-1,0,0,0,6,1828,591
Cozens Dylan,BUF,Player,14:47,0,0,0,-1,0,0,2,4,6522,2191
Bryson Jacob,BUF,Player,18:44,0,0,0,-2,0,0,0,6,6573,2377
Power Owen,BUF,Player,25:32,1,0,0,-3,0,0,1,4,6603,2501
Krebs Peyton,BUF,Player,11:14,0,0,0,-1,0,0,1,2,6604,2502
Peterka JJ,BUF,Player,17:25,0,0,0,-2,0,0,5,3,6605,2509
Quinn Jack,BUF,Player,13:41,0,0,0,0,0,0,2,4,6606,2510
Mittelstadt Casey,BUF,Player,16:34,1,0,0,-1,0,0,3,0,5502,2747
Girgensons Zemgus,BUF,Player,12:51,0,0,0,-2,0,0,1,4,2830,2987
Lyubushkin Ilya,BUF,Player,19:59,0,0,0,-2,0,0,0,7,3772,3452
Tuch Alex,BUF,Player,12:14,0,1,0,-1,0,0,1,2,6176,4434
Butcher Will,BUF,Player,15:44,0,0,0,0,0,0,1,5,6187,4532
Anderson Craig,BUF,Goalie,60:00,-,0,0,-,7,0,28,-,234,265
Comrie Eric,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,479,1230
