Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nylander William,TOR,Player,19:35,0,2,0,-1,0,0,0,0,1498,646
Engvall Pierre,TOR,Player,14:52,0,2,0,2,0,0,1,0,3511,947
Liljegren Timothy,TOR,Player,17:32,0,1,0,0,0,0,0,1,5449,953
Kampf David,TOR,Player,15:32,2,0,0,2,0,0,4,1,6153,1102
Farabee Joel,TOR,Player,16:57,0,0,0,1,0,0,0,0,3331,1157
Muzzin Jake,TOR,Player,23:22,0,0,0,-1,0,0,0,4,2862,1186
Brown Patrick,TOR,Player,09:44,0,0,0,-1,0,0,0,0,5121,1856
Rielly Morgan,TOR,Player,18:14,0,0,0,1,0,0,0,4,5557,2086
Toninato Dominic,TOR,Player,09:56,0,0,0,-1,0,0,0,1,1633,2188
Zadina Filip,TOR,Player,11:53,0,0,0,-1,0,0,1,1,633,2287
Jarnkrok Calle,TOR,Player,14:47,0,1,0,2,0,0,0,0,459,2396
Brodie T.J.,TOR,Player,17:21,0,0,0,1,0,0,0,1,1063,2864
Giordano Mark,TOR,Player,18:24,0,1,0,1,0,0,0,1,3327,2964
Tavares John,TOR,Player,18:15,1,2,0,0,0,0,2,1,719,3008
Panarin Artemi,TOR,Player,15:54,0,1,0,1,0,0,0,0,1917,3139
Matthews Auston,TOR,Player,16:17,0,0,0,0,0,0,1,2,3082,3250
Holl Justin,TOR,Player,25:07,0,0,0,0,0,0,0,9,5988,4271
Kerfoot Alex,TOR,Player,16:18,2,0,0,-1,0,0,2,2,6186,4530
Wedgewood Scott,TOR,Goalie,60:00,-,0,0,-,4,0,27,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
Suzuki Nick,CBJ,Player,15:31,0,0,0,-3,0,0,0,3,1922,191
Thompson  Tage,CBJ,Player,25:57,0,0,0,-1,0,0,5,1,3781,297
Bean Jake,CBJ,Player,26:36,0,0,0,-1,0,0,0,6,5992,493
Kubalik Dominik,CBJ,Player,12:48,0,2,0,2,0,0,1,2,6156,522
Peeke Andrew,CBJ,Player,21:41,0,0,0,-2,0,0,0,3,4119,675
St. Louis Martin,CBJ,Player,16:33,0,1,0,-2,0,0,1,3,1881,718
Carlsson Gabriel,CBJ,Player,10:37,0,0,0,3,0,0,0,3,4626,1073
Rantanen Mikko,CBJ,Player,25:22,0,0,0,-1,0,0,4,2,5444,1683
Gustafsson Erik,CBJ,Player,25:28,0,0,0,-1,0,0,0,5,5592,1753
Jenner Boone,CBJ,Player,11:29,2,1,0,3,0,0,5,0,297,2015
Laine Patrik,CBJ,Player,17:01,1,0,0,-2,0,0,1,0,1146,2033
Gudbranson Erik,CBJ,Player,11:43,0,1,0,2,0,0,1,0,4402,2337
Sillinger Cole,CBJ,Player,05:17,0,0,0,0,0,0,1,0,6569,2370
Bayreuther Gavin,CBJ,Player,23:55,0,1,0,-3,0,0,0,3,6577,2390
Kyrou Jordan,CBJ,Player,11:45,1,1,0,2,0,0,2,3,6208,2446
Texier Alexandre,CBJ,Player,05:17,0,0,0,0,0,0,1,0,2813,2742
Leivo Josh,CBJ,Player,05:17,0,0,0,0,0,0,1,0,2541,3307
Giroux Claude,CBJ,Player,27:43,0,0,0,-1,0,0,4,1,3923,4237
Korpisalo Joonas,CBJ,Goalie,00:00,-,0,0,-,0,0,0,-,2338,4131
Merzlikins Elvis,CBJ,Goalie,60:00,-,0,0,-,5,0,11,-,5888,4200
