Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nylander William,TOR,Player,15:39,0,1,0,0,0,0,0,3,1498,646
Engvall Pierre,TOR,Player,14:38,0,0,0,-2,0,0,2,0,3511,947
Liljegren Timothy,TOR,Player,21:52,0,0,0,-1,0,0,0,4,5449,953
Kampf David,TOR,Player,14:44,0,0,0,-2,0,0,3,1,6153,1102
Farabee Joel,TOR,Player,15:56,0,0,0,-1,0,0,0,0,3331,1157
Muzzin Jake,TOR,Player,23:03,0,0,0,0,0,0,0,3,2862,1186
Brown Patrick,TOR,Player,14:01,0,0,0,0,0,0,0,1,5121,1856
Rielly Morgan,TOR,Player,21:49,0,0,0,-1,0,0,0,4,5557,2086
Toninato Dominic,TOR,Player,13:21,0,0,0,0,0,0,0,0,1633,2188
Zadina Filip,TOR,Player,14:52,0,0,0,0,0,0,1,1,633,2287
Jarnkrok Calle,TOR,Player,15:01,0,0,0,-2,0,0,0,0,459,2396
Brodie T.J.,TOR,Player,15:08,0,0,0,-2,0,0,0,2,1063,2864
Giordano Mark,TOR,Player,15:08,0,0,0,-2,0,0,1,1,3327,2964
Tavares John,TOR,Player,09:16,0,0,0,0,0,0,0,0,719,3008
Panarin Artemi,TOR,Player,22:11,0,0,0,-1,0,0,3,2,1917,3139
Matthews Auston,TOR,Player,22:39,0,0,0,-1,0,0,0,2,3082,3250
Holl Justin,TOR,Player,23:00,0,0,0,0,0,0,0,4,5988,4271
Kerfoot Alex,TOR,Player,07:42,1,0,0,0,0,0,1,0,6186,4530
Wedgewood Scott,TOR,Goalie,60:00,-,0,0,-,4,0,13,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
Kane Patrick,CHI,Player,17:08,0,1,0,1,0,0,0,0,5160,151
Toews Jonathan,CHI,Player,18:31,0,0,0,1,0,0,0,1,5161,152
Johnson Jack,CHI,Player,13:14,0,1,0,2,0,0,0,1,1232,285
Jones Seth,CHI,Player,23:07,1,0,0,1,0,0,1,5,4044,424
Kurashev Philipp,CHI,Player,17:58,0,1,0,1,0,0,1,1,1698,542
Connolly Brett,CHI,Player,14:41,0,1,0,1,0,0,1,2,2688,584
Jones Caleb,CHI,Player,21:14,0,0,0,0,0,0,0,4,2949,712
Murphy Connor,CHI,Player,17:53,0,0,0,1,0,0,0,5,289,1842
Johnson Tyler,CHI,Player,09:44,0,1,0,0,0,0,0,1,892,2411
Tinordi Jarred,CHI,Player,18:26,0,1,0,2,0,0,0,4,2087,2435
Katchouk Boris,CHI,Player,12:44,1,0,0,1,0,0,2,0,6594,2457
Raddysh Taylor,CHI,Player,06:32,0,1,0,0,0,0,0,0,6595,2458
Blackwell Colin,CHI,Player,16:20,0,0,0,1,0,0,2,1,3751,2663
McCabe Jake,CHI,Player,26:06,1,0,0,0,0,0,1,1,5306,3478
Domi Max,CHI,Player,21:00,0,1,0,1,0,0,2,0,2552,4013
Khaira Jujhar,CHI,Player,18:10,1,0,2,1,0,0,3,3,4766,4033
Athanasiou Andreas,CHI,Player,08:56,0,0,0,0,0,0,0,0,5664,4103
Dickinson Jason,CHI,Player,13:18,0,0,0,1,0,0,0,1,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,1,0,11,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
