Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Marner Mitchell,TOR,Player,17:10,2,1,0,0,1,0,3,0,6033,348
Sandin Rasmus,TOR,Player,20:11,0,0,0,2,0,0,0,7,1924,602
Nylander William,TOR,Player,17:15,0,0,0,2,0,0,4,1,1498,646
Engvall Pierre,TOR,Player,17:38,0,1,0,1,0,0,1,1,3511,947
Liljegren Timothy,TOR,Player,20:25,0,0,0,1,0,0,0,3,5449,953
Kampf David,TOR,Player,14:45,0,1,0,1,0,0,2,1,6153,1102
Muzzin Jake,TOR,Player,21:55,0,0,0,3,0,0,0,4,2862,1186
Simmonds Wayne,TOR,Player,09:19,1,1,0,2,0,0,2,0,3263,1200
Rielly Morgan,TOR,Player,21:13,0,0,0,1,0,0,0,3,5557,2086
Aston-Reese Zach,TOR,Player,10:08,0,2,0,2,0,0,0,0,4927,2274
Gaudette Adam,TOR,Player,09:47,1,1,0,2,0,0,1,0,1194,2383
Jarnkrok Calle,TOR,Player,16:16,1,0,0,1,0,0,1,1,459,2396
Bunting Michael,TOR,Player,16:50,1,1,0,1,0,0,4,1,6597,2463
Brodie T.J.,TOR,Player,19:24,0,0,0,2,0,0,0,2,1063,2864
Giordano Mark,TOR,Player,16:52,0,0,0,1,0,0,0,1,3327,2964
Tavares John,TOR,Player,19:01,1,1,0,2,0,0,5,2,719,3008
Matthews Auston,TOR,Player,16:59,0,1,0,0,0,0,4,1,3082,3250
Kerfoot Alex,TOR,Player,15:24,0,0,0,1,0,0,2,2,6186,4530
Samsonov Ilya,TOR,Goalie,59:28,-,0,0,-,1,0,9,-,2218,1291
Murray Matt,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,5043,4111
Landeskog Gabriel,COL,Player,18:42,0,0,0,-1,0,0,3,0,1157,105
Nichushkin Valery,COL,Player,16:22,0,0,0,-1,0,0,1,6,2145,258
Cogliano Andrew,COL,Player,11:25,0,0,0,-1,0,0,0,4,5163,259
Galchenyuk Alex,COL,Player,14:13,0,0,0,-2,0,0,0,6,1690,281
Johnson Erik,COL,Player,15:21,0,1,0,0,0,0,0,4,5288,544
MacKinnon Nathan,COL,Player,18:27,1,0,0,-1,0,0,2,7,3917,599
Makar Cale,COL,Player,16:22,0,0,0,0,0,0,0,12,4146,683
MacDermid Kurtis,COL,Player,23:04,0,0,0,-3,0,0,0,4,1114,747
Toews Devon,COL,Player,17:51,0,0,0,-2,0,0,0,5,3708,854
Lehkonen Artturi,COL,Player,15:40,0,0,0,-1,0,0,0,2,3216,1447
Newhook Alex,COL,Player,18:43,0,0,0,-1,0,0,2,6,6560,1456
Rantanen Mikko,COL,Player,13:01,0,1,2,0,0,0,0,2,5444,1683
O'Connor Logan,COL,Player,11:42,0,0,2,-2,0,0,0,0,6576,2388
Rodrigues Evan,COL,Player,11:26,0,0,0,-2,0,0,0,2,6126,2650
Manson Josh,COL,Player,27:12,0,0,0,-3,0,0,0,11,5585,3493
Compher J.T.,COL,Player,11:24,0,0,0,-1,0,0,0,2,5937,3848
Helm Darren,COL,Player,12:47,0,0,0,-2,0,0,1,0,5382,4289
Girard Samuel,COL,Player,20:10,0,0,0,-2,0,0,0,6,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,60:00,-,0,0,-,7,0,29,-,2460,341
