Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Marner Mitchell,TOR,Player,15:37,0,2,0,1,0,0,0,0,6033,348
Nylander William,TOR,Player,10:14,1,0,0,0,0,0,2,0,1498,646
Engvall Pierre,TOR,Player,16:02,2,0,0,2,0,0,4,0,3511,947
Liljegren Timothy,TOR,Player,19:12,0,0,0,1,0,0,0,1,5449,953
Kampf David,TOR,Player,14:20,0,2,0,2,0,0,3,0,6153,1102
Muzzin Jake,TOR,Player,23:51,0,1,0,-1,0,0,0,2,2862,1186
Simmonds Wayne,TOR,Player,15:29,0,0,0,-1,0,0,1,2,3263,1200
Benn Jordie,TOR,Player,22:12,0,0,0,-1,0,0,0,3,4012,2021
Rielly Morgan,TOR,Player,22:10,0,1,0,1,0,0,0,7,5557,2086
Aston-Reese Zach,TOR,Player,11:12,0,0,0,-1,0,0,0,0,4927,2274
Gaudette Adam,TOR,Player,12:11,0,0,0,-1,0,0,0,0,1194,2383
Jarnkrok Calle,TOR,Player,14:17,0,1,0,2,0,0,1,0,459,2396
Bunting Michael,TOR,Player,19:23,1,1,2,1,0,0,4,1,6597,2463
Brodie T.J.,TOR,Player,14:15,0,0,0,2,0,0,0,0,1063,2864
Giordano Mark,TOR,Player,18:20,0,1,0,2,0,0,0,1,3327,2964
Tavares John,TOR,Player,14:29,0,1,0,0,0,0,0,2,719,3008
Matthews Auston,TOR,Player,19:41,1,0,0,1,0,0,3,0,3082,3250
Kerfoot Alex,TOR,Player,12:05,0,0,0,0,0,0,2,1,6186,4530
Samsonov Ilya,TOR,Goalie,60:00,-,0,0,-,3,0,15,-,2218,1291
Murray Matt,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,5043,4111
Addison Calen,MIN,Player,18:56,0,0,0,-1,0,0,0,5,6612,144
Boldy Matt,MIN,Player,18:40,0,1,0,-2,0,0,2,3,6613,287
Dewar Connor,MIN,Player,18:33,0,0,0,-1,0,0,1,4,6614,389
Reaves Ryan,MIN,Player,10:00,1,0,0,2,0,0,2,0,4442,394
Eriksson Ek Joel,MIN,Player,18:00,1,0,0,-1,0,0,1,4,6071,558
Hartman Ryan,MIN,Player,17:25,0,0,0,-2,0,0,0,3,2648,869
Dumba Matt,MIN,Player,21:32,0,0,0,-1,0,0,0,7,4445,1196
Merrill Jon,MIN,Player,18:05,0,0,0,1,0,0,1,2,2956,1496
Zuccarello Mats,MIN,Player,17:19,0,0,0,0,0,0,1,5,5807,1559
Greenway Jordan,MIN,Player,13:21,0,0,0,-2,0,0,0,3,866,2130
Brodin Jonas,MIN,Player,21:09,0,0,0,-2,0,0,0,7,4506,2217
Duhaime Brandon,MIN,Player,10:31,1,1,0,2,0,0,1,1,6565,2258
Foligno Marcus,MIN,Player,15:06,0,0,0,-2,0,0,3,1,579,3395
Spurgeon Jared,MIN,Player,20:27,0,0,0,1,0,0,0,1,4407,3434
Kaprizov Kirill,MIN,Player,15:43,0,0,0,0,0,0,0,6,1717,3774
Goligoski Alex,MIN,Player,19:51,0,0,0,-2,0,0,1,3,5323,4287
Steel Sam,MIN,Player,10:46,0,2,0,2,0,0,1,3,3212,4357
Gaudreau Frederick ,MIN,Player,14:36,0,0,0,-2,0,0,1,0,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,0,0,-,5,0,20,-,652,508
