Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nylander William,TOR,Player,10:43,0,0,0,1,0,0,3,0,1498,646
Engvall Pierre,TOR,Player,15:37,1,0,0,1,0,0,3,2,3511,947
Liljegren Timothy,TOR,Player,18:57,0,1,0,0,0,0,0,4,5449,953
Kampf David,TOR,Player,17:08,0,0,0,0,0,0,1,0,6153,1102
Farabee Joel,TOR,Player,14:50,0,0,0,-1,0,0,0,1,3331,1157
Muzzin Jake,TOR,Player,25:41,0,1,0,2,0,0,0,0,2862,1186
Brown Patrick,TOR,Player,17:40,0,2,0,3,0,0,1,4,5121,1856
Rielly Morgan,TOR,Player,16:50,0,0,0,0,0,0,0,0,5557,2086
Toninato Dominic,TOR,Player,12:00,1,1,0,3,0,0,2,1,1633,2188
Zadina Filip,TOR,Player,12:57,1,1,0,2,0,0,3,0,633,2287
Jarnkrok Calle,TOR,Player,17:46,0,0,0,0,0,0,0,1,459,2396
Brodie T.J.,TOR,Player,19:07,0,0,0,1,0,0,0,1,1063,2864
Giordano Mark,TOR,Player,24:36,0,1,0,2,0,0,0,4,3327,2964
Tavares John,TOR,Player,12:47,2,0,2,1,0,0,2,0,719,3008
Panarin Artemi,TOR,Player,13:51,0,0,0,-1,0,0,2,1,1917,3139
Matthews Auston,TOR,Player,20:50,0,0,0,-1,0,0,4,0,3082,3250
Holl Justin,TOR,Player,14:49,0,0,0,1,0,0,0,6,5988,4271
Kerfoot Alex,TOR,Player,08:53,0,1,0,1,0,0,1,1,6186,4530
Wedgewood Scott,TOR,Goalie,60:00,-,0,0,-,2,0,19,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
Skinner Jeff,OTT,Player,28:05,1,0,0,0,0,0,2,0,2848,77
Chabot Thomas,OTT,Player,20:00,0,0,0,0,0,0,0,10,6067,343
Sanderson Jake,OTT,Player,21:35,0,0,0,-1,0,0,0,4,6626,478
Gambrell Dylan,OTT,Player,07:24,0,0,0,-3,0,0,2,2,3010,697
Atkinson Cam,OTT,Player,09:34,0,0,0,1,0,0,0,1,3496,733
Kolesnikov Konstantin,OTT,Player,15:41,0,0,0,-1,0,0,2,0,4171,752
Formenton Alex,OTT,Player,13:40,0,0,0,-1,0,0,3,1,5078,965
Joseph Mathieu,OTT,Player,06:51,0,0,0,-3,0,0,0,1,6178,1208
Zub Artyom,OTT,Player,18:22,0,0,0,-2,0,0,0,6,5298,2138
Norris Josh,OTT,Player,10:22,0,1,0,1,0,0,2,0,6533,2238
Stutzle Tim,OTT,Player,07:52,1,0,0,1,0,0,1,0,6534,2242
Holden Nick,OTT,Player,17:38,0,0,0,-2,0,0,0,3,4405,2309
Pinto Shane,OTT,Player,15:22,0,0,0,-1,0,0,0,2,6587,2421
Zaitsev Nikita,OTT,Player,21:00,0,0,0,0,0,0,1,4,2746,2442
Stamkos Steven,OTT,Player,29:22,0,1,0,0,0,0,4,2,240,3254
Hamonic Travis,OTT,Player,21:25,0,0,0,-1,0,0,0,2,5797,3535
DeBrincat Alex,OTT,Player,27:40,0,1,0,0,0,0,2,3,331,3711
Motte Tyler,OTT,Player,08:07,0,0,0,-3,0,0,0,0,5938,3850
Forsberg Anton,OTT,Goalie,60:00,-,0,0,-,5,0,22,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
