Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nylander William,TOR,Player,12:39,1,1,0,1,0,0,1,0,1498,646
Engvall Pierre,TOR,Player,17:20,0,0,0,0,0,0,0,2,3511,947
Liljegren Timothy,TOR,Player,21:42,1,1,0,2,0,0,1,5,5449,953
Kampf David,TOR,Player,17:04,1,0,0,0,0,0,3,0,6153,1102
Farabee Joel,TOR,Player,18:36,0,0,0,1,0,0,0,1,3331,1157
Muzzin Jake,TOR,Player,20:05,0,0,0,2,0,0,0,2,2862,1186
Brown Patrick,TOR,Player,09:46,0,1,0,2,0,0,0,1,5121,1856
Rielly Morgan,TOR,Player,22:36,1,0,0,2,1,0,1,2,5557,2086
Toninato Dominic,TOR,Player,09:35,0,0,0,1,0,0,2,0,1633,2188
Zadina Filip,TOR,Player,09:19,0,1,0,1,0,0,0,0,633,2287
Jarnkrok Calle,TOR,Player,17:04,0,1,0,0,0,0,0,1,459,2396
Brodie T.J.,TOR,Player,19:31,0,0,0,0,0,0,0,2,1063,2864
Giordano Mark,TOR,Player,17:19,0,1,0,0,0,0,0,2,3327,2964
Tavares John,TOR,Player,15:19,1,1,0,2,0,0,4,2,719,3008
Panarin Artemi,TOR,Player,20:41,0,0,0,1,0,0,2,2,1917,3139
Matthews Auston,TOR,Player,18:13,1,1,0,1,0,0,2,1,3082,3250
Holl Justin,TOR,Player,18:47,0,2,0,2,0,0,0,3,5988,4271
Kerfoot Alex,TOR,Player,14:35,0,1,0,2,0,0,1,0,6186,4530
Wedgewood Scott,TOR,Goalie,59:49,-,0,0,-,1,0,23,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
Provorov Ivan,PHI,Player,20:17,0,0,0,-2,0,0,1,1,2543,183
Cates Noah,PHI,Player,11:41,0,0,0,-3,0,0,2,3,6625,338
Konecny Travis,PHI,Player,15:50,0,0,0,-2,0,0,1,1,6068,391
Garland Conor,PHI,Player,16:25,0,0,0,0,0,0,3,1,2704,520
DeAngelo Anthony,PHI,Player,19:36,0,0,0,-2,0,0,1,4,5961,573
Sedlak Lukas,PHI,Player,11:28,0,0,2,-3,0,0,0,2,6073,610
Sedin Henrik,PHI,Player,17:29,0,1,0,0,0,0,0,3,1795,759
Seeler Nick,PHI,Player,24:15,1,0,0,-2,0,0,3,6,3217,1375
Petry Jeff,PHI,Player,16:26,0,0,0,-1,0,0,0,3,1116,1433
Laughton Scott,PHI,Player,15:16,0,0,0,0,0,0,1,2,1055,2075
Morin Samuel,PHI,Player,15:18,0,0,0,0,0,0,1,3,389,2143
Tippett Owen,PHI,Player,15:47,0,0,0,0,0,0,2,2,6528,2215
Roslovic Jack,PHI,Player,16:30,0,0,0,-2,0,0,1,2,3804,2225
Bunting Michael,PHI,Player,14:52,0,0,0,0,0,0,3,2,6597,2463
MacEwen Zack,PHI,Player,11:08,0,0,0,-2,0,0,0,0,3423,2577
Van Riemsdyk James,PHI,Player,17:27,0,0,0,1,0,0,0,0,2752,3033
Ristolainen Rasmus,PHI,Player,24:08,0,1,0,-1,0,0,0,5,3837,3376
Hayes Kevin,PHI,Player,15:57,0,0,0,-1,0,0,4,1,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,60:00,-,0,0,-,6,0,17,-,5616,2479
