Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nylander William,TOR,Player,10:38,0,1,0,0,0,0,0,0,1498,646
Engvall Pierre,TOR,Player,14:15,0,0,0,0,0,0,1,0,3511,947
Liljegren Timothy,TOR,Player,21:50,0,3,0,3,0,0,0,4,5449,953
Kampf David,TOR,Player,08:29,0,0,0,0,0,0,0,0,6153,1102
Farabee Joel,TOR,Player,18:44,2,0,0,3,0,0,2,0,3331,1157
Muzzin Jake,TOR,Player,19:45,0,0,0,0,0,0,0,1,2862,1186
Brown Patrick,TOR,Player,16:05,0,0,0,0,0,0,0,0,5121,1856
Rielly Morgan,TOR,Player,21:07,0,0,0,3,0,0,0,3,5557,2086
Toninato Dominic,TOR,Player,15:57,0,0,0,0,0,0,2,0,1633,2188
Zadina Filip,TOR,Player,16:25,0,0,0,0,0,0,3,0,633,2287
Jarnkrok Calle,TOR,Player,12:33,0,0,0,0,0,0,0,0,459,2396
Brodie T.J.,TOR,Player,14:31,0,0,0,0,0,0,0,2,1063,2864
Giordano Mark,TOR,Player,19:08,0,0,0,0,0,0,0,1,3327,2964
Tavares John,TOR,Player,14:22,1,1,0,0,0,0,1,3,719,3008
Panarin Artemi,TOR,Player,20:44,1,1,0,3,0,0,2,0,1917,3139
Matthews Auston,TOR,Player,21:12,0,2,0,3,0,0,2,1,3082,3250
Holl Justin,TOR,Player,23:39,0,1,0,0,0,0,0,2,5988,4271
Kerfoot Alex,TOR,Player,10:36,1,1,0,0,0,0,2,0,6186,4530
Wedgewood Scott,TOR,Goalie,60:00,-,0,0,-,2,0,15,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
Nyquist Gustav,STL,Player,14:24,0,0,0,-1,0,0,2,2,3158,16
Leddy Nick,STL,Player,15:07,0,0,0,-1,0,0,0,5,4412,136
Johnson Kent,STL,Player,14:31,0,0,0,-1,0,0,0,3,6608,159
Bozak Tyler,STL,Player,13:34,0,0,0,-1,0,0,2,0,2255,571
Buchnevich Pavel,STL,Player,14:10,1,0,0,0,0,0,1,1,226,1067
Saad Brandon,STL,Player,18:25,0,0,0,-1,0,0,1,0,1737,1234
Thomas Robert,STL,Player,14:16,0,0,0,-1,0,0,0,1,3452,1332
Bortuzzo Robert,STL,Player,14:17,0,0,0,-1,0,0,0,3,4409,2134
Mikkola Niko,STL,Player,15:25,0,0,0,0,0,0,1,2,1141,2155
Parayko Colton,STL,Player,30:18,0,0,0,-2,0,0,1,4,4669,2158
Pitlick Rem,STL,Player,14:39,0,0,0,-1,0,0,0,1,6566,2343
Kaliyev Arthur,STL,Player,13:25,0,0,0,-1,0,0,1,1,6567,2354
O'Reilly Ryan,STL,Player,18:17,0,0,0,-1,0,0,4,2,3062,2382
Krug Torey,STL,Player,28:39,0,0,0,-2,0,0,0,4,3615,2521
Faulk Justin,STL,Player,16:14,0,1,0,0,0,0,0,6,3744,3400
Danault Phillip,STL,Player,13:30,0,2,0,0,0,0,0,3,5218,4101
Vrana Jakub,STL,Player,12:40,1,0,0,0,0,0,2,1,6115,4338
Tarasenko Vladimir,STL,Player,18:09,0,0,0,-1,0,0,0,2,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,5,0,15,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
