Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nylander William,TOR,Player,14:55,1,1,0,2,0,0,2,0,1498,646
Engvall Pierre,TOR,Player,08:41,0,0,0,1,0,0,1,3,3511,947
Liljegren Timothy,TOR,Player,21:01,0,2,0,2,0,0,0,3,5449,953
Kampf David,TOR,Player,07:42,2,0,0,2,0,0,2,1,6153,1102
Farabee Joel,TOR,Player,17:50,0,1,0,2,0,0,1,0,3331,1157
Muzzin Jake,TOR,Player,10:49,1,0,2,4,0,0,1,1,2862,1186
Brown Patrick,TOR,Player,01:16,0,1,0,0,0,0,0,0,5121,1856
Rielly Morgan,TOR,Player,23:56,0,0,0,1,0,0,2,2,5557,2086
Toninato Dominic,TOR,Player,03:02,0,1,0,0,0,0,2,0,1633,2188
Zadina Filip,TOR,Player,01:13,1,0,0,-1,0,0,1,1,633,2287
Jarnkrok Calle,TOR,Player,07:25,0,1,0,1,0,0,1,1,459,2396
Brodie T.J.,TOR,Player,14:20,0,0,0,1,0,0,0,1,1063,2864
Giordano Mark,TOR,Player,12:26,0,1,0,1,0,0,0,2,3327,2964
Tavares John,TOR,Player,13:36,1,1,0,1,0,0,3,1,719,3008
Panarin Artemi,TOR,Player,21:49,2,1,0,3,0,0,2,2,1917,3139
Matthews Auston,TOR,Player,23:49,1,2,0,3,0,0,2,4,3082,3250
Holl Justin,TOR,Player,11:20,0,0,0,2,0,0,1,1,5988,4271
Kerfoot Alex,TOR,Player,14:44,0,2,0,1,0,0,1,1,6186,4530
Wedgewood Scott,TOR,Goalie,65:00,-,0,0,-,3,0,11,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
Maroon Patrick,TB,Player,10:25,0,0,0,-2,0,0,1,2,969,4
Perry Corey,TB,Player,13:54,0,0,0,-2,0,0,1,1,3400,19
Hagel Brandon,TB,Player,03:15,0,1,0,0,0,0,0,0,6555,106
Balcers Rudolfs,TB,Player,19:07,0,1,0,-1,0,0,1,2,6256,444
Crosby Sidney,TB,Player,24:34,2,0,2,0,0,0,3,2,3308,518
Point Brayden,TB,Player,00:32,0,0,0,-2,0,0,1,1,6070,521
Kucherov Nikita,TB,Player,21:48,0,1,0,-1,0,0,0,2,538,623
Myers Philippe,TB,Player,09:06,0,0,0,-2,0,0,0,4,1875,762
Fleury Haydn,TB,Player,10:22,0,0,0,-2,0,0,1,5,614,1400
Hedman Victor,TB,Player,25:54,0,1,0,0,0,0,0,4,5416,1558
Killorn Alex,TB,Player,02:21,0,0,0,-1,0,0,0,1,1170,2413
Colton Ross,TB,Player,08:02,0,0,2,-3,0,0,0,1,6593,2456
Cirelli Anthony,TB,Player,10:25,0,0,0,-2,0,0,1,0,3041,2839
Namestnikov Vladislav,TB,Player,03:15,0,1,0,0,0,0,0,1,3844,3132
Sergachyov Mikhail,TB,Player,10:25,0,0,0,-3,0,0,0,4,5971,3477
Bellemare Pierre-Edouard,TB,Player,03:15,1,0,0,0,0,0,2,1,979,3518
Cole Ian,TB,Player,31:20,0,1,2,-2,0,0,0,8,1833,3554
Cernak Erik,TB,Player,10:25,0,0,0,-2,0,0,0,4,6198,4549
Vasilevsky Andrei,TB,Goalie,66:00,-,0,0,-,9,0,22,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
