Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nylander William,TOR,Player,14:51,1,1,0,1,0,0,1,0,1498,646
Engvall Pierre,TOR,Player,14:05,1,0,0,3,0,0,3,1,3511,947
Liljegren Timothy,TOR,Player,27:38,0,1,0,3,0,0,0,0,5449,953
Kampf David,TOR,Player,14:51,2,1,0,3,0,0,4,2,6153,1102
Farabee Joel,TOR,Player,19:09,2,0,0,3,0,0,4,1,3331,1157
Muzzin Jake,TOR,Player,15:03,0,0,0,1,0,0,0,0,2862,1186
Brown Patrick,TOR,Player,11:59,0,0,0,0,0,0,0,2,5121,1856
Rielly Morgan,TOR,Player,27:37,0,0,0,3,0,0,0,3,5557,2086
Toninato Dominic,TOR,Player,11:59,1,0,0,0,0,0,4,0,1633,2188
Zadina Filip,TOR,Player,11:59,1,0,0,0,0,0,1,2,633,2287
Jarnkrok Calle,TOR,Player,14:48,0,2,0,3,0,0,0,1,459,2396
Brodie T.J.,TOR,Player,17:32,0,2,0,3,0,0,2,3,1063,2864
Giordano Mark,TOR,Player,17:20,0,1,0,3,0,0,0,2,3327,2964
Tavares John,TOR,Player,14:23,1,1,0,1,0,0,4,1,719,3008
Panarin Artemi,TOR,Player,18:22,0,2,0,3,0,0,2,0,1917,3139
Matthews Auston,TOR,Player,18:47,1,2,0,3,0,0,3,1,3082,3250
Holl Justin,TOR,Player,14:50,0,0,0,1,0,0,0,1,5988,4271
Kerfoot Alex,TOR,Player,14:47,0,2,0,1,0,0,1,0,6186,4530
Wedgewood Scott,TOR,Goalie,60:00,-,0,0,-,3,0,10,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
Kessel Phil,WOF,Player,21:14,0,0,0,-4,0,0,2,1,534,45
McNabb Brayden,WOF,Player,20:41,0,0,0,-4,0,0,0,3,1752,369
Amadio Michael,WOF,Player,13:00,0,0,0,-2,0,0,0,2,3947,736
Howden Brett,WOF,Player,12:28,0,0,0,0,0,0,0,4,2471,867
Carrier William,WOF,Player,13:39,1,0,0,-1,0,0,1,1,6095,930
Hague Nicolas,WOF,Player,12:54,0,1,0,0,0,0,0,1,5488,961
Smith Reilly,WOF,Player,12:27,0,1,0,0,0,0,1,0,3007,2049
Coghlan Dylan,WOF,Player,26:25,0,1,0,-3,0,0,0,3,6538,2256
Marchessault Jonathan,WOF,Player,20:53,0,0,0,-4,0,0,0,1,3137,2310
Martinez Alec,WOF,Player,24:47,0,0,0,-2,0,0,0,2,4236,2365
Stone Mark,WOF,Player,13:11,0,0,0,0,0,0,0,3,2036,2389
Roy Nicolas,WOF,Player,13:24,0,0,0,0,0,0,0,1,1223,2651
Eichel Jack,WOF,Player,18:34,0,0,0,-4,0,0,1,2,3513,3151
Karlsson William,WOF,Player,14:58,1,1,0,0,0,0,2,2,4720,3501
Theodore Shea,WOF,Player,14:24,0,1,0,-1,0,0,0,1,1674,3810
Pietrangelo Alex,WOF,Player,20:49,0,0,0,-4,0,0,0,7,2185,4012
Stephenson Chandler,WOF,Player,13:04,0,1,0,-3,0,0,2,0,4995,4026
Kolesar Keegan,WOF,Player,13:08,1,0,0,-3,0,0,1,1,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,60:00,-,0,0,-,10,0,29,-,2708,3541
