Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,10:36,0,1,0,1,0,0,2,1,623,83
Horvat Bo,VAN,Player,19:56,1,2,0,2,0,0,3,1,2502,104
Ekman-Larsson Oliver,VAN,Player,16:46,0,2,0,1,0,0,0,1,2592,139
Garland Conor,VAN,Player,20:05,0,0,0,-1,0,0,1,0,2704,520
Poolman Tucker,VAN,Player,20:06,0,1,0,1,0,0,0,5,6203,574
Highmore Matthew,VAN,Player,11:28,2,0,0,1,0,0,2,0,1472,665
Stillman Riley,VAN,Player,19:03,0,1,0,2,0,0,0,5,4268,719
Hughes Quinton,VAN,Player,16:51,0,0,0,1,0,0,0,6,1188,1210
Podkolzin Vasili,VAN,Player,21:00,0,1,0,2,0,0,0,1,5788,1577
Lazar Curtis,VAN,Player,12:48,0,0,0,-1,0,0,0,1,2496,2115
Miller J.T.,VAN,Player,15:48,0,2,0,1,0,0,2,3,3233,2378
Pettersson Elias,VAN,Player,16:29,1,1,0,1,0,0,2,4,6254,2525
Kuzmenko Andrei,VAN,Player,21:26,2,1,0,2,0,0,5,0,2462,2782
Myers Tyler,VAN,Player,23:03,0,0,2,1,0,0,0,4,1127,2893
Schenn Luke,VAN,Player,24:11,0,1,0,0,0,0,0,5,237,3199
Pearson Tanner,VAN,Player,11:00,0,0,0,-1,0,0,3,1,3944,3524
Mikheyev Ilya,VAN,Player,10:54,0,1,0,1,0,0,1,1,4751,3929
Boeser Brock,VAN,Player,08:19,2,0,0,1,0,0,2,3,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,1,0,-,5,0,31,-,5939,4241
Zegras Trevor,ANA,Player,14:40,0,0,0,0,0,0,4,2,6553,22
Shattenkirk Kevin,ANA,Player,16:23,0,1,2,-2,0,0,3,6,4438,172
Kulikov Dmitry,ANA,Player,21:16,0,0,0,-1,0,0,0,5,4685,272
Groulx Benoit-Olivier,ANA,Player,10:53,0,0,0,-2,0,0,1,2,1457,295
Comtois Maxime,ANA,Player,17:46,1,0,0,-3,0,0,2,0,4341,303
Henrique Adam,ANA,Player,14:20,0,0,0,-2,0,0,2,2,837,320
Drysdale Jamie,ANA,Player,24:32,0,0,0,1,0,0,2,7,6570,406
Terry Troy,ANA,Player,13:52,1,0,0,1,0,0,1,0,1967,2146
Fowler Cam,ANA,Player,17:06,0,0,0,-3,0,0,0,5,4436,2371
Grant Derek,ANA,Player,15:43,0,0,0,-2,0,0,3,0,5353,2392
Leason Brett,ANA,Player,19:07,0,1,0,-3,0,0,2,0,6600,2466
De Leo Chase,ANA,Player,13:09,3,0,0,1,0,0,4,1,545,2482
McTavish Mason,ANA,Player,13:42,0,0,0,1,0,0,0,1,6601,2491
Benoit Simon,ANA,Player,21:38,0,0,0,1,0,0,0,2,3723,2670
Klingberg John,ANA,Player,21:32,0,0,0,-2,0,0,2,4,2537,2843
Silfverberg Jakob,ANA,Player,11:55,0,0,0,-2,0,0,3,1,1362,3143
Strome Ryan,ANA,Player,15:17,0,2,0,1,0,0,2,5,396,3219
Vatrano Frank,ANA,Player,11:39,0,3,0,1,0,0,0,0,4973,4028
Stolarz Anthony,ANA,Goalie,31:07,-,0,2,-,4,1,13,-,2790,2358
Gibson John,ANA,Goalie,28:53,-,0,0,-,3,0,9,-,2104,2896
