Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,09:20,0,0,0,0,0,0,1,1,623,83
Horvat Bo,VAN,Player,13:11,0,1,0,1,0,0,2,1,2502,104
Ekman-Larsson Oliver,VAN,Player,28:35,0,0,0,-1,0,0,1,6,2592,139
Garland Conor,VAN,Player,12:02,0,0,0,0,0,0,1,1,2704,520
Poolman Tucker,VAN,Player,18:02,0,0,0,0,0,0,0,3,6203,574
Highmore Matthew,VAN,Player,11:06,0,0,0,0,0,0,3,3,1472,665
Stillman Riley,VAN,Player,19:42,0,0,0,0,0,0,0,7,4268,719
Hughes Quinton,VAN,Player,22:05,0,0,0,-1,0,0,0,9,1188,1210
Podkolzin Vasili,VAN,Player,21:34,0,1,0,1,0,0,0,2,5788,1577
Lazar Curtis,VAN,Player,16:04,0,0,2,0,0,0,0,5,2496,2115
Miller J.T.,VAN,Player,28:05,0,0,0,-1,0,0,0,3,3233,2378
Pettersson Elias,VAN,Player,15:40,0,0,0,-1,0,0,1,2,6254,2525
Kuzmenko Andrei,VAN,Player,13:11,1,0,0,1,0,0,2,0,2462,2782
Myers Tyler,VAN,Player,18:38,0,0,0,1,0,0,1,8,1127,2893
Schenn Luke,VAN,Player,22:58,0,0,0,1,0,0,0,6,237,3199
Pearson Tanner,VAN,Player,12:51,0,0,0,0,0,0,2,0,3944,3524
Mikheyev Ilya,VAN,Player,09:39,0,0,0,0,0,0,1,3,4751,3929
Boeser Brock,VAN,Player,22:17,0,0,0,-1,0,0,2,3,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,65:00,-,0,0,-,1,0,29,-,5939,4241
Pacioretty Max,CAR,Player,15:51,0,1,0,1,0,0,3,2,762,42
Stastny Paul,CAR,Player,18:47,0,0,0,-1,0,0,2,4,934,153
Burns Brent,CAR,Player,30:38,0,0,0,0,0,0,0,5,410,309
Necas Martin,CAR,Player,18:55,0,0,0,0,0,0,1,2,751,377
Stepan Derek,CAR,Player,11:46,0,0,0,-1,0,0,3,1,2759,482
Staal Jordan,CAR,Player,14:49,0,0,0,0,0,0,2,2,1628,500
Gardiner Jake,CAR,Player,20:25,0,0,0,0,0,0,0,4,5230,595
Pesce Brett,CAR,Player,17:34,0,0,0,-1,0,0,0,5,4415,906
Skeji Brady,CAR,Player,15:48,0,0,0,0,0,0,0,3,1132,1228
de Haan Calvin,CAR,Player,14:28,0,0,0,0,0,0,0,4,4595,1754
Aho Sebastian,CAR,Player,20:43,0,1,0,1,0,0,2,3,4038,1908
Jarvis Seth,CAR,Player,14:43,0,0,0,0,0,0,3,1,6574,2381
Teravainen Teuvo,CAR,Player,18:11,0,0,0,-1,0,0,2,2,1779,2963
Fast Jesper,CAR,Player,16:01,0,0,0,0,0,0,2,0,286,3542
Kotkaniemi Jesperi,CAR,Player,10:45,0,0,0,0,0,0,1,4,5051,3878
Svechnikov Andrei,CAR,Player,21:02,1,0,0,1,0,0,7,2,5058,3885
Slavin Jaccob,CAR,Player,31:07,0,0,0,1,0,0,0,10,4920,4060
Dzingel Ryan,CAR,Player,08:31,0,0,0,0,0,0,1,0,2917,4121
Andersen Frederik,CAR,Goalie,64:56,-,0,0,-,1,0,17,-,1149,664
Raanta Antti,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,2608,2912
