Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,06:44,1,0,0,1,0,0,2,0,623,83
Horvat Bo,VAN,Player,08:24,1,0,0,1,0,0,3,1,2502,104
Ekman-Larsson Oliver,VAN,Player,25:42,0,0,0,1,0,0,0,4,2592,139
Garland Conor,VAN,Player,20:08,0,0,0,0,0,0,2,0,2704,520
Poolman Tucker,VAN,Player,19:15,0,0,0,0,0,0,0,4,6203,574
Highmore Matthew,VAN,Player,06:44,0,1,0,1,0,0,0,1,1472,665
Stillman Riley,VAN,Player,20:00,0,0,0,0,0,0,0,3,4268,719
Hughes Quinton,VAN,Player,23:57,0,0,0,0,0,0,0,3,1188,1210
Podkolzin Vasili,VAN,Player,09:03,0,2,0,1,0,0,0,1,5788,1577
Lazar Curtis,VAN,Player,19:51,0,0,0,0,0,0,2,4,2496,2115
Miller J.T.,VAN,Player,25:01,0,0,0,0,0,0,0,1,3233,2378
Pettersson Elias,VAN,Player,26:08,1,0,0,1,0,0,1,2,6254,2525
Kuzmenko Andrei,VAN,Player,07:19,0,1,0,0,0,0,1,2,2462,2782
Myers Tyler,VAN,Player,16:48,0,0,0,2,0,0,2,3,1127,2893
Schenn Luke,VAN,Player,14:18,0,0,0,1,0,0,1,2,237,3199
Pearson Tanner,VAN,Player,19:24,0,0,0,0,0,0,4,3,3944,3524
Mikheyev Ilya,VAN,Player,07:09,0,1,0,1,0,0,0,2,4751,3929
Boeser Brock,VAN,Player,24:05,0,1,0,0,0,0,0,1,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,1,0,16,-,5939,4241
Nyquist Gustav,CBJ,Player,23:18,0,0,0,0,0,0,1,1,3158,16
Johnson Kent,CBJ,Player,00:14,0,0,0,1,0,0,0,0,6608,159
Robinson Eric,CBJ,Player,14:28,0,0,0,-1,0,0,0,0,1254,671
Peeke Andrew,CBJ,Player,15:02,0,0,0,-2,0,0,0,0,4119,675
Voracek Jakub,CBJ,Player,14:38,0,0,0,-2,0,0,1,1,2724,921
Carlsson Gabriel,CBJ,Player,25:40,0,0,0,-1,0,0,0,2,4626,1073
Gavrikov Vladislav,CBJ,Player,22:45,0,0,0,1,0,0,0,3,2628,1083
Chinakhov Yegor,CBJ,Player,05:54,1,0,0,1,0,0,1,0,6455,1826
Jenner Boone,CBJ,Player,21:51,0,0,0,-1,0,0,3,1,297,2015
Laine Patrik,CBJ,Player,21:13,0,0,0,-1,0,0,0,1,1146,2033
Roslovic Jack,CBJ,Player,18:25,0,0,0,-1,0,0,0,1,3804,2225
Werenski Zach,CBJ,Player,24:27,0,0,0,-1,0,0,0,6,6037,2322
Gudbranson Erik,CBJ,Player,19:18,0,0,0,1,0,0,0,2,4402,2337
Sillinger Cole,CBJ,Player,13:25,0,0,0,-2,0,0,0,1,6569,2370
Bjork Marcus,CBJ,Player,12:48,0,0,0,-2,0,0,2,1,6607,2529
Texier Alexandre,CBJ,Player,04:39,0,1,0,1,0,0,1,0,2813,2742
Gaudreau Johnny,CBJ,Player,21:50,0,0,0,-1,0,0,5,2,1237,3646
Kuraly Sean,CBJ,Player,20:05,0,0,0,0,0,0,2,1,6144,4370
Korpisalo Joonas,CBJ,Goalie,60:00,-,0,0,-,3,0,18,-,2338,4131
Merzlikins Elvis,CBJ,Goalie,00:00,-,0,0,-,0,0,0,-,5888,4200
