Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,12:32,2,0,0,3,0,0,4,1,623,83
Horvat Bo,VAN,Player,19:34,0,0,0,0,0,0,4,1,2502,104
Ekman-Larsson Oliver,VAN,Player,21:31,0,1,0,2,0,0,0,4,2592,139
Garland Conor,VAN,Player,07:33,0,0,0,-1,0,0,0,0,2704,520
Poolman Tucker,VAN,Player,18:53,0,0,0,2,0,0,0,4,6203,574
Highmore Matthew,VAN,Player,13:21,0,3,0,3,0,0,1,1,1472,665
Stillman Riley,VAN,Player,19:03,0,1,0,2,0,0,0,1,4268,719
Hughes Quinton,VAN,Player,17:30,0,0,0,2,0,0,1,1,1188,1210
Podkolzin Vasili,VAN,Player,23:03,0,0,0,0,0,0,2,2,5788,1577
Lazar Curtis,VAN,Player,05:55,0,0,2,-1,0,0,2,0,2496,2115
Miller J.T.,VAN,Player,21:10,1,1,0,2,0,0,4,2,3233,2378
Pettersson Elias,VAN,Player,17:13,1,1,0,2,0,0,8,3,6254,2525
Kuzmenko Andrei,VAN,Player,19:00,0,0,0,0,0,0,2,1,2462,2782
Myers Tyler,VAN,Player,19:47,0,0,0,0,0,0,0,0,1127,2893
Schenn Luke,VAN,Player,23:16,0,0,0,0,0,0,0,2,237,3199
Pearson Tanner,VAN,Player,06:37,0,0,0,-1,0,0,0,1,3944,3524
Mikheyev Ilya,VAN,Player,13:20,1,2,0,3,0,0,7,1,4751,3929
Boeser Brock,VAN,Player,16:52,0,1,0,2,0,0,2,2,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,2,0,16,-,5939,4241
Lucic Milan,CGY,Player,20:18,1,0,0,1,0,0,3,0,5171,65
Dube Dillon,CGY,Player,00:39,0,0,0,0,0,0,0,0,3116,98
Huberdeau Jonathan,CGY,Player,19:23,0,0,0,0,0,0,2,1,4399,164
Ruzicka Adam,CGY,Player,00:39,0,0,0,0,0,0,0,0,6380,539
Mangiapane Andrew,CGY,Player,23:12,0,1,0,0,0,0,1,0,1301,560
Kadri Nazem,CGY,Player,18:20,0,0,0,0,0,0,2,0,3056,593
Gilbert Dennis,CGY,Player,16:27,0,0,0,-5,0,0,0,1,3353,680
Rooney Kevin,CGY,Player,00:39,0,0,0,0,0,0,0,0,1910,799
Lewis Trevor,CGY,Player,15:50,0,0,0,-5,0,0,1,0,3831,1004
Hanifin Noah,CGY,Player,18:11,0,0,0,0,0,0,0,2,5071,1066
Weegar MacKenzie,CGY,Player,23:51,0,0,0,1,0,0,0,3,2107,1087
Zadorov Nikita,CGY,Player,22:18,0,0,0,0,0,0,0,3,1178,2230
Coleman Blake,CGY,Player,16:38,0,1,0,1,0,0,0,0,824,2283
Toffoli Tyler,CGY,Player,23:21,0,1,0,-5,0,0,1,0,3234,2434
Backlund Mikael,CGY,Player,23:12,1,0,0,-5,1,0,6,1,5650,3411
Lindholm Elias,CGY,Player,17:49,0,0,0,1,0,0,0,1,2436,3465
Tanev Chris,CGY,Player,21:15,0,1,0,1,0,0,0,1,2864,3673
Andersson Rasmus,CGY,Player,17:58,0,0,0,-5,0,0,0,1,6193,4543
Markstrom Jacob,CGY,Goalie,60:00,-,0,0,-,5,0,37,-,5793,1394
Vladar Daniel,CGY,Goalie,00:00,-,0,0,-,0,0,0,-,1773,2606
