Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,14:58,0,0,0,0,0,0,2,1,623,83
Horvat Bo,VAN,Player,19:46,0,0,0,1,0,0,2,1,2502,104
Ekman-Larsson Oliver,VAN,Player,26:47,0,0,0,0,0,0,0,3,2592,139
Garland Conor,VAN,Player,13:18,1,0,0,-3,0,0,2,2,2704,520
Poolman Tucker,VAN,Player,12:51,0,0,0,-3,0,0,0,4,6203,574
Highmore Matthew,VAN,Player,14:42,0,1,0,0,0,0,2,3,1472,665
Stillman Riley,VAN,Player,12:43,0,0,0,-3,0,0,1,1,4268,719
Hughes Quinton,VAN,Player,25:38,1,0,0,0,0,0,1,3,1188,1210
Podkolzin Vasili,VAN,Player,18:00,1,0,0,1,0,0,2,0,5788,1577
Lazar Curtis,VAN,Player,13:16,0,0,0,-3,0,0,0,2,2496,2115
Miller J.T.,VAN,Player,12:16,0,1,0,0,0,0,3,2,3233,2378
Pettersson Elias,VAN,Player,11:34,1,0,0,0,0,0,4,0,6254,2525
Kuzmenko Andrei,VAN,Player,21:40,0,0,0,1,0,0,3,2,2462,2782
Myers Tyler,VAN,Player,21:31,0,0,0,1,0,0,0,5,1127,2893
Schenn Luke,VAN,Player,20:30,0,0,0,1,0,0,0,6,237,3199
Pearson Tanner,VAN,Player,11:15,0,1,0,-3,0,0,1,2,3944,3524
Mikheyev Ilya,VAN,Player,15:31,0,1,0,0,0,0,1,0,4751,3929
Boeser Brock,VAN,Player,13:44,0,0,0,0,0,0,0,4,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,6,0,21,-,5939,4241
Kane Patrick,CHI,Player,16:45,1,0,0,0,0,0,1,1,5160,151
Toews Jonathan,CHI,Player,18:28,0,0,0,0,0,0,2,1,5161,152
Johnson Jack,CHI,Player,13:39,1,2,0,1,0,0,1,4,1232,285
Jones Seth,CHI,Player,29:31,0,0,0,0,0,0,0,6,4044,424
Kurashev Philipp,CHI,Player,21:46,0,1,0,1,0,0,0,1,1698,542
Connolly Brett,CHI,Player,09:40,1,0,0,1,0,0,2,0,2688,584
Jones Caleb,CHI,Player,15:38,0,1,0,1,0,0,0,1,2949,712
Murphy Connor,CHI,Player,23:33,0,1,0,0,0,0,1,2,289,1842
Johnson Tyler,CHI,Player,14:08,1,0,0,0,0,0,3,1,892,2411
Tinordi Jarred,CHI,Player,19:44,0,0,0,0,0,0,0,3,2087,2435
Katchouk Boris,CHI,Player,14:10,1,0,0,0,0,0,1,0,6594,2457
Raddysh Taylor,CHI,Player,11:49,0,0,0,0,0,0,2,1,6595,2458
Blackwell Colin,CHI,Player,18:01,1,1,2,1,0,0,2,2,3751,2663
McCabe Jake,CHI,Player,17:55,0,2,0,2,0,0,0,3,5306,3478
Domi Max,CHI,Player,17:24,0,0,0,0,0,0,3,1,2552,4013
Khaira Jujhar,CHI,Player,11:32,0,0,0,1,0,0,1,0,4766,4033
Athanasiou Andreas,CHI,Player,11:37,0,2,0,1,0,0,1,1,5664,4103
Dickinson Jason,CHI,Player,09:41,0,1,0,1,0,0,1,0,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,4,0,24,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
