Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,12:19,0,1,0,2,0,0,1,1,623,83
Horvat Bo,VAN,Player,22:04,1,1,0,2,0,0,4,2,2502,104
Ekman-Larsson Oliver,VAN,Player,22:44,1,0,4,2,0,0,1,5,2592,139
Garland Conor,VAN,Player,05:16,0,0,0,0,0,0,2,0,2704,520
Poolman Tucker,VAN,Player,15:24,0,0,0,2,0,0,0,2,6203,574
Highmore Matthew,VAN,Player,12:41,0,2,0,2,0,0,1,0,1472,665
Stillman Riley,VAN,Player,23:59,0,0,0,3,0,0,0,8,4268,719
Hughes Quinton,VAN,Player,16:47,0,0,0,1,0,0,0,3,1188,1210
Podkolzin Vasili,VAN,Player,22:20,1,1,0,2,0,1,2,3,5788,1577
Lazar Curtis,VAN,Player,10:12,0,1,0,1,0,0,0,3,2496,2115
Miller J.T.,VAN,Player,19:55,1,1,0,2,0,0,3,3,3233,2378
Pettersson Elias,VAN,Player,15:26,0,1,0,1,0,0,2,0,6254,2525
Kuzmenko Andrei,VAN,Player,13:11,0,1,0,1,0,0,1,1,2462,2782
Myers Tyler,VAN,Player,25:31,0,0,0,3,0,0,0,6,1127,2893
Schenn Luke,VAN,Player,18:40,0,1,0,2,0,0,1,3,237,3199
Pearson Tanner,VAN,Player,04:37,0,0,0,0,0,0,0,0,3944,3524
Mikheyev Ilya,VAN,Player,12:45,2,0,0,2,0,0,8,1,4751,3929
Boeser Brock,VAN,Player,15:35,0,0,2,1,0,0,1,1,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,1,0,-,1,0,19,-,5939,4241
Landeskog Gabriel,COL,Player,18:13,0,0,0,0,0,0,2,3,1157,105
Nichushkin Valery,COL,Player,13:56,0,0,0,-3,0,0,5,3,2145,258
Cogliano Andrew,COL,Player,13:46,0,0,0,-2,0,0,2,2,5163,259
Galchenyuk Alex,COL,Player,12:44,0,0,0,-2,0,0,0,1,1690,281
Johnson Erik,COL,Player,21:32,0,0,0,-2,0,0,0,9,5288,544
MacKinnon Nathan,COL,Player,20:32,1,0,0,-1,1,0,4,4,3917,599
Makar Cale,COL,Player,29:12,0,1,0,-2,0,0,0,6,4146,683
MacDermid Kurtis,COL,Player,15:30,0,0,0,-2,0,0,0,8,1114,747
Toews Devon,COL,Player,18:32,0,0,0,0,0,0,0,5,3708,854
Lehkonen Artturi,COL,Player,15:17,0,0,0,-2,0,0,3,4,3216,1447
Newhook Alex,COL,Player,14:24,0,0,0,-3,0,0,0,5,6560,1456
Rantanen Mikko,COL,Player,20:02,0,0,0,0,0,0,2,0,5444,1683
O'Connor Logan,COL,Player,13:14,0,0,0,-1,0,0,0,0,6576,2388
Rodrigues Evan,COL,Player,12:01,0,0,0,-1,0,0,1,0,6126,2650
Manson Josh,COL,Player,14:17,0,0,0,-2,0,0,0,6,5585,3493
Compher J.T.,COL,Player,13:03,0,0,0,-1,0,0,0,0,5937,3848
Helm Darren,COL,Player,12:48,0,0,0,-2,0,0,0,2,5382,4289
Girard Samuel,COL,Player,20:57,0,0,0,-4,0,0,0,4,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,60:00,-,0,0,-,6,0,27,-,2460,341
