Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Horvat Bo,VAN,Player,19:46,0,1,0,-1,0,0,2,3,2502,104
Ekman-Larsson Oliver,VAN,Player,26:07,0,0,0,0,0,0,0,4,2592,139
Garland Conor,VAN,Player,10:29,1,0,0,0,0,0,3,2,2704,520
Poolman Tucker,VAN,Player,13:33,0,0,0,0,0,0,0,2,6203,574
Highmore Matthew,VAN,Player,08:16,0,0,0,0,0,0,1,2,1472,665
Stillman Riley,VAN,Player,12:31,0,0,0,0,0,0,0,1,4268,719
Bear Ethan,VAN,Player,26:00,1,0,0,0,0,0,4,5,5987,1188
Hughes Quinton,VAN,Player,20:36,0,1,0,1,0,0,2,0,1188,1210
Podkolzin Vasili,VAN,Player,09:03,0,1,0,0,0,0,4,1,5788,1577
Lazar Curtis,VAN,Player,11:52,0,1,0,0,0,0,4,0,2496,2115
Miller J.T.,VAN,Player,20:06,0,2,0,1,0,0,5,2,3233,2378
Pettersson Elias,VAN,Player,20:12,1,0,0,-1,0,0,5,2,6254,2525
Kuzmenko Andrei,VAN,Player,19:48,1,0,0,0,0,0,1,2,2462,2782
Myers Tyler,VAN,Player,20:21,0,0,0,0,0,0,0,6,1127,2893
Schenn Luke,VAN,Player,21:22,0,0,0,0,0,0,1,3,237,3199
Pearson Tanner,VAN,Player,11:22,0,1,0,0,0,0,1,1,3944,3524
Mikheyev Ilya,VAN,Player,08:38,0,0,0,1,0,0,2,2,4751,3929
Boeser Brock,VAN,Player,19:58,0,1,0,-1,0,0,1,5,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,5,0,11,-,5939,4241
Hronek Filip,DET,Player,18:20,0,0,0,1,0,0,0,3,6228,9
Copp Andy,DET,Player,14:28,0,0,0,-1,0,0,0,1,4865,103
Berggren Jonatan,DET,Player,15:21,1,0,0,2,0,0,2,0,6610,292
Hagg Robert,DET,Player,25:21,0,0,0,-2,0,0,0,9,2110,400
Kubalik Dominik,DET,Player,13:31,0,0,0,-1,0,0,0,3,6156,522
Perron David,DET,Player,14:21,0,0,0,-1,0,0,1,1,5165,543
Seider Moritz,DET,Player,21:42,0,0,0,-1,0,0,0,6,1948,645
Luff Matt,DET,Player,16:01,0,1,0,1,0,0,1,3,5233,738
Czarnik  Austin,DET,Player,12:17,0,1,0,-1,0,0,0,1,6079,1022
Maatta Olli,DET,Player,17:52,1,0,0,1,0,0,2,7,2735,1899
Raymond Lucas,DET,Player,17:27,0,1,0,1,0,0,0,3,6568,2364
Oesterle Jordan,DET,Player,16:41,0,1,0,1,0,0,0,7,3157,2845
Chiarot Ben,DET,Player,20:04,0,0,0,0,0,0,0,11,2315,3069
Larkin Dylan,DET,Player,16:16,0,1,0,1,0,0,0,0,5774,3165
Fabbri Robby,DET,Player,13:49,1,0,0,-1,0,0,1,1,5090,4016
Bertuzzi Tyler,DET,Player,17:44,1,0,0,1,0,0,2,3,328,4304
Vrana Jakub,DET,Player,16:29,1,0,0,1,0,0,1,2,6115,4338
Erne Adam,DET,Player,12:10,0,1,0,-1,0,0,1,2,6139,4341
Husso Ville,DET,Goalie,60:00,-,0,2,-,4,0,36,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
