Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,10:50,0,0,0,-1,0,0,0,0,623,83
Horvat Bo,VAN,Player,20:46,1,3,0,4,0,0,4,0,2502,104
Ekman-Larsson Oliver,VAN,Player,16:26,0,0,0,1,0,0,0,3,2592,139
Garland Conor,VAN,Player,11:58,0,0,0,-2,0,0,0,1,2704,520
Poolman Tucker,VAN,Player,13:37,0,0,0,-3,0,0,0,4,6203,574
Highmore Matthew,VAN,Player,12:28,0,0,0,-1,0,0,0,1,1472,665
Stillman Riley,VAN,Player,14:11,0,0,0,-3,0,0,0,3,4268,719
Hughes Quinton,VAN,Player,16:26,0,0,0,1,0,0,0,4,1188,1210
Podkolzin Vasili,VAN,Player,20:46,2,1,0,4,0,0,3,2,5788,1577
Lazar Curtis,VAN,Player,10:20,0,0,0,-2,0,0,2,2,2496,2115
Miller J.T.,VAN,Player,16:26,0,1,0,1,0,0,0,1,3233,2378
Pettersson Elias,VAN,Player,16:26,0,1,0,1,0,0,1,3,6254,2525
Kuzmenko Andrei,VAN,Player,20:46,1,3,0,4,0,0,1,1,2462,2782
Myers Tyler,VAN,Player,29:57,0,0,0,4,0,0,0,5,1127,2893
Schenn Luke,VAN,Player,29:23,0,0,0,4,0,0,0,4,237,3199
Pearson Tanner,VAN,Player,11:56,0,0,0,-2,0,0,0,3,3944,3524
Mikheyev Ilya,VAN,Player,10:52,1,0,0,0,0,0,3,0,4751,3929
Boeser Brock,VAN,Player,16:26,1,0,0,1,0,0,2,3,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,3,0,17,-,5939,4241
Addison Calen,MIN,Player,28:58,0,2,0,2,0,0,1,5,6612,144
Boldy Matt,MIN,Player,15:09,1,2,0,3,0,0,1,1,6613,287
Dewar Connor,MIN,Player,18:14,0,0,0,-4,0,0,1,2,6614,389
Reaves Ryan,MIN,Player,15:48,0,0,0,-1,0,0,1,2,4442,394
Eriksson Ek Joel,MIN,Player,16:20,2,0,0,3,0,0,7,0,6071,558
Hartman Ryan,MIN,Player,13:25,0,0,0,0,0,0,0,2,2648,869
Dumba Matt,MIN,Player,28:41,0,1,0,2,0,0,0,12,4445,1196
Merrill Jon,MIN,Player,18:55,0,0,0,-4,0,0,0,11,2956,1496
Zuccarello Mats,MIN,Player,15:47,0,0,0,-4,0,0,1,2,5807,1559
Greenway Jordan,MIN,Player,15:41,0,1,0,3,0,0,0,2,866,2130
Brodin Jonas,MIN,Player,12:07,0,0,0,0,0,0,0,1,4506,2217
Duhaime Brandon,MIN,Player,13:05,0,0,0,-1,0,0,1,2,6565,2258
Foligno Marcus,MIN,Player,13:58,0,0,0,0,0,0,0,1,579,3395
Spurgeon Jared,MIN,Player,18:42,0,0,0,-4,0,0,0,3,4407,3434
Kaprizov Kirill,MIN,Player,17:48,0,0,0,-4,0,0,3,2,1717,3774
Goligoski Alex,MIN,Player,12:37,0,0,0,0,0,0,0,1,5323,4287
Steel Sam,MIN,Player,12:01,0,0,0,-1,0,0,0,3,3212,4357
Gaudreau Frederick ,MIN,Player,12:44,0,0,0,0,0,0,1,1,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,0,0,-,6,0,16,-,652,508
