Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,13:09,0,0,0,-3,0,0,3,1,623,83
Horvat Bo,VAN,Player,19:25,1,0,0,1,0,0,3,2,2502,104
Ekman-Larsson Oliver,VAN,Player,24:44,0,1,0,1,0,0,0,3,2592,139
Garland Conor,VAN,Player,11:10,0,1,0,0,0,0,1,1,2704,520
Poolman Tucker,VAN,Player,19:37,0,0,0,-3,0,0,0,2,6203,574
Highmore Matthew,VAN,Player,12:39,0,0,0,-3,0,0,0,0,1472,665
Stillman Riley,VAN,Player,18:53,0,0,0,-3,0,0,0,5,4268,719
Hughes Quinton,VAN,Player,24:05,0,0,0,1,0,0,0,3,1188,1210
Podkolzin Vasili,VAN,Player,16:48,0,1,0,1,0,0,4,1,5788,1577
Lazar Curtis,VAN,Player,10:45,1,0,0,0,0,0,3,2,2496,2115
Miller J.T.,VAN,Player,18:44,0,1,0,1,0,0,4,0,3233,2378
Pettersson Elias,VAN,Player,17:40,1,0,0,2,0,0,2,0,6254,2525
Kuzmenko Andrei,VAN,Player,20:21,0,0,0,1,0,0,2,2,2462,2782
Myers Tyler,VAN,Player,17:51,0,0,0,1,0,0,0,7,1127,2893
Schenn Luke,VAN,Player,17:56,0,1,0,1,0,0,0,5,237,3199
Pearson Tanner,VAN,Player,09:53,0,1,0,0,0,0,1,0,3944,3524
Mikheyev Ilya,VAN,Player,12:06,0,0,0,-3,0,0,1,0,4751,3929
Boeser Brock,VAN,Player,20:26,1,1,0,1,0,0,3,1,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,61:33,-,0,0,-,5,0,19,-,5939,4241
Smith Brendan,NJ,Player,22:17,0,0,0,-1,0,0,0,4,1851,38
Haula Erik,NJ,Player,10:48,0,1,0,0,0,0,1,1,5356,74
Sharangovich Yegor,NJ,Player,21:00,1,0,0,0,0,0,2,1,1810,200
Hamilton Dougie,NJ,Player,18:13,0,0,0,0,0,0,0,1,782,212
Zetterlund Fabian,NJ,Player,19:53,0,1,0,0,0,0,1,3,6629,375
Siegenthaler Jonas,NJ,Player,21:27,0,0,0,0,0,0,0,8,3442,512
Bratt Jesper,NJ,Player,19:40,1,0,0,0,0,0,3,2,375,636
Graves Ryan,NJ,Player,21:53,0,0,0,1,0,0,0,5,4126,684
Tatar Tomas,NJ,Player,12:12,1,0,0,-1,0,0,1,0,5524,695
Marino John,NJ,Player,17:50,0,2,0,2,0,0,0,2,3769,932
Hughes Jack,NJ,Player,20:41,0,1,0,0,0,0,1,2,916,1222
Severson Damon,NJ,Player,21:26,0,1,0,0,0,0,0,7,2492,1685
Bastian Nathan,NJ,Player,10:16,0,1,0,-1,0,0,1,1,6514,2063
Mercer Dawson,NJ,Player,10:37,0,2,0,2,0,0,0,0,6563,2223
Palat Ondrej,NJ,Player,15:54,0,0,0,-1,0,0,1,0,2871,2416
McLeod Michael,NJ,Player,13:09,1,0,0,2,0,0,5,0,4939,3240
Wood Miles,NJ,Player,12:01,1,1,0,2,0,0,3,0,5940,4242
Hischier Nico,NJ,Player,16:55,0,0,0,-1,0,0,0,3,6163,4410
Blackwood Mackenzie,NJ,Goalie,44:27,-,0,0,-,4,0,21,-,486,2278
Bernier Jonathan,NJ,Goalie,17:06,-,0,0,-,0,0,6,-,5152,4270
